titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
HP ProDesk 400 G9,PC de oficina,HP ProDesk,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,451.11,1937.12,1194.12,30.8,15.5,18.0,16.0,3200.0,1000.0,4.7,33.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Business Gaming V2 PC (4260561746434),PC gaming,Ankermann Business Gaming,AMD Ryzen 5 4500,disco duro M.2 SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Renoir,DDR4,6.0,NVIDIA GeForce GTX 1650,Ethernet 10/100/1000,Desktop,torre,"empresas, gaming",Socket AM4,539.0,579.0,559.0,29.4,16.8,8.0,16.0,3200.0,1000.0,4.1,29.0,3.1,65.0,4096.0,High_Power (501-850W),Desktop_PC,0,0,0
"Apple Mac mini M4 [2024]
MU9D3D/A",Mini PC,Apple Mac Mini,Apple M4,disco duro SSD,Apple,Apple M,1.0,macOS Sequoia,Raptor Lake,DDR4,10.0,Apple M4 10-Core GPU,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,735.02,1098.62,916.82,12.7,12.7,18.0,16.0,3200.0,256.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP Victus 15L,PC gaming,Victus by HP,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket 1700,487.99,2761.34,1624.66,29.7,15.5,18.0,16.0,3200.0,1000.0,4.7,33.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Apple Mac mini M2 (2023),Mini PC,Apple Mac Mini,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket 1700,599.0,1985.39,1292.2,19.7,19.7,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
GigaByte BRIX GB-BACE-3160,Unknown,GigaByte BRIX,Intel Celeron J3160,disco duro SSD,Intel,Celeron,1.0,Microsoft Windows 11 Professional,Braswell,DDR3L,4.0,Intel HD Graphics 400,Ethernet 10/100/1000,Desktop,barebone,gaming,Sockel BGA1170,141.34,153.87,147.61,11.44,10.76,2.0,16.0,1600.0,1000.0,2.24,5.0,2.8,6.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi N ADL
ADL-046BES",Mini PC,MSI Cubi,Intel N200,disco duro SSD,Intel,Intel N,1.0,FreeDOS,Raptor Lake,DDR4,8.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,nettop,bricolaje,Socket 1700,139.95,381.9,260.92,12.4,12.4,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
ASUS NUC 14 Pro+,Mini PC,ASUS NUC,Unknown,disco duro M.2 SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Meteor Lake,DDR5,8.0,Intel Arc Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,563.75,2548.93,1556.34,11.2,14.4,18.0,16.0,3200.0,1000.0,4.7,4.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP Pro Mini 260 G9,Mini PC,HP Pro,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,"principiante, profesional, empresas",Socket 1700,295.04,1342.3,818.67,17.5,17.7,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Lenovo LOQ 17IRB8,PC gaming,Lenovo LOQ,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,725.0,1532.98,1128.99,30.4,17.0,18.0,16.0,3200.0,1000.0,4.7,37.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
