titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
"ASUS NUC 13 Pro Slim
Kit (90AR00A1-M00080)",Unknown,ASUS NUC,Intel Core i7-1370P,disco duro M.2 SSD,Intel,Core i7,0.0,ninguno,Raptor Lake,DDR4,14.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,769.18,869.99,819.59,11.2,11.7,24.0,16.0,3200.0,1000.0,5.2,3.0,1.9,28.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"HP Elite Mini 800 G9
622X4ET",Mini PC,HP Elite,Intel Core i7-14700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,20.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1141.11,1571.73,1356.42,17.5,17.7,33.0,16.0,4800.0,512.0,5.4,3.0,2.1,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Lenovo ThinkCentre M90s Gen4,Unknown,Lenovo ThinkCentre,Intel Core i7-13700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,16.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,empresas,Socket 1700,446.12,1371.64,908.88,29.8,92.6,30.0,16.0,4400.0,512.0,5.2,33.0,2.1,219.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"HP ProDesk 400 G9
628R6ET",PC de oficina,HP ProDesk,Intel Core i5-13500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,14.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,715.83,897.45,806.64,30.8,15.5,65.0,16.0,3200.0,512.0,4.8,33.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M90q Gen4
12EH000ESP",Unknown,Lenovo ThinkCentre,Intel Core i7-13700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,16.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,minitorre,empresas,Socket 1700,811.32,1370.02,1090.67,18.3,17.9,30.0,16.0,5600.0,512.0,5.2,36.0,2.1,219.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"ASUS NUC 14 Pro Slim
Kit (90AR0062-M00090)",Unknown,ASUS NUC,Intel Core Ultra 5 125H,disco duro M.2 SSD,Intel,Intel Core Ultra 5,0.0,ninguno,Meteor Lake,DDR5,14.0,Intel Arc Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,bricolaje,Socket FCBGA2049,538.9,629.82,584.36,11.2,11.7,18.0,16.0,3200.0,1000.0,4.5,3.0,1.2,28.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"HP Z2 SFF G9 Workstation
996Y3ET",Unknown,HP Z2,Intel Core i7-14700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR5,20.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,1207.63,1866.91,1537.27,30.8,38.4,33.0,16.0,4800.0,1000.0,5.4,10.0,2.1,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Lenovo ThinkStation P3 Tower,PC de oficina,Lenovo ThinkStation,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1190.7,7232.39,4211.55,37.0,18.0,18.0,16.0,3200.0,1000.0,4.7,41.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS NUC 13 Pro Tall
Kit (90AR00B1-M00090)",Unknown,ASUS NUC,Intel Core i7-1370P,disco duro M.2 SSD,Intel,Core i7,0.0,ninguno,Raptor Lake,DDR4,14.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,790.68,894.18,842.43,11.2,11.7,24.0,16.0,3200.0,1000.0,5.2,5.0,1.9,28.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
HP Elite SFF 600 G9,PC multimedia,HP Elite,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,804.72,2097.99,1451.36,30.8,33.8,18.0,16.0,3200.0,1000.0,4.7,10.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M70q Gen5
12TD000HSP",Unknown,Lenovo ThinkCentre,Intel Core i7-14700T,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,20.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),empresas,Socket 1700,864.0,1132.88,998.44,18.29,3.65,33.0,16.0,5600.0,512.0,5.2,17.0,1.3,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"ASUS NUC 13 Pro Slim
90AR0081-M00070",Unknown,ASUS NUC,Intel Core i5-1340PE,disco duro SSD,Intel,Core i5,1.0,ninguno,Raptor Lake,DDR4,12.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,716.63,823.11,769.87,11.2,11.7,12.0,16.0,3200.0,1000.0,4.5,3.0,1.8,64.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Elite SFF 800 G9
628D0ET",PC multimedia,HP Elite,Intel Core i5-13500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,12.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,"principiante, profesional, empresas",Socket 1700,1157.11,1227.99,1192.55,30.8,33.8,24.0,16.0,4800.0,512.0,4.8,10.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo IdeaCentre Gaming 5 17IAB7
90T100DHES",PC gaming,Lenovo IdeaCentre,Intel Core i5-12400F,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1199.0,1601.79,1400.39,30.4,17.0,18.0,16.0,3200.0,512.0,4.4,37.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"ASUS Vivo PN53
PN53-BBR575HD",Mini PC,ASUS Vivo,AMD Ryzen 5 7535HS,disco duro SSD,AMD,Ryzen 5,0.0,ninguno,Raptor Lake,DDR5,8.0,AMD Radeon 660M,LAN 10/100/1000/2500,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket 1700,583.99,764.12,674.06,13.0,12.0,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
HP Mini Conference G9 9C428AW,Mini PC,HP Mini Conference,Intel Core i7-12700T,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,12.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,empresas,Socket 1700,611.63,1960.06,1285.85,17.5,17.7,25.0,16.0,4800.0,256.0,4.7,3.0,1.4,35.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M70q
11MY0033SP",PC multimedia,Lenovo ThinkCentre,Intel Core i5-11400T,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 10 Professional,Rocket Lake,DDR4,6.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1200,790.49,943.3,866.89,18.29,3.65,12.0,16.0,2666.0,512.0,3.7,17.0,1.3,35.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
ASUS Chromebox 5-S3006UN 90MS02N1-M001E0,Mini PC,ASUS Chromebox,Intel Core i7-1260P,disco duro M.2 SSD,Intel,Core i7,1.0,Google Chrome OS,Alder Lake,DDR4,12.0,Intel UHD Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,963.16,1035.97,999.57,16.6,16.7,18.0,16.0,3200.0,256.0,4.7,4.0,2.1,64.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Z1 G9 Tower
996X4ET",Workstation,HP,Intel Core i7-14700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR5,20.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,torre,"empresas, gaming, principiante, profesional",Socket 1700,1708.04,2416.83,2062.43,30.8,15.5,33.0,16.0,4800.0,512.0,5.4,33.0,2.1,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo IdeaCentre 5 14IMB05
14ACN6 90RX008NES",PC completo,Lenovo IdeaCentre,AMD Ryzen 5 5600G,disco duro M.2 SSD,AMD,Ryzen 5,1.0,FreeDOS,Cezanne,DDR4,6.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,459.0,631.8,545.4,28.4,14.5,16.0,16.0,3200.0,512.0,4.4,34.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
ASUS NUC 13 Pro Tall,Unknown,ASUS NUC,Unknown,disco duro M.2 SSD,Intel,Unknown,0.0,ninguno,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,362.5,1039.4,700.95,11.2,11.7,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Z2 SFF G9 Workstation
865K0ET",Unknown,HP Z2,Intel Core i7-13700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,16.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,1222.06,1463.78,1342.92,30.8,38.4,30.0,16.0,4800.0,512.0,5.2,10.0,2.1,219.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Lenovo IdeaCentre 5 14IAB7
90T3003EES",PC multimedia,Lenovo IdeaCentre,Intel Core i5-12400,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Alder Lake,DDR4,6.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,556.87,762.32,659.6,28.8,14.5,18.0,8.0,3200.0,512.0,4.4,34.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS NUC 12 Pro Slim
Kit (90AR00D1-M00010)",Unknown,ASUS NUC,Intel Core i3-1220P,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,10.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket FCBGA 1744,329.7,363.24,346.47,29.4,16.8,18.0,16.0,3200.0,1000.0,4.4,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Pro Mini 400 G9
623U2ET",Mini PC,HP Pro,Intel Core i7-13700T,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,821.01,1120.95,970.98,17.5,17.7,18.0,16.0,3200.0,512.0,4.7,3.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"ASUS ROG Strix G16CH
G16CH-1370KF0960",PC gaming,ASUS ROG,Intel Core i7-13700KF,disco duro SSD,Intel,Core i7,1.0,FreeDOS,Raptor Lake,DDR4,16.0,NVIDIA GeForce RTX 4080,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,2873.0,4485.0,3679.0,52.3,18.4,30.0,32.0,3200.0,1000.0,5.4,42.0,3.4,125.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP 290 PRO G9 Tower
883T8EA#ABZ",PC de oficina,HP,Intel Core i3-13100,disco duro SSD,Intel,Core i3,1.0,FreeDOS,Raptor Lake,DDR4,4.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,443.4,462.87,453.13,30.3,15.5,12.0,8.0,3200.0,256.0,4.5,33.0,3.4,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"ASUS NUC 14 Pro Slim
Kit (90AR0062-M00040)",Unknown,ASUS NUC,Intel Core 3 100U,disco duro M.2 SSD,Intel,Intel Core 3,0.0,ninguno,Raptor Lake,DDR5,6.0,Intel Arc Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,bricolaje,Socket 1700,395.5,510.75,453.12,11.2,11.7,10.0,16.0,3200.0,1000.0,4.7,3.0,1.2,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"HP Elite Tower 800 G9
99A92ET",PC de oficina,HP Elite,Intel Core i7-14700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,20.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1316.65,1866.91,1591.78,30.8,33.7,33.0,32.0,4800.0,512.0,5.4,15.0,2.1,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS U500MA
U500MA-75700G0090",PC multimedia,ASUS,AMD Ryzen 7 5700G,disco duro SSD,AMD,Ryzen 7,1.0,ninguno,Cezanne,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,minitorre,"principiante, bricolaje, empresas",Socket AM4,776.14,776.14,776.14,29.4,16.0,16.0,16.0,3200.0,512.0,4.6,37.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"ASUS ExpertCenter PN52
PN52-S9032MD",Unknown,ASUS PN,AMD Ryzen 9 5900HX,disco duro SSD,AMD,Ryzen 9,1.0,ninguno,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,torre,bricolaje,Socket 1700,964.63,1240.43,1102.53,13.0,12.0,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
ASUS ExpertCenter D7,Workstation,ASUS ExpertCenter,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,minitorre,empresas,Socket 1700,440.94,1279.25,860.1,29.3,9.5,18.0,16.0,3200.0,1000.0,4.7,34.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Beelink EQ13
N100 / 16GB / 500GB",Mini PC,Beelink,Intel N100,disco duro M.2 SSD,Intel,Intel N,1.0,Microsoft Windows 11 Home,Alder Lake,DDR5,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,264.99,289.99,277.49,12.6,12.6,6.0,16.0,3200.0,512.0,3.4,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Huawei MateStation S
6941487221141",PC multimedia,Huawei MateStation S,AMD Ryzen 5 4600G,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 10 Home,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,330.0,450.0,390.0,31.6,9.3,18.0,8.0,3200.0,256.0,4.7,29.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"GigaByte BRIX GB-BR
BRi7H-10710",Mini PC,GigaByte BRIX,Intel Core i7-10710U,disco duro SSD,Intel,Core i7,1.0,ninguno,Raptor Lake,DDR4,6.0,Intel UHD Graphics 620,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket BGA1528,351.03,628.99,490.01,11.9,11.3,12.0,16.0,3200.0,1000.0,4.7,4.0,2.8,15.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi 5
10M-075BEU",Mini PC,MSI Cubi,Intel Pentium 6405U,disco duro SSD,Intel,Pentium,0.0,ninguno,Comet Lake,DDR4,2.0,Intel HD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket FCBGA-1528pin,333.0,466.34,399.67,12.4,12.4,2.0,64.0,3200.0,1000.0,4.7,5.0,2.4,15.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Zone Evil ZE-160925
ZE-160925-I",PC gaming,Zone Evil,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 4070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1254.35,1362.83,1308.59,27.3,48.1,18.0,32.0,3200.0,1000.0,4.4,49.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Slim S01
S01-pF3010ns",PC multimedia,HP Slim,Intel Core i3-13100,disco duro M.2 SSD,Intel,Core i3,1.0,FreeDOS,Raptor Lake,DDR4,4.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,desktop,principiante,Socket 1700,476.45,520.99,498.72,27.0,9.5,5.0,8.0,3200.0,512.0,4.5,30.0,3.4,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Lenovo V55t-15
V55t-15API (11CC002ESP)",PC de oficina,Lenovo ThinkCentre,AMD Ryzen 3 3200G,disco duro M.2 SSD,AMD,Ryzen 3,1.0,Microsoft Windows 10 Professional,Raptor Lake,DDR4,3.0,AMD Radeon RX Vega 8,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,686.62,940.3,813.46,27.5,14.5,4.0,8.0,3200.0,256.0,4.0,36.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Dell Precision 3660 MT
R6PJR",PC de oficina,Dell Precision,Intel Core i7-13700,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,16.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,microtorre,empresas,Socket 1700,1162.79,1376.93,1269.86,42.0,17.3,30.0,16.0,4400.0,512.0,5.2,36.0,2.1,219.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Acer Chromebox CXI4
DT.Z1NEG.00C",Mini PC,Acer Chromebox,Intel Core i3-10110U,memoria flash,Intel,Core i3,1.0,Google Chrome OS,Comet Lake,DDR4,2.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket BGA1528,550.14,671.39,610.76,15.0,14.9,4.0,8.0,2666.0,64.0,4.1,4.0,2.8,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"iggual SFF PSIPCH
PSIPCH803",Workstation,iggual SFF PSIPCH,Intel Core i3-12100,disco duro SSD,Intel,Core i3,1.0,ninguno,Alder Lake,DDR4,4.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),"empresas, principiante",Socket 1700,352.35,404.42,378.38,41.0,23.0,12.0,8.0,3200.0,250.0,4.3,48.0,2.8,89.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
PcCom Work i3-12100 /16GB / 500GB SSD (S7829965),PC de oficina,PcCom Work,Intel Core i3-12100,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,4.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,379.0,379.0,379.0,29.4,16.8,12.0,16.0,3200.0,500.0,4.3,29.0,3.3,60.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Zotac ZBOX QCM7T3000,Unknown,Zotac ZBOX,Unknown,disco duro SSD,Intel,Core i7,0.0,ninguno,Comet Lake,DDR4,6.0,NVIDIA Quadro RTX 3000,Ethernet 10/100/1000,Desktop,barebone,bricolaje,Socket BGA1440,1269.88,2507.0,1888.44,21.0,20.3,12.0,16.0,3200.0,1000.0,5.0,6.0,2.8,45.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"Nitropc Set Nitro Plus
MKP-PA-NI-P",PC gaming,Nitropc Set Nitro,Intel Core i9-12900KF,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,16.0,NVIDIA GeForce RTX 4070 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2199.98,2299.99,2249.98,29.4,16.8,30.0,32.0,3200.0,2000.0,5.2,29.0,3.2,125.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
"Deep Gaming Nexus
83NEXR7016STHD",PC gaming,Deep Gaming Nexus,AMD Ryzen 7 5700G,disco duro SSD,AMD,Ryzen 7,2.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon RX Vega 8,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,564.0,605.0,584.5,39.0,21.0,16.0,16.0,3200.0,1000.0,4.6,43.0,3.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Intel NUC 11
Pro Kit (NUC11TNKv7)",Mini PC,Intel NUC,Intel Core i7-1185G7,disco duro M.2 SSD,Intel,Core i7,0.0,ninguno,Raptor Lake,DDR4,8.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket 1700,544.55,805.04,674.79,11.2,11.7,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Minisforum UN1290
B0D2NZR1JF",Mini PC,Minisforum,Intel Core i9-12900,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,16.0,Intel UHD Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,479.0,479.0,479.0,29.4,16.8,30.0,32.0,3200.0,1000.0,5.1,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Geekom Mini IT13,Mini PC,Geekom Mini,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,832.22,1054.44,943.33,11.2,11.7,18.0,16.0,3200.0,1000.0,4.7,4.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Medion Akoya S23005,PC multimedia,Medion Akoya,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Tiger Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket FCBGA1449,520.49,570.71,545.6,21.1,19.8,18.0,16.0,3200.0,1000.0,4.7,5.0,2.8,28.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Aures Gaming Basilisk A76X
RX78XT (BAS00003080)",PC gaming,Aures Gaming Basilisk,AMD Ryzen 5 7600X,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon RX 7800 XT,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,1399.9,1473.89,1436.89,29.4,16.8,18.0,16.0,6000.0,1000.0,4.7,29.0,2.8,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Leotec N100,Mini PC,Leotec,Intel N100,disco duro SSD,Intel,Intel Pentium,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,235.99,258.99,247.49,29.4,16.8,6.0,8.0,2666.0,128.0,3.4,29.0,2.8,6.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS PN51
PN51-BB555MDE1N",Mini PC,ASUS,AMD Ryzen 5 5500U,sin disco duro,AMD,Ryzen 5,0.0,ninguno,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),bricolaje,Socket 1700,570.0,778.75,674.38,11.5,11.5,18.0,16.0,3200.0,1000.0,4.7,4.0,2.8,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Beelink GK Mini (J4125 / 8GB / 128GB),Mini PC,Beelink GK Mini,Intel Celeron J4125,disco duro SSD,Intel,Celeron,1.0,Microsoft Windows 11 Home,Gemini Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket BGA1090,198.98,198.99,198.99,11.9,11.9,4.0,8.0,3200.0,128.0,2.7,2.0,2.8,10.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"GigaByte BRIX GB-BR
BRi5H-10210",Mini PC,GigaByte BRIX,Intel Core i5-10210U,disco duro SSD,Intel,Core i5,0.0,ninguno,Comet Lake,DDR4,4.0,Intel UHD Graphics 620,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket BGA1528,400.97,660.87,530.92,11.9,11.3,6.0,16.0,3200.0,1000.0,4.2,4.0,2.8,15.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi 12M
12M-003EU",Mini PC,MSI Cubi,Intel Core i5-1235U,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,10.0,Intel HD Graphics,LAN 10/100/1000/2500/5000/10000,Desktop,cubo,"principiante, empresas",Socket FCBGA 1744,533.25,752.77,643.01,12.4,12.4,12.0,8.0,3200.0,512.0,4.4,5.0,3.3,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Zone Evil Office Plus 22AH510I
22AH510I550",Unknown,Zone Evil Office,Intel Core i5-10400,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Comet Lake,DDR4,6.0,Intel HD Graphics 630,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1200,444.52,459.16,451.84,17.0,37.0,12.0,16.0,3200.0,500.0,4.3,35.0,2.8,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
