titulo,ofertas,tipo_de_producto,serie,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_tecnologia,pantalla_luminosidad_cd_m2,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_autonomia_de_la_bateria,alimentacion_vatios_hora,alimentacion,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,medidas_y_peso_profundidad,medidas_y_peso_altura,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,otras_caracteristicas_seguridad_integrada,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,pantalla_resolucion,pantalla_densidad_de_pixeles,pantalla_tasa_de_actualizacion_de_imagen,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,grafica_memoria,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,procesador_potencia_max_de_diseno_termico_tdp,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,ram_extension_de_memoria_maxima,grafica_tarjeta,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,alimentacion_voltaje_de_salida,alimentacion_intensidad_de_corriente,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,alimentacion_capacidad_de_la_bateria,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,disco_duro_capacidad_del_disco_duro,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,disco_duro_velocidad_de_rotacion_del_disco_duro,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,grafica_resolucion_externa_std,camara_resolucion_pulgadas,teclado_numero_de_teclas_horas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pulgadas,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,Categoria_General
"Apple MacBook Air 13"" 2024 M3",200.0,Portátil multimedia,Apple MacBook Air,13.6,34.544,Retina,500.0,Apple M3,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79 teclas,"teclas de función, teclas de dirección",4.0,polímero de litio,15 h,52.6,30 W,no,aluminio,con tapa,"21,5 cm",11 mm,"30,4 cm","1,24 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1026.53,2287.17,1656.85,6016x3384,1920x1080,79.0,15.0,30.0,21.5,11.0,30.4,1.24,,,,,,,,,,,,,,,,,,Laptop
"Apple MacBook Air 15"" 2024 M3",230.0,Portátil multimedia,Apple MacBook Air,15.3,38.862,Retina,500.0,Apple M3,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79 teclas,"teclas de función, teclas de dirección",6.0,polímero de litio,15 h,66.5,35 W,no,aluminio,con tapa,"23,8 cm",12 mm,34 cm,"1,51 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,IEEE 802.11ax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1270.42,2672.25,1971.34,6016x3384,1920x1080,79.0,15.0,35.0,23.8,12.0,34.0,1.51,,,,,,,,,,,,,,,,,,Laptop
"Apple MacBook Pro 14"" M4 (2024)",136.0,Portátil multimedia,Apple MacBook Pro,14.2,36.068,Retina,1.0,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,12.0 Megapixel,compatible con HD,1920 x 1080 píxeles,,79 teclas,,6.0,polímero de litio,13 h,70.0,67 W,no,aluminio,con tapa,"22,1 cm",16 mm,"31,3 cm","1,6 kg","USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,IEEE 802.11ax,3.024 x 1.964 píxeles,254 ppp,120 Hz,Apple,Apple M,1.0,Apple,memoria compartida,macOS Sequoia,SDXC,altavoces estéreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1731.44,4932.25,3331.85,8192x4608,1920x1080,79.0,13.0,67.0,22.1,16.0,31.3,1.6,3024x1964,254.0,120.0,,,,,,,,,,,,,,,Laptop
ASUS TUF Gaming A15 FA506 (2024),30.0,Portátil gaming,ASUS TUF Gaming,15.6,39.624,Full HD,,,SSD,,,"LAN, Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,2.0,ión-litio,,48.0,,,,con tapa,"25,6 cm",23 mm,"35,9 cm","2,3 kg","altavoces estéreo, micrófono integrado, USB-C, webcam","contraseña BIOS, contraseña de usuario, bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,144 Hz,,,1.0,,,,,,16:9,Rembrandt-R,L3,16 MB,16 GB RAM,DDR5,5.600 MHz,512 GB,teclado iluminado,3.0,negro,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,647.0,1031.71,839.36,4096x2304,,,,,25.6,23.0,35.9,2.3,1920x1080,,144.0,16.0,16.0,5600.0,512.0,4.0,,,,,,,,,,Laptop
GigaByte Aero 16 OLED BKF,29.0,Portátil gaming,Gigabyte Aero,16.0,40.64,UHD+,600.0,Intel Core i7-13700H,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,,88.0,240 W,,,con tapa,"25,5 cm",22 mm,"35,4 cm","1,9 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam, micrófono integrado",reconocimiento de rostro,,2023.0,IEEE 802.11ax,,,60 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,MicroSD,,16:10,Raptor Lake-H,L3,24 MB,16 GB RAM,DDR5,,1.000 GB,,,,,14.0,"1,8 GHz",5 GHz,45 W,GDDR6,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1031.31,2069.99,1550.65,,1920x1080,,,240.0,25.5,22.0,35.4,1.9,,,60.0,24.0,16.0,,1000.0,4.0,1.8,5.0,45.0,,,,,,,Laptop
"ASUS Zenbook 14 OLED UX3405
UX3405MA-PP606W",18.0,Portátil multimedia,ASUS Zenbook,14.0,35.56,3K,400.0,Intel Core Ultra 7 155H,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,75.0,65 W,,,con tapa,22 cm,15 mm,"31,2 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",lector de huellas digitales,,2023.0,IEEE 802.11ax,2.880 x 1.800 píxeles,,120 Hz,Intel,Intel Core Ultra 7,1.0,Intel,memoria compartida,Windows 11 Home,,,16:10,Meteor Lake,L3,24 MB,16 GB RAM,LPDDR5X,,512 GB,teclado iluminado,4.0,azul,,16.0,"3,8 GHz","4,8 GHz",28 W,,64.0,"0,2 ms",16 GB,Intel Arc Graphics,ninguna,ninguno,20 V,"3,25 A",Touchpad iluminado,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,968.76,1146.69,1057.72,,1920x1080,,,65.0,22.0,15.0,31.2,1.2,2880x1800,,120.0,24.0,16.0,,512.0,,3.8,4.8,28.0,16.0,20.0,3.25,,,,Laptop
ASUS ROG Zephyrus G16 GA605,5.0,Portátil gaming,ASUS Republic of Gamers,16.0,40.64,,,AMD Ryzen AI 9 HX 370,,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,4.0,ión-litio,,90.0,200 W,,,con tapa,"24,6 cm",16 mm,"35,4 cm","1,85 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11be,,,,,,1.0,NVIDIA,,Windows 11 Home,SD,Dolby Atmos,16:10,,,,,,,1.000 GB,,4.0,,,,,,,,,"0,2 ms",,,,,20 V,10 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2299.0,4010.22,3154.61,,1920x1080,,,200.0,24.6,16.0,35.4,1.85,,,,,,,1000.0,,,,,,20.0,10.0,,,,Laptop
"ASUS Zenbook 14 Duo OLED UX8406
UX8406MA-PZ255W",26.0,Portátil multimedia,ASUS Zenbook,14.0,35.56,3K,400.0,Intel Core Ultra 9 185H,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,,75.0,65 W,,,con tapa,"21,8 cm",20 mm,"31,4 cm","1,65 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,2.880 x 1.800 píxeles,,120 Hz,Intel,Intel Core Ultra 9,1.0,Intel,memoria compartida,Windows 11 Home,,Harman Kardon,16:10,Meteor Lake,L3,24 MB,32 GB RAM,LPDDR5X,,1.000 GB,,4.0,gris,,16.0,"3,8 GHz","5,1 GHz",28 W,,64.0,"0,2 ms",,Intel Arc Graphics,,ninguno,19 V,"3,42 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1849.2,2520.81,2185.01,,1920x1080,,,65.0,21.8,20.0,31.4,1.65,2880x1800,,120.0,24.0,32.0,,1000.0,,3.8,5.1,28.0,,19.0,3.42,,,,Laptop
ASUS Zenbook 14 OLED UM3406,34.0,Portátil multimedia,ASUS Zenbook,14.0,35.56,,400.0,AMD Ryzen 7 8840HS,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,75.0,65 W,,,con tapa,22 cm,15 mm,"31,2 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",lector de huellas digitales,,2024.0,IEEE 802.11ax,,,,AMD,AMD Ryzen 7,,,,,,,16:10,Hawk Point-HS,L3,24 MB,,,,,,4.0,negro,,8.0,"3,3 GHz","5,1 GHz",28 W,,,"0,2 ms",,,,,19 V,"3,42 A",,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,792.12,1162.83,977.47,,1920x1080,,,65.0,22.0,15.0,31.2,1.2,,,,24.0,,,,,3.3,5.1,28.0,,19.0,3.42,,,,Laptop
"Apple MacBook Air 13"" 2022 M2",117.0,Portátil multimedia,Apple MacBook Air,13.6,34.544,,500.0,,,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79 teclas,"teclas de función, teclas de dirección",4.0,polímero de litio,15 h,52.6,30 W,no,aluminio,con tapa,"21,5 cm",11 mm,"30,4 cm","1,24 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,931.68,1676.99,1304.34,6016x3384,1920x1080,79.0,15.0,30.0,21.5,11.0,30.4,1.24,,,,,,,,,,,,,,,,,,Laptop
Lenovo V15 G4,451.0,Portátil multimedia,,15.6,39.624,,250.0,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,"8,4 h",38.0,65 W,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,65 kg","USB-C, webcam, lector de tarjetas",,,2023.0,,,,,,,,,,,,,16:9,,,,,,,,,2.0,,,,,,,,,,,,,,20 V,"3,25 A",,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,329.99,1268.99,799.49,,,,8.4,65.0,23.6,20.0,35.9,1.65,,,,,,,,,,,,,20.0,3.25,,,,Laptop
ASUS Vivobook Go 15 E1504FA,166.0,Portátil profesional,ASUS Vivobook,15.6,39.624,,250.0,,,HDMI,,"Bluetooth, wifi",,integrada,,720 x 480 píxeles,,,teclado numérico,,ión-litio,,50.0,65 W,,,con tapa,"23,25 cm",18 mm,"36,03 cm","1,63 kg","USB-C, altavoces estéreo, webcam",,,2023.0,,,,,,,,,,,,SonicMaster,16:9,,,,,,,,,3.0,,,,,,,,,,,,,,19 V,"3,42 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,320.16,1022.4,671.28,,720x480,,,65.0,23.25,18.0,36.03,1.63,,,,,,,,,,,,,19.0,3.42,,,,Laptop
Lenovo LOQ 15 G9 2024,61.0,Portátil gaming,,15.6,39.624,,300.0,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,"5,3 h",60.0,170 W,,,con tapa,"25,9 cm",24 mm,36 cm,"2,38 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11ax,,,,,,,,,,,altavoces estéreo,16:9,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,729.0,1896.12,1312.56,,1920x1080,,5.3,170.0,25.9,24.0,36.0,2.38,,,,,,,,,,,,,,,,,,Laptop
GigaByte Aero 16 OLED BSF,20.0,Portátil gaming,Gigabyte Aero,16.0,40.64,,600.0,,,,integrado,"Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,,88.0,240 W,,,con tapa,"25,5 cm",22 mm,"35,4 cm","2,1 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,,,,Intel,,,,,,MicroSD,,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1326.64,2689.47,2008.05,,1920x1080,,,240.0,25.5,22.0,35.4,2.1,,,,,,,,4.0,,,,,,,,,,Laptop
ASUS ROG Zephyrus G14 GA403,22.0,Portátil gaming,ASUS Republic of Gamers,14.0,35.56,,500.0,,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,4.0,,,73.0,180 W,,,con tapa,22 cm,16 mm,"31,1 cm","1,5 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11ax,,,,,,,,,,MicroSD,,16:10,,,,,,,1.000 GB,,4.0,,,,,,,,,"0,2 ms",,,,,19 V,"9,23 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1799.0,3794.53,2796.77,,1920x1080,,,180.0,22.0,16.0,31.1,1.5,,,,,,,1000.0,,,,,,19.0,9.23,,,,Laptop
Samsung Galaxy Book 4,66.0,Portátil multimedia,Samsung Galaxy Book,15.6,39.624,Full HD,300.0,,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,15 h,54.0,45 W,,,con tapa,"22,9 cm",15 mm,"35,7 cm","1,55 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,IEEE 802.11ax,,,,Intel,,1.0,,memoria compartida,,MicroSD,Dolby Atmos,16:9,,L3,,,,,,,,,,,,,15 W,,64.0,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,599.0,1377.0,988.0,,1280x720,,15.0,45.0,22.9,15.0,35.7,1.55,,,,,,,,4.0,,,15.0,,,,,,,Laptop
Lenovo LOQ 15,61.0,Portátil gaming,,15.6,39.624,,350.0,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,"5,3 h",60.0,170 W,,,con tapa,"26,5 cm",25 mm,36 cm,"2,4 kg","USB-C, altavoces estéreo, webcam",,,2023.0,IEEE 802.11ax,,,,,,,,,,,altavoces estéreo,16:9,,,,,,,,,,,,,,,,,,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,729.0,1854.93,1291.97,,1920x1080,,5.3,170.0,26.5,25.0,36.0,2.4,,,,,,,,,,,,,,,,,,Laptop
"GigaByte Aero 16 OLED BSF
BSF-H3ES954SH",19.0,Portátil gaming,Gigabyte Aero,16.0,40.64,,600.0,Intel Core i7-13620H,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,,88.0,240 W,,,con tapa,"25,5 cm",22 mm,"35,4 cm","2,1 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,3.840 x 2.400 píxeles,,60 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB,Windows 11 Home,MicroSD,,16:10,Raptor Lake-H,L3,24 MB,16 GB RAM,DDR5,4.800 MHz,1.000 GB,teclado iluminado,,plateado,,10.0,"1,8 GHz","4,9 GHz",45 W,GDDR6,64.0,,64 GB,NVIDIA GeForce RTX 4070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1326.64,1542.41,1434.53,,1920x1080,,,240.0,25.5,22.0,35.4,2.1,3840x2400,,60.0,24.0,16.0,4800.0,1000.0,4.0,1.8,4.9,45.0,64.0,,,,,,Laptop
Lenovo V15 G2,96.0,Portátil multimedia,,15.6,39.62,,250.0,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,"5,5 h",38.0,,,,con tapa,"23,6 cm",20 mm,"35,9 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,2021.0,,,,,,,,,,,,altavoces estéreo,16:9,,,,,,,,,,,,,,,,,,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,237.36,958.5,597.93,,1280x720,,5.5,,23.6,20.0,35.9,1.7,,,,,,,,3.0,,,,,,,,,,Laptop
"ASUS Zenbook 14 OLED UM3406
UM3406HA-QD067W",23.0,Portátil multimedia,ASUS Zenbook,14.0,35.56,WUXGA,400.0,AMD Ryzen 7 8840HS,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,75.0,65 W,,,con tapa,22 cm,15 mm,"31,2 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",lector de huellas digitales,,2024.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,60 Hz,AMD,AMD Ryzen 7,1.0,AMD,memoria compartida,Windows 11 Home,,,16:10,Hawk Point-HS,L3,24 MB,16 GB RAM,LPDDR5X,,512 GB,teclado iluminado,4.0,negro,,8.0,"3,3 GHz","5,1 GHz",28 W,,64.0,"0,2 ms",16 GB,AMD Radeon Graphics,ninguna,ninguno,19 V,"3,42 A",Touchpad iluminado,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,792.12,1134.9,963.51,,1920x1080,,,65.0,22.0,15.0,31.2,1.2,1920x1200,,60.0,24.0,16.0,,512.0,,3.3,5.1,28.0,16.0,19.0,3.42,,,,Laptop
GigaByte Aorus 16X 2024,46.0,Portátil gaming,Gigabyte Aorus,16.0,40.64,WQXGA,,,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,99.0,240 W,,,con tapa,"25,4 cm",27 mm,"35,6 cm","2,3 kg","USB-C, altavoces estéreo, webcam",,,2024.0,IEEE 802.11be,,,,Intel,,1.0,,,,MicroSD,,16:10,,L3,,,,,,,,,,,,,55 W,GDDR6,64.0,,,,,,,,,,Gigabit-LAN,,,,Nexus AI,,,,,,,,,,,,,,,,,,,,,,Laptop,1368.99,2592.68,1980.84,,1920x1080,,,240.0,25.4,27.0,35.6,2.3,,,,,,,,4.0,,,55.0,,,,,,,Laptop
"Apple MacBook Air 13"" 2024 M3
Silver MC8H4Y/A",7.0,Portátil multimedia,Apple MacBook Air,13.6,34.544,Retina,500.0,Apple M3,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79 teclas,"teclas de función, teclas de dirección",4.0,polímero de litio,15 h,52.6,30 W,no,aluminio,con tapa,"21,5 cm",11 mm,"30,4 cm","1,24 kg","micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",lector de huellas digitales,sensor de luminosidad,2024.0,,2.560 x 1.664 píxeles,224 ppp,,Apple,Apple M,1.0,Apple,memoria compartida,macOS Sequoia,,,,,,,16 GB RAM,,,256 GB,teclado iluminado,,plateado,,8.0,,,,,,,,Apple M3 Graphics,ninguna,ninguno,,,,brillante,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1026.53,1315.18,1170.86,6016x3384,1920x1080,79.0,15.0,30.0,21.5,11.0,30.4,1.24,2560x1664,224.0,,,16.0,,256.0,,,,,,,,,,,Laptop
ASUS Zenbook 14 OLED UX3405,45.0,Portátil multimedia,ASUS Zenbook,14.0,35.56,,400.0,,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,75.0,65 W,,,con tapa,22 cm,15 mm,"31,2 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",lector de huellas digitales,,2023.0,IEEE 802.11ax,,,,,,1.0,Intel,memoria compartida,,,,16:10,,,,,,,,,4.0,,,,,,,,,"0,2 ms",,,,,20 V,"3,25 A",,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,968.76,2192.14,1580.45,,1920x1080,,,65.0,22.0,15.0,31.2,1.2,,,,,,,,,,,,,20.0,3.25,,,,Laptop
"ASUS TUF Gaming A15 FA506 (2024)
FA506NCR-HN006",2.0,Portátil gaming,ASUS TUF Gaming,15.6,39.624,Full HD,,AMD Ryzen 7 7435HS,,,,"LAN, Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,2.0,ión-litio,,48.0,,,,con tapa,"25,6 cm",23 mm,"35,9 cm","2,3 kg","altavoces estéreo, micrófono integrado, USB-C, webcam","contraseña BIOS, contraseña de usuario, bloqueo Kensington, Trusted Platform Module (TPM 2.0)",,2024.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,144 Hz,AMD,AMD Ryzen 7,1.0,NVIDIA,4.096 MB / 4 GB,sin sistema operativo,,,16:9,Rembrandt-R,L3,16 MB,16 GB RAM,DDR5,5.600 MHz,512 GB,teclado iluminado,3.0,negro,sí,8.0,"3,1 GHz","4,5 GHz",54 W,GDDR6,,,32 GB,NVIDIA GeForce RTX 3050,ninguna,ninguno,,,teclado numérico,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,669.0,698.0,683.5,4096x2304,,,,,25.6,23.0,35.9,2.3,1920x1080,,144.0,16.0,16.0,5600.0,512.0,4.0,3.1,4.5,54.0,32.0,,,,,,Laptop
"ASUS ROG Zephyrus G14 GA403
GA403UI-QS049",16.0,Portátil gaming,ASUS Republic of Gamers,14.0,35.56,3K,500.0,AMD Ryzen 9 8945HS,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,4.0,,,73.0,180 W,,,con tapa,22 cm,16 mm,"31,1 cm","1,5 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11ax,2.880 x 1.800 píxeles,,120 Hz,AMD,AMD Ryzen 9,1.0,NVIDIA,8.192 MB / 8 GB,sin sistema operativo,MicroSD,,16:10,Hawk Point-HS,L3,24 MB,32 GB RAM,LPDDR5X,6.400 MHz,1.000 GB,teclado iluminado,4.0,negro,,8.0,4 GHz,"5,2 GHz",45 W,GDDR6,,"0,2 ms",32 GB,NVIDIA GeForce RTX 4070,ninguna,ninguno,19 V,"9,23 A",,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,,,,,,,,,Laptop,1999.0,2606.28,2302.64,,1920x1080,,,180.0,22.0,16.0,31.1,1.5,2880x1800,,120.0,24.0,32.0,6400.0,1000.0,,4.0,5.2,45.0,32.0,19.0,9.23,,,,Laptop
ASUS Vivobook S15 S5507,81.0,Portátil multimedia,ASUS Vivobook,15.6,39.624,,600.0,,,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,,70.0,90 W,,,con tapa,"22,7 cm",16 mm,"35,3 cm","1,42 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2024.0,IEEE 802.11be,,,,Qualcomm,,1.0,,memoria compartida,,MicroSD,Harman Kardon,16:9,,,,,,,,,3.0,,,,,,,,,"0,2 ms",,,,,20 V,"4,5 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,716.61,1815.1,1265.86,,1920x1080,,,90.0,22.7,16.0,35.3,1.42,,,,,,,,,,,,,20.0,4.5,,,,Laptop
