procesador_frecuencia_turbo_max_ghz,procesador_numero_nucleos,disco_duro_capacidad_de_memoria_ssd_gb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,alimentacion_vatios_hora,procesador,procesador_tipo,grafica_tarjeta,ram_tipo,sistema_operativo_sistema_operativo,camara_resolucion_pixeles,pantalla_tecnologia,pantalla_resolucion_pixeles
4.7,10.0,512.0,16.0,4800.0,42.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,1000.0,16.0,4800.0,53.5,Intel Core i7-12650H,Intel Core i7,Intel Iris Xe Graphics,DDR5,Windows 11 Home,1280x720,Full HD,1920x1080
4.3,8.0,256.0,8.0,3200.0,38.0,AMD Ryzen 7 5700U,AMD Ryzen,AMD Radeon Graphics,DDR4,Windows 10 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,51.5,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
4.4,6.0,512.0,8.0,4800.0,42.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
3.6,4.0,512.0,8.0,2666.0,80.0,Intel Core i5-1035G1,Intel Core i5,Intel UHD Graphics,DDR4,Windows 10 Professional,1280x720,Full HD,1920x1080
2.8,2.0,32.0,4.0,4800.0,47.0,Intel Celeron N4500,Intel Celeron,Intel UHD Graphics,LPDDR4X,Chrome OS,1280x720,HD Ready,1366x768
2.8,2.0,64.0,4.0,4800.0,42.3,Intel Celeron N4500,Intel Celeron,Intel UHD Graphics,LPDDR4X,Chrome OS,1280x720,HD Ready,1366x768
5.1,16.0,1000.0,32.0,4800.0,83.0,Intel Core Ultra 9 185H,Intel Core Ultra 9,NVIDIA RTX 3000 Ada,DDR4,Windows 11 Professional,1280x720,WQXGA,2560x1600
5.0,16.0,1000.0,32.0,4800.0,95.0,Intel Core i9-12950HX,Intel Core i9,NVIDIA RTX A2000,DDR5,Windows 11 Professional,1280x720,WQUXGA,3840x2400
4.5,8.0,512.0,16.0,3200.0,57.0,AMD Ryzen 7 5825U,AMD Ryzen 7,AMD Radeon Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.3,12.0,512.0,16.0,6400.0,56.0,Intel Core Ultra 5 125U,Intel Core Ultra 5,Intel Graphics,LPDDR5,Windows 11 Professional,1280x720,WUXGA,1920x1200
5.1,16.0,1000.0,32.0,4800.0,99.9,Intel Core Ultra 9 185H,Intel Core Ultra 9,NVIDIA GeForce RTX 4060,DDR5,Free DOS,1920x1080,QHD+,2560x1600
4.6,10.0,512.0,16.0,4800.0,56.0,Intel Core i5-1335U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,"2,2K",2240x1400
4.5,8.0,512.0,16.0,5600.0,48.0,AMD Ryzen 7 7435HS,AMD Ryzen 7,NVIDIA GeForce RTX 3050,DDR5,sin sistema operativo,1280x720,Full HD,1920x1080
4.5,8.0,512.0,16.0,4266.0,72.0,AMD Ryzen 7 7730U,AMD Ryzen 7,AMD Radeon Graphics,LPDDR4X,Windows 11 Home,1280x720,WUXGA,1920x1200
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.2,8.0,512.0,32.0,4800.0,90.0,AMD Ryzen 9 7940HS,AMD Ryzen 9,NVIDIA GeForce RTX 4070,DDR5,sin sistema operativo,1280x720,Full HD,1920x1080
5.1,8.0,1000.0,32.0,7500.0,73.0,AMD Ryzen 7 8845HS,AMD Ryzen 7,NVIDIA GeForce RTX 4060,LPDDR5X,sin sistema operativo,1920x1080,Full HD,2560x1600
5.1,8.0,512.0,16.0,6400.0,61.0,AMD Ryzen 7 7840HS,AMD Ryzen 7,AMD Radeon 780M,LPDDR5X,Windows 11 Home,1920x1080,WUXGA,1920x1080
4.7,12.0,512.0,16.0,4800.0,70.0,Intel Core i5-13500H,Intel Core i5,NVIDIA GeForce RTX 4050,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,5600.0,51.0,AMD Ryzen 5 Pro 7540U,Ryzen 5,AMD Radeon 740M,DDR5,Windows 11 Professional,1280x720,WUXGA,1920x1200
4.7,10.0,512.0,16.0,4800.0,57.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.2,8.0,1000.0,32.0,4800.0,76.0,AMD Ryzen 9 7940HS,AMD Ryzen 9,NVIDIA GeForce RTX 4070,DDR5,Windows 11 Home,1920x1080,WQXGA,2560x1600
4.7,12.0,500.0,16.0,4800.0,62.32,Intel Core i5-13500H,Intel Core i5,NVIDIA GeForce RTX 4060,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,54.0,Qualcomm Snapdragon X Plus X1P-64-100,Qualcomm Snapdragon X Plus,Qualcomm Adreno X Plus,LPDDR5X,Windows 11 Professional,1920x1080,Full HD,2304x1536
4.9,10.0,1000.0,16.0,5200.0,53.5,Intel Core i7-13620H,Intel Core i7,NVIDIA GeForce RTX 4060,DDR5,Free DOS,1280x720,Full HD,1920x1080
4.9,10.0,1000.0,16.0,4800.0,47.0,Intel Core i7-13620H,Intel Core i7,Intel UHD Graphics,DDR5,Windows 11 Home,1280x720,Full HD,1920x1080
5.1,8.0,1000.0,32.0,5600.0,83.0,AMD Ryzen 7 8845HS,AMD Ryzen 7,NVIDIA GeForce RTX 4070,DDR5,sin sistema operativo,1920x1080,QHD,2560x1440
4.7,10.0,1000.0,16.0,4800.0,53.5,Intel Core i7-12650H,Intel Core i7,NVIDIA GeForce RTX 4050,DDR5,Windows 11 Home,1280x720,Full HD,1920x1080
3.4,4.0,128.0,8.0,4800.0,50.0,Intel Processor N100,Unknown,Intel UHD Graphics,LPDDR5,Windows 11 Professional,1280x720,Full HD,1920x1200
5.5,24.0,1000.0,32.0,5600.0,95.0,Intel Core i9-13950HX,Intel Core i9,NVIDIA GeForce RTX 4070,DDR5,Windows 11 Home,1920x1080,Full HD,3840x2400
4.8,16.0,1000.0,32.0,4800.0,53.8,Intel Core Ultra 7 155H,Intel Core Ultra 7,Intel Arc Graphics,DDR5,Free DOS,1280x720,Full HD,1920x1080
5.0,6.0,1000.0,64.0,4800.0,83.0,AMD Ryzen 5 8645HS,AMD Ryzen 5,NVIDIA GeForce RTX 4050,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.4,6.0,256.0,8.0,4800.0,50.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,LPDDR5,Chrome OS,1920x1080,Full HD,1920x1080
5.0,10.0,512.0,16.0,4800.0,48.5,Intel Core 5 120U,Intel Core 5,Intel Iris Xe Graphics,LPDDR5,Windows 11 Home,1920x1080,Full HD,1920x1080
5.4,10.0,512.0,16.0,4800.0,68.0,Intel Core 7 150U,Intel Core 7,Intel Iris Xe Graphics,LPDDR5,Windows 11 Home,1920x1080,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,51.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Chrome OS,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,42.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR5,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.8,16.0,1000.0,16.0,4800.0,83.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,NVIDIA RTX A1000,DDR5,Windows 11 Home,1280x720,WUXGA,1920x1200
4.7,10.0,1000.0,24.0,4800.0,70.0,Apple M4,Apple M,Apple M4 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,3024x1964
4.7,8.0,256.0,16.0,4800.0,66.5,Apple M3,Apple M,Apple M3 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,2880x1864
4.8,4.0,1000.0,32.0,4800.0,56.0,Intel Core i7-11370H,Intel Core i7,NVIDIA RTX A2000,LPDDR4X,Windows 10 Professional,1920x1080,Full HD,2400x1600
4.4,6.0,512.0,8.0,4800.0,42.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.5,6.0,512.0,8.0,3200.0,41.0,Intel Core i3-1315U,Intel Core 3,Intel UHD Graphics,DDR4,sin sistema operativo,1280x720,Full HD,1920x1080
3.8,8.0,512.0,8.0,3200.0,41.0,Intel Core i3-N305,Intel Core i3,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.4,10.0,512.0,8.0,4800.0,40.0,Intel Core i5-1235U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 10 Home,1280x720,Full HD,1920x1080
5.4,14.0,1000.0,32.0,4800.0,76.0,Intel Core i9-13900H,Intel Core i9,NVIDIA GeForce RTX 4070,LPDDR5,Windows 11 Home,1920x1080,2.8K,2880x1800
4.7,8.0,512.0,8.0,1866.0,51.0,Qualcomm Snapdragon 8cx,Qualcomm Kryo,Qualcomm Adreno 680,LPDDR4X,Windows 11 Home,1280x720,Full HD,1920x1080
4.6,10.0,512.0,16.0,4800.0,48.5,Intel Core i5-1335U,Intel Core i5,NVIDIA GeForce RTX 2050,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,83.0,AMD Ryzen 9 Pro 7940HS,AMD Ryzen 9,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,3200.0,57.0,Intel Core i7-1255U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.7,8.0,512.0,16.0,4800.0,66.5,Apple M3,Apple M,Intel Iris Xe Graphics,DDR4,macOS Sequoia,1920x1080,Retina,1920x1080
5.1,8.0,512.0,16.0,4800.0,80.0,AMD Ryzen 7 8845HS,AMD Ryzen 7,NVIDIA GeForce RTX 4060,DDR5,Windows 11 Home,1920x1080,Full HD,2560x1600
4.3,12.0,512.0,16.0,5600.0,57.0,Intel Core Ultra 5 125U,Intel Core Ultra 5,Intel Graphics,DDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.7,10.0,512.0,16.0,4800.0,42.0,Intel Core i7-1255U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,56.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
2.6,1.0,256.0,4.0,2133.0,56.0,Intel Core i3-1115G4,Intel Core i3,Intel UHD Graphics,DDR4,Windows 10 Professional,1280x720,Full HD,1920x1080
4.6,14.0,512.0,16.0,4800.0,80.0,Intel Core i5-13450HX,Intel Core i5,NVIDIA GeForce RTX 4060,DDR4,sin sistema operativo,1920x1080,WQXGA,2560x1600
4.7,10.0,512.0,16.0,4800.0,71.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
4.8,16.0,1000.0,32.0,4800.0,57.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,Intel Arc Graphics,DDR4,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.7,8.0,512.0,24.0,4800.0,66.5,Apple M3,Apple M,Apple M3 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,2880x1864
5.1,8.0,1000.0,32.0,5600.0,83.0,AMD Ryzen 7 8845HS,AMD Ryzen AI 7,NVIDIA GeForce RTX 4060,DDR5,Windows 11 Home,1920x1080,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,76.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.3,8.0,512.0,8.0,3200.0,35.0,AMD Ryzen 7 5700U,AMD Ryzen 7,AMD Radeon Graphics,DDR4,Windows 10 Home,1280x720,Full HD,1920x1080
5.5,24.0,2000.0,32.0,5600.0,95.0,Intel Core i9-13950HX,Intel Core i9,NVIDIA GeForce RTX 4090,DDR5,Windows 11 Home,1920x1080,WUXGA,1920x1200
5.4,24.0,1000.0,32.0,4800.0,86.0,Intel Core i9-13900HX,Intel Core i9,NVIDIA GeForce RTX 4060,DDR4,Windows 11 Home,1280x720,WQXGA,2560x1600
4.4,10.0,512.0,8.0,4800.0,41.0,Intel Core i5-1235U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.8,4.0,512.0,16.0,4800.0,56.0,Intel Core i7-11370H,Intel Core i7,NVIDIA GeForce RTX 3050 Ti,LPDDR4X,Windows 10 Professional,1920x1080,Full HD,2400x1600
4.4,8.0,512.0,16.0,4800.0,56.0,Intel Core i5-12450H,Intel Core i5,Intel UHD Graphics,LPDDR4X,Windows 11 Home,1280x720,WUXGA,1920x1200
5.1,16.0,1000.0,32.0,4800.0,72.0,Intel Core Ultra 9 185H,Intel Core Ultra 9,NVIDIA GeForce RTX 4070,DDR5,Windows 11 Home,1280x720,HD+,1600x900
4.7,10.0,512.0,16.0,4800.0,42.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.3,20.0,512.0,16.0,4800.0,83.0,Intel Core i7-13850HX,Intel Core i7,NVIDIA RTX A2000,DDR5,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.0,6.0,256.0,8.0,3200.0,57.0,AMD Ryzen 5 5625U,AMD Ryzen,AMD Radeon Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.3,4.0,256.0,8.0,4800.0,38.0,AMD Ryzen 5 7520U,AMD Ryzen 5,AMD Radeon 610M,LPDDR5,Windows 11 Home,1280x720,Full HD,1920x1080
2.8,2.0,512.0,16.0,4800.0,56.0,Intel Celeron N4020,Intel Celeron,Intel Iris Xe Graphics,DDR4,Windows 10 Professional,1280x720,Full HD,1920x1080
4.8,16.0,1000.0,32.0,4800.0,56.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,Intel Arc Graphics,DDR5,Windows 11 Professional,1280x720,WQXGA,2560x1600
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.4,10.0,1000.0,16.0,4800.0,48.5,Intel Core 7 150U,Intel Core 7,Intel UHD Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
4.0,12.0,512.0,16.0,4800.0,56.0,Qualcomm Snapdragon X Elite X1E-80-100,Qualcomm Snapdragon X Elite,Qualcomm Adreno,LPDDR5X,Windows 11 Home,1280x720,WQXGA+,2880x1800
4.7,10.0,512.0,16.0,4800.0,42.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
3.8,8.0,256.0,8.0,4800.0,56.0,Intel Core i3-N305,Intel Core i3,Intel UHD Graphics,DDR5,Windows 11 Home,640x480,Full HD,1920x1080
4.6,10.0,512.0,16.0,4800.0,42.0,Intel Core i5-1335U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.5,20.0,1000.0,32.0,5600.0,99.9,Intel Core i7-14700HX,Intel Core i7,NVIDIA GeForce RTX 4060,DDR5,Windows 11 Home,1920x1080,Full HD,2560x1600
4.5,8.0,1000.0,16.0,3200.0,57.0,AMD Ryzen 7 Pro 7730U,AMD Ryzen 7,AMD Radeon Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.8,16.0,512.0,16.0,5600.0,45.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,Intel Arc Graphics,DDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
5.0,16.0,512.0,16.0,4800.0,56.0,Intel Core Ultra 7 165H,Intel Core Ultra 7,Intel Arc Graphics,LPDDR5,Windows 11 Professional,1920x1080,Full HD,2256x1504
4.4,10.0,256.0,8.0,3200.0,57.0,Intel Core i5-1235U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.7,14.0,1000.0,36.0,4800.0,100.0,Apple M4 Max,Apple M,Apple M4 Max Graphics,DDR4,macOS Sequoia,1920x1080,Retina,3456x2234
4.4,6.0,256.0,8.0,4800.0,41.0,Intel Core i3-1215U,Intel Core i3,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,3840x2160
4.5,6.0,512.0,16.0,4800.0,56.0,Intel Core i5-11400H,Intel Core i5,NVIDIA GeForce RTX 3070,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.9,10.0,1000.0,16.0,4800.0,88.0,Intel Core i7-13620H,Intel Core i7,NVIDIA GeForce RTX 4070,DDR5,Windows 11 Home,1920x1080,Full HD,3840x2400
4.8,12.0,512.0,16.0,6400.0,46.0,Intel Core Ultra 7 155U,Intel Core Ultra 7,Intel Graphics,LPDDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
3.4,12.0,1000.0,16.0,4800.0,54.0,Qualcomm Snapdragon X Elite X1E-80-100,Qualcomm Snapdragon X Elite,Qualcomm Adreno X Elite,LPDDR5X,Windows 11 Professional,1920x1080,Full HD,2304x1536
4.7,6.0,512.0,16.0,4800.0,45.0,AMD Ryzen 5 7535HS,AMD Ryzen 5,AMD Radeon 660M,DDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.5,8.0,512.0,16.0,4800.0,42.0,AMD Ryzen 7 7730U,AMD Ryzen 7,AMD Radeon Graphics,DDR4,sin sistema operativo,1280x720,Full HD,1920x1080
5.6,24.0,2000.0,32.0,5600.0,99.0,Intel Core i9-14900HX,Intel Core i9,NVIDIA GeForce RTX 4080,DDR5,Windows 11 Home,1920x1080,QHD,2560x1440
4.7,10.0,512.0,16.0,4800.0,56.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Chrome OS,1280x720,Full HD,1920x1080
5.4,10.0,1000.0,32.0,4800.0,66.0,Intel Core 7 150U,Intel Core 7,Intel Iris Xe Graphics,LPDDR5X,Windows 11 Professional,1280x720,2.8K,2880x1800
5.0,10.0,512.0,16.0,4800.0,51.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,WQXGA,1920x1080
4.7,8.0,512.0,16.0,4800.0,52.6,Apple M3,Apple M,Apple M3 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,2560x1664
5.6,24.0,512.0,16.0,4800.0,90.0,Intel Core i9-14900HX,Intel Core i9,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,WQXGA,1920x1080
4.7,10.0,512.0,16.0,4800.0,54.0,Qualcomm Snapdragon X Plus X1P-64-100,Unknown,Qualcomm Adreno X Plus,LPDDR5X,Windows 11 Professional,1920x1080,WQXGA,2560x1600
4.0,6.0,512.0,16.0,3200.0,41.0,AMD Ryzen 5 5500U,AMD Ryzen 5,AMD Radeon Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,37.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.4,8.0,512.0,16.0,4800.0,60.0,Intel Core i5-12450HX,Intel Core i5,NVIDIA GeForce RTX 4060,DDR5,sin sistema operativo,1920x1080,Full HD,1920x1080
4.4,12.0,512.0,16.0,4800.0,63.0,Intel Core i5-1240P,Intel Core i5,Intel UHD Graphics,DDR5,Windows 11 Professional,1280x720,WQXGA,2560x1600
4.4,8.0,512.0,16.0,4800.0,48.8,Intel Core i5-12450H,Intel Core i5,Intel Iris Xe Graphics,DDR5,Windows 11 Home,1280x720,Full HD,3200x2000
4.4,10.0,256.0,16.0,4800.0,50.0,Intel Core i5-1235U,Intel Core i5,Intel UHD Graphics,LPDDR5,Chrome OS,1920x1080,Full HD,1920x1080
4.7,12.0,512.0,36.0,4800.0,100.0,Apple M3 Pro,Apple M,Apple M3 Graphics,DDR4,macOS Sonoma,1920x1080,Retina,3456x2234
4.7,10.0,512.0,16.0,4800.0,54.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
4.4,8.0,512.0,16.0,3200.0,52.4,Intel Core i5-12450H,Intel Core i5,NVIDIA GeForce RTX 3050,DDR4,sin sistema operativo,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,42.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
3.6,4.0,256.0,8.0,2666.0,31.0,Intel Core i5-1035G1,Intel Core i5,Intel UHD Graphics,DDR4,Windows 10 Professional,1280x720,HD Ready,1366x768
2.6,1.0,256.0,4.0,3200.0,41.0,Intel Core i3-1115G4,Intel Core i3,Intel UHD Graphics,DDR4,Windows 10 S,1280x720,HD Ready,1366x768
4.7,10.0,512.0,16.0,4800.0,42.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.2,4.0,512.0,8.0,4800.0,73.4,Intel Core i5-1135G7,Intel Core i5,Intel Iris Xe Graphics,DDR4,sin sistema operativo,1280x720,Full HD,1920x1080
3.6,4.0,256.0,8.0,2666.0,41.0,Intel Core i5-1035G1,Intel Core i5,Intel UHD Graphics,DDR4,Windows 10 Professional,1280x720,Full HD,1920x1080
4.8,14.0,1000.0,16.0,4800.0,72.0,Intel Core i7-1280P,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,WUXGA,1920x1200
4.6,10.0,512.0,16.0,4800.0,42.0,Intel Core i5-1335U,Intel Core i5,Intel UHD Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,54.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
5.0,12.0,512.0,16.0,4800.0,70.0,Intel Core i7-1360P,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.3,8.0,512.0,8.0,4800.0,56.0,AMD Ryzen 7 5700U,AMD Ryzen 7,AMD Radeon Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
4.4,6.0,512.0,8.0,4800.0,42.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
4.4,6.0,256.0,8.0,4800.0,42.0,Intel Core i3-1215U,Intel Core i3,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.0,10.0,512.0,16.0,4800.0,50.0,Intel Core i7-1355U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,WUXGA,1920x1200
2.6,1.0,512.0,16.0,3200.0,63.0,Intel Core i7-1185G7,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 10 Professional,1280x720,Full HD,1920x1080
4.8,16.0,1000.0,32.0,5600.0,56.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,NVIDIA GeForce RTX 2050,DDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.5,8.0,1000.0,16.0,4800.0,60.0,AMD Ryzen 7 7435HS,AMD Ryzen 7,NVIDIA GeForce RTX 4070,DDR4,Windows 11 Home,1920x1080,WUXGA,1920x1200
4.8,16.0,1000.0,32.0,4800.0,63.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,Intel Arc Graphics,DDR5,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.8,12.0,1000.0,32.0,4800.0,57.0,Intel Core Ultra 7 155U,Intel Core Ultra 7,Intel Arc Graphics,LPDDR5X,Windows 11 Professional,1920x1080,WUXGA,1920x1200
4.4,10.0,512.0,8.0,3200.0,41.0,Intel Core i5-1235U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
5.2,8.0,1000.0,32.0,5600.0,56.0,AMD Ryzen 9 8945HS,AMD Ryzen 9,NVIDIA GeForce RTX 4070,DDR5,Windows 11 Home,1280x720,Full HD,2560x1600
5.2,8.0,512.0,16.0,4800.0,75.0,AMD Ryzen 9 7940HS,AMD Ryzen 9,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1920x1080,Full HD,1920x1080
5.0,16.0,2000.0,32.0,4800.0,90.0,Intel Core i7-13700HX,Intel Core i7,NVIDIA GeForce RTX 4070,DDR4,Windows 11 Professional,1920x1080,WQXGA,2560x1600
4.7,10.0,512.0,16.0,4800.0,66.5,Apple M3,Apple M,Apple M3 Graphics,DDR4,macOS Sequoia,1920x1080,Retina,2880x1864
4.8,16.0,512.0,16.0,4800.0,71.0,Intel Core Ultra 7 155H,Intel Core Ultra 7,NVIDIA GeForce RTX 4060,DDR4,Free DOS,1920x1080,2.8K,2880x1800
4.2,4.0,256.0,8.0,4800.0,56.0,Intel Core i5-1135G7,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
5.0,16.0,256.0,16.0,4800.0,56.0,Intel Core Ultra 7 165H,Intel Core Ultra 7,Intel Arc Graphics,LPDDR5X,Windows 11 Professional,1920x1080,Full HD,2256x1504
4.7,10.0,128.0,4.0,4800.0,58.0,Intel Processor N100,Unknown,Intel UHD Graphics,DDR4,Windows 11 S,1280x720,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,41.0,Unknown,Unknown,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.4,10.0,512.0,8.0,3200.0,41.0,Intel Core i5-1235U,Intel Core Ultra 5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.4,10.0,512.0,8.0,3200.0,41.0,Intel Core i5-1235U,Intel Core i5,Intel Iris Xe Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
4.4,10.0,256.0,8.0,4800.0,50.0,Intel Core i5-1235U,Intel Core i5,Intel UHD Graphics,LPDDR5,Chrome OS,1920x1080,Full HD,1920x1080
4.7,14.0,1000.0,16.0,4800.0,80.0,Intel Core i7-12700H,Intel Core i7,Intel Arc A730M,DDR5,Windows 11 Home,1280x720,QHD+,2560x1600
4.7,8.0,512.0,8.0,4800.0,66.5,Apple M2,Apple M,Apple M2 Graphics,DDR4,macOS Sonoma,1920x1080,Retina,2880x1864
4.7,10.0,512.0,16.0,3200.0,60.0,Intel Core i7-1255U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1920x1080,Full HD,1920x1080
4.7,10.0,512.0,16.0,4800.0,56.0,Intel Core i7-1255U,Intel Core i7,Intel Iris Xe Graphics,DDR4,Windows 11 Professional,1280x720,Full HD,1920x1080
4.2,4.0,256.0,8.0,4800.0,41.0,Intel Core i5-1135G7,Intel Core i5,Intel UHD Graphics,DDR4,Windows 11 Home,1280x720,Full HD,1920x1080
3.8,8.0,256.0,8.0,3200.0,41.0,Intel Core i3-N305,Intel Core i3,Intel UHD Graphics,DDR4,Free DOS,1280x720,Full HD,1920x1080
