titulo,tipo_de_producto,serie,pantalla_tecnologia,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_version_bluetooth,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,ram_tipo,alimentacion_numero_de_celdas,medidas_y_peso_color,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_transmision_de_datos,comunicaciones_estandar_lan,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,camara_resolucion_pixeles,webcam_mpx,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pixeles,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,volumen_cm3,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
Lenovo ThinkPad X13 Yoga,Portátil convertible,Lenovo ThinkPad,Full HD,Unknown,SSD,HDMI,integrado,5.2,2.0,polímero de litio,52.0,convertible,2020.0,IEEE 802.11ax,Intel,Unknown,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,2019.37,2019.37,2019.37,13.3,33.78,1280x720,0.9,18.0,65.0,21.4,15.0,30.5,1.2,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,979.05,Laptop,0,0,0
"LG Gram 17 (2023)
17Z90S-G.AA75B",Portátil multimedia,LG Gram,WQXGA,Intel Core i7-1360P,SSD,HDMI,integrado,5.1,2.0,ión-litio,80.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Raptor Lake-P,L3,LPDDR5,3.0,negro,12.0,Intel Arc Graphics,ninguna,Gigabit-LAN,Laptop,1155.42,2091.35,1623.38,17.3,43.942,1920x1080,0.9,20.0,65.0,25.9,18.0,37.9,1.4,2560x1600,18.0,16.0,7467.0,512.0,5.0,28.0,1766.898,Laptop,1,0,1
"Apple MacBook Air 13"" 2024 M3
Space Gray MRXP3Y/A",Portátil multimedia,Apple MacBook Air,Retina,Apple M3,SSD,Thunderbolt 4,ninguno,5.3,4.0,polímero de litio,52.6,con tapa,2024.0,IEEE 802.11ax,Apple,Apple M,1.0,Apple,macOS Sequoia,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,gris,10.0,Apple M3 Graphics,ninguna,Gigabit-LAN,Laptop,1259.01,1587.68,1423.35,13.6,34.544,1920x1080,0.9,15.0,30.0,21.5,11.0,30.4,1.24,2560x1664,12.0,8.0,4800.0,512.0,4.7,28.0,718.96,Laptop,1,0,1
"ASUS Vivobook 17 F1704
F1704VA-AU186W",Portátil multimedia,ASUS Vivobook,Full HD,Intel Core i5-1335U,PCIe SSD,HDMI,ninguno,5.3,2.0,ión-litio,50.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Windows 11 Home,MicroSD,SonicMaster,16:9,Raptor Lake-U,L3,DDR4,3.0,plateado,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,640.0,863.44,751.72,17.3,43.942,1280x720,0.9,10.0,65.0,25.4,20.0,39.9,2.1,1920x1080,12.0,16.0,4800.0,512.0,4.6,15.0,2026.92,Laptop,1,0,1
"ASUS Zenbook 13 (UX325)
OLED (UX325EA-KG238)",Portátil multimedia,ASUS Zenbook,Full HD,Intel Core i5-1135G7,PCIe SSD,HDMI,integrado,5.0,2.0,ión-litio,67.0,con tapa,2020.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Free DOS,MicroSD,altavoces estéreo,16:9,Tiger Lake UP3,L3,LPDDR4X,4.0,gris,4.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1159.21,1680.91,1420.06,13.3,33.782,1280x720,0.9,10.0,65.0,20.3,14.0,30.4,1.15,1920x1080,8.0,16.0,4800.0,512.0,4.2,15.0,863.968,Laptop,0,0,0
"MSI CreatorPro X17 HX A13
A13VJT-018FR",Portátil multimedia,MSI Creator,Full HD,Intel Core i7-13700HX,SSD,HDMI,integrado,5.3,4.0,ión-litio,99.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake,L3,DDR5,4.0,plateado,16.0,NVIDIA RTX 2000 Ada,ninguna,"2,5-Gbit/s-Ethernet",Laptop,3312.88,3312.88,3312.88,17.3,43.942,1280x720,0.9,10.0,330.0,33.0,23.0,39.7,3.3,1600x900,30.0,32.0,5600.0,2000.0,5.0,55.0,3013.23,Laptop,0,0,1
"Acer Chromebook 514 CB514-1W
CB514-1W-53FD",Chromebook,Acer Chromebook,Full HD,Intel Core i5-1135G7,SSD,HDMI,integrado,5.1,2.0,ión-litio,48.0,con tapa,2022.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Chrome OS,MicroSD,altavoces estéreo,16:9,Tiger Lake UP3,L3,LPDDR4X,4.0,plateado,4.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,743.36,874.28,808.82,14.0,35.56,1280x720,0.9,10.0,45.0,22.0,19.0,32.3,1.4,1920x1080,8.0,8.0,4800.0,512.0,4.2,15.0,1350.14,Laptop,1,0,1
HP Omen 16 2023,Portátil gaming,HP Omen,Full HD,Unknown,SSD,HDMI 2.1,integrado,5.3,2.0,ión-litio,83.0,con tapa,2023.0,IEEE 802.11ax,Intel,Unknown,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,6.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1199.0,2798.28,1998.64,16.1,40.894,1920x1080,0.9,8.25,230.0,25.9,24.0,36.9,2.36,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,2293.7039999999997,Laptop,1,0,1
MSI Creator M16 HX C14V,Portátil multimedia,MSI Creator,Full HD,Unknown,SSD,HDMI 2.1,integrado,5.3,2.0,ión-litio,65.0,con tapa,2024.0,IEEE 802.11ax,Intel,Unknown,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,DDR4,4.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1238.0,3226.74,2232.37,16.0,40.64,1280x720,0.9,10.0,180.0,26.6,28.0,35.9,2.38,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,2673.832,Laptop,1,0,1
HP 240 G10,Unknown,HP 240,Full HD,Unknown,SSD,HDMI 1.4,integrado,5.3,2.0,ión-litio,41.0,con tapa,2023.0,IEEE 802.11ax,Intel,Unknown,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake-U,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,611.19,1256.39,933.79,14.0,35.56,1280x720,0.9,10.0,65.0,21.5,17.0,32.4,1.36,1920x1080,12.0,16.0,4800.0,512.0,4.7,15.0,1184.22,Laptop,1,0,1
