titulo,tipo_de_producto,serie,pantalla_tecnologia,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_version_bluetooth,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,ram_tipo,alimentacion_numero_de_celdas,medidas_y_peso_color,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_transmision_de_datos,comunicaciones_estandar_lan,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,camara_resolucion_pixeles,webcam_mpx,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pixeles,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,volumen_cm3,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
"HP 15s (2021)
15s-eq2134ns",Portátil multimedia,HP,Full HD,AMD Ryzen 5 5500U,SSD,HDMI,integrado,4.2,2.0,ión-litio,41.0,con tapa,2019.0,IEEE 802.11ax,AMD,AMD Ryzen 5,1.0,AMD,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Lucienne U,L3,DDR4,3.0,plateado,6.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,504.0,642.91,573.45,15.6,39.624,1280x720,0.9,7.25,45.0,24.2,18.0,35.9,1.69,1920x1080,8.0,8.0,3200.0,512.0,4.0,25.0,1563.804,Laptop,1,0,1
"Lenovo ThinkPad P16 G2
21FA000JGE",Portátil profesional,Lenovo ThinkPad,WUXGA,Intel Core i9-13980HX,PCIe SSD,HDMI,integrado,5.1,2.0,polímero de litio,94.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i9,1.0,Intel,Windows 11 Professional,SD,altavoces estéreo,16:10,Raptor Lake,L3,DDR5,6.0,gris,24.0,Intel Arc Pro A30M,ninguna,Gigabit-LAN,Laptop,3324.08,3359.47,3341.77,16.0,40.64,1920x1080,0.9,10.0,170.0,26.6,30.0,36.4,2.95,1920x1200,36.0,64.0,5600.0,2000.0,5.6,55.0,2904.7200000000003,Laptop,1,0,1
"Lenovo Legion 5 Pro 16
82RF004RGE",Portátil gaming,Lenovo Legion,WQXGA,Intel Core i7-12700H,SSD,HDMI 2.1,integrado,5.1,2.0,polímero de litio,80.0,con tapa,2022.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,DDR4,3.0,gris,14.0,NVIDIA GeForce RTX 3060,ninguna,Gigabit-LAN,Laptop,1584.99,1584.99,1584.99,16.0,40.64,1280x720,0.9,8.0,300.0,26.4,27.0,35.6,2.45,2560x1600,24.0,16.0,4800.0,1000.0,4.7,45.0,2537.568,Laptop,1,0,1
"Apple MacBook Pro 14"" M4 (2024)
Space Black MX2H3D/A",Portátil multimedia,Apple MacBook Pro,Retina,Apple M4 Pro,SSD,HDMI,integrado,5.3,2.0,polímero de litio,70.0,con tapa,2024.0,IEEE 802.11ax,Apple,Apple M,1.0,Apple,macOS Sequoia,SDXC,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,negro,12.0,Apple M4 Pro Graphics,ninguna,Gigabit-LAN,Laptop,2019.0,2019.0,2019.0,14.2,36.068,1920x1080,12.0,13.0,67.0,22.1,16.0,31.3,1.6,3024x1964,12.0,24.0,4800.0,512.0,4.7,28.0,1106.768,Laptop,1,0,1
ASUS ExpertBook B3 (B3402),Portátil convertible,ASUS ExpertBook,Full HD,Unknown,SSD,HDMI,integrado,5.0,2.0,ión-litio,50.0,convertible,2021.0,IEEE 802.11ax,Intel,Unknown,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,902.42,1870.37,1386.39,14.0,35.56,1280x720,0.9,10.0,65.0,22.4,19.0,32.9,1.6,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,1400.2239999999997,Laptop,0,0,1
"Acer Nitro 16 (AN16-42)
AN16-42-R39G",Portátil gaming,Acer Nitro,WQXGA,AMD Ryzen 7 8845HS,SSD,HDMI,integrado,5.3,2.0,ión-litio,90.0,con tapa,2024.0,IEEE 802.11ax,AMD,AMD Ryzen 7,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Hawk Point-HS,L3,DDR4,4.0,negro,8.0,NVIDIA GeForce RTX 4070,ninguna,Gigabit-LAN,Laptop,1769.52,1798.03,1783.78,16.0,40.64,1280x720,0.9,10.0,230.0,28.0,28.0,36.0,2.65,2560x1600,24.0,16.0,4800.0,1000.0,5.1,45.0,2822.3999999999996,Laptop,1,0,1
"HP ProBook 450 G10
7L6Z4ET",Portátil profesional,HP ProBook,Full HD,Intel Core i7-1355U,SSD,HDMI,integrado,5.3,2.0,ión-litio,51.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake-U,L3,DDR4,3.0,plateado,10.0,NVIDIA GeForce RTX 2050,ninguna,Gigabit-LAN,Laptop,1935.89,1935.89,1935.89,15.6,39.624,1280x720,0.9,10.0,45.0,23.4,20.0,35.9,1.79,1920x1080,12.0,32.0,3200.0,1000.0,5.0,15.0,1680.12,Laptop,1,0,1
"MSI Creator Z16P
B12UMST-070FR",Portátil multimedia,MSI Creator,WQXGA,Intel Core i9-12900H,SSD,Thunderbolt 4,integrado,5.2,4.0,polímero de litio,90.0,con tapa,2022.0,IEEE 802.11ax,Intel,Intel Core i9,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,DDR4,4.0,negro,14.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,6852.2,6852.2,6852.2,16.0,40.64,1920x1080,0.9,10.0,240.0,25.6,19.0,35.9,2.39,2560x1600,24.0,64.0,4800.0,2000.0,5.0,45.0,1746.176,Laptop,1,0,1
"LG Gram 15 (2023)
15Z90R-G.AP55B",Portátil multimedia,LG Gram,Full HD,Intel Core i7-1360P,SSD,HDMI,integrado,5.1,2.0,polímero de litio,80.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake-P,L3,LPDDR5,4.0,negro,12.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1080.08,1445.04,1262.56,15.5,39.37,1920x1080,0.9,15.0,65.0,22.2,17.0,35.6,1.1,1920x1080,18.0,16.0,6000.0,512.0,5.0,28.0,1343.544,Laptop,1,0,1
"Lenovo Yoga Slim 9 14 (2022)
82T0002QFR",Portátil multimedia,Lenovo Yoga,Full HD,Intel Core i7-1280P,SSD,Thunderbolt 4,integrado,5.1,2.0,ión-litio,75.0,con tapa,2022.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,LPDDR5,4.0,dorado,14.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,2262.59,2262.59,2262.59,14.0,35.56,1920x1080,0.9,11.5,65.0,20.1,14.0,31.8,1.4,1920x1080,24.0,16.0,4800.0,1000.0,4.8,28.0,894.8520000000001,Laptop,1,0,1
"Lenovo V15 G3
82TV006ESP",Portátil multimedia,Lenovo,Full HD,AMD Ryzen 5 5625U,SSD,HDMI,4 en 1,5.0,2.0,ión-litio,35.0,con tapa,2022.0,IEEE 802.11ac,AMD,AMD Ryzen 5,1.0,AMD,Free DOS,MicroSD,altavoces estéreo,16:9,Barcelo,L3,DDR4,2.0,negro,6.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,435.69,435.69,435.69,15.6,39.62,1280x720,0.9,10.0,65.0,23.6,20.0,35.9,1.7,1920x1080,16.0,8.0,3200.0,512.0,4.0,15.0,1694.48,Laptop,0,0,1
"ASUS Zenbook 14 OLED UM3402 (2023)
UM3402YA-KP679",Portátil multimedia,ASUS Zenbook,Full HD,AMD Ryzen 5 7530U,SSD,HDMI 2.1,integrado,5.0,2.0,ión-litio,75.0,con tapa,2023.0,IEEE 802.11ax,AMD,AMD Ryzen 5,1.0,AMD,Free DOS,MicroSD,altavoces estéreo,16:10,Barcelo-R,L3,LPDDR4X,4.0,negro,6.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,904.88,904.88,904.88,14.0,35.56,1280x720,0.9,10.0,65.0,22.1,17.0,31.4,1.65,2560x1600,16.0,16.0,4800.0,512.0,4.5,15.0,1179.698,Laptop,1,0,1
"Lenovo IdeaPad 1 15
15ALC7 82R400KPSP",Portátil multimedia,Lenovo IdeaPad,Full HD,AMD Ryzen 5 5500U,SSD,HDMI,integrado,5.0,2.0,ión-litio,42.0,con tapa,2022.0,IEEE 802.11ax,AMD,AMD Ryzen 5,1.0,AMD,Windows 11 Home,SD,altavoces estéreo,16:9,Lucienne U,L3,DDR4,3.0,gris,6.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,756.01,756.01,756.01,15.6,39.624,1280x720,1.0,7.5,65.0,23.6,18.0,36.0,1.6,1920x1080,8.0,16.0,3200.0,512.0,4.0,25.0,1529.28,Laptop,1,0,1
MSI Prestige 14 AI Studio,Unknown,MSI Prestige,Full HD,Unknown,SSD,HDMI 2.1,integrado,5.4,2.0,ión-litio,90.0,con tapa,2023.0,IEEE 802.11be,Intel,Unknown,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Meteor Lake,L3,DDR4,4.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1474.13,2483.15,1978.64,14.0,35.56,1920x1080,0.9,10.0,65.0,24.6,19.0,31.3,1.7,1920x1080,12.0,16.0,4800.0,1000.0,4.7,28.0,1462.962,Laptop,0,0,1
"GigaByte G7
GD-51ES123SO",Portátil gaming,Gigabyte G7,Full HD,Intel Core i5-11400H,PCIe SSD,HDMI,integrado,5.2,2.0,ión-litio,48.96,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,NVIDIA,Windows 11 Home,SD,altavoces estéreo,16:9,Tiger Lake H45,L3,DDR4,3.0,negro,6.0,NVIDIA GeForce RTX 3050,ninguna,Gigabit-LAN,Laptop,1240.0,1240.0,1240.0,17.3,43.94,1280x720,0.9,10.0,150.0,26.2,32.0,39.5,2.38,1920x1080,12.0,16.0,3200.0,512.0,4.5,45.0,3311.68,Laptop,1,0,1
"ASUS Vivobook 15 (12th Gen F1504)
F1504VA-NJ1712W",Unknown,ASUS Vivobook,Full HD,Intel Core i5-1334U,SSD,HDMI 1.4,integrado,5.2,2.0,ión-litio,42.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Windows 11 Home,MicroSD,SonicMaster,16:9,Raptor Lake,L3,DDR4,3.0,plateado,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,517.96,621.99,569.98,15.6,39.624,1280x720,0.9,10.0,65.0,23.25,17.0,35.97,1.7,1920x1080,12.0,16.0,4800.0,512.0,4.6,55.0,1421.71425,Laptop,1,0,1
"Lenovo LOQ 15 G9 2024
83JC005VPB",Portátil gaming,Lenovo LOQ,Full HD,Unknown,SSD,HDMI 2.1,integrado,5.1,2.0,polímero de litio,60.0,con tapa,2024.0,IEEE 802.11ax,Intel,Unknown,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR5,3.0,gris,10.0,NVIDIA GeForce RTX 3050,ninguna,Gigabit-LAN,Laptop,889.99,889.99,889.99,15.6,39.624,1920x1080,0.9,5.3,170.0,25.9,24.0,36.0,2.38,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,2237.76,Laptop,1,0,1
HP ZBook Studio G11,Portátil multimedia,HP ZBook,Full HD,Unknown,SSD,Thunderbolt 4,integrado,5.4,4.0,ión-litio,86.0,con tapa,2024.0,IEEE 802.11be,Intel,Unknown,1.0,NVIDIA,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,DDR4,6.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,2292.64,5337.01,3814.82,16.0,40.64,1280x720,0.9,10.0,150.0,24.2,19.0,35.6,1.74,1920x1080,12.0,32.0,4800.0,1000.0,4.7,28.0,1636.888,Laptop,1,0,1
"LG UltraPC 16
16U70R-G.AP56B",Portátil multimedia,LG UltraPC,WUXGA,AMD Ryzen 5 7530U,SSD,HDMI,integrado,5.1,2.0,ión-litio,72.0,con tapa,2022.0,IEEE 802.11ax,AMD,AMD Ryzen 5,1.0,AMD,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,Barcelo-R,L3,LPDDR4X,3.0,negro,6.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,725.03,1609.99,1167.51,16.0,40.64,1280x720,0.9,10.0,65.0,24.9,16.0,35.6,1.6,2920x1200,16.0,8.0,4266.0,512.0,4.5,15.0,1418.304,Laptop,1,0,1
"Lenovo ThinkPad X13 Yoga G4
21F2004YIX",Portátil convertible,Lenovo ThinkPad,Full HD,Intel Core i5-1335U,SSD,HDMI,integrado,5.2,2.0,polímero de litio,54.7,convertible,2023.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,Raptor Lake-U,L3,DDR4,4.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,3088.62,3088.62,3088.62,13.3,33.782,1920x1080,5.0,10.0,65.0,21.5,16.0,30.2,1.2,1920x1080,12.0,16.0,4800.0,512.0,4.6,15.0,1038.88,Laptop,1,0,1
"HP ZBook Studio G10
863H2ET#ABZ",Portátil multimedia,HP ZBook,Full HD,Intel Core i7-13700H,SSD,Thunderbolt 4,integrado,5.2,4.0,ión-litio,86.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,Raptor Lake-H,L3,DDR5,6.0,plateado,14.0,NVIDIA RTX 3000 Ada,ninguna,Gigabit-LAN,Laptop,3450.12,3450.12,3450.12,16.0,40.64,1280x720,0.9,10.0,200.0,24.2,19.0,35.6,1.73,3840x2160,24.0,32.0,5600.0,1000.0,5.0,45.0,1636.888,Laptop,1,0,1
"ASUS Vivobook 15 M1502
M1502YA-NJ448",Portátil multimedia,ASUS Vivobook,Full HD,AMD Ryzen 7 7730U,SSD,HDMI,integrado,5.0,2.0,ión-litio,42.0,con tapa,2023.0,IEEE 802.11ax,AMD,AMD Ryzen 7,1.0,AMD,sin sistema operativo,MicroSD,SonicMaster,16:9,Barcelo-R,L3,DDR4,3.0,plateado,8.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,529.0,701.0,615.0,15.6,39.624,1280x720,0.9,10.0,65.0,23.3,20.0,36.0,1.7,1920x1080,16.0,16.0,4800.0,512.0,4.5,15.0,1677.6,Laptop,1,0,1
"Lenovo ThinkPad P16
21D6000YFR",Portátil profesional,Lenovo ThinkPad,Full HD,Intel Core i7-12800HX,SSD,HDMI,integrado,5.2,2.0,polímero de litio,94.0,con tapa,2022.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 10 Professional,SD,altavoces estéreo,16:10,Alder Lake-HX,L3,DDR5,6.0,negro,16.0,Intel UHD Graphics,ninguna,Gigabit-LAN,Laptop,2336.87,2336.87,2336.87,16.0,40.64,1920x1080,0.9,10.0,170.0,26.6,30.0,36.4,2.95,1920x1200,25.0,16.0,4800.0,512.0,4.8,55.0,2904.7200000000003,Laptop,1,0,1
Acer Predator Helios Neo 14 PHN14-51,Portátil gaming,Acer Predator,Full HD,Unknown,SSD,HDMI,integrado,5.3,2.0,ión-litio,56.0,con tapa,2024.0,IEEE 802.11ax,Intel,Unknown,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,2407.04,2407.04,2407.04,14.5,36.83,1280x720,0.9,11.0,230.0,25.5,21.0,32.4,1.9,1920x1080,12.0,16.0,4800.0,512.0,4.7,28.0,1735.02,Laptop,1,0,1
"Acer Predator Helios Neo 16 PHN16-72
PHN16-72-74XC",Portátil gaming,Acer Predator,WQXGA,Intel Core i7-14650HX,SSD,HDMI,integrado,5.3,2.0,ión-litio,90.0,con tapa,2024.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Raptor Lake-HX Refresh,L3,DDR5,4.0,negro,16.0,NVIDIA GeForce RTX 4060,ninguna,"2,5-Gbit/s-Ethernet",Laptop,1987.5,2016.7,2002.1,16.0,40.64,1280x720,0.9,6.0,330.0,27.9,28.0,35.8,2.8,2560x1600,30.0,16.0,4800.0,1000.0,5.2,55.0,2796.6959999999995,Laptop,1,0,1
"Acer Chromebook Spin 13 (CP513-1H)
CP513-1H-S3XM",Chromebook,Acer Spin,Full HD,Qualcomm Snapdragon 7180c,memoria flash,HDMI,integrado,5.1,2.0,ión-litio,56.0,convertible,2021.0,IEEE 802.11ax,Qualcomm,Unknown,1.0,Intel,Chrome OS,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,plateado,10.0,Qualcomm Adreno 618,ninguna,Gigabit-LAN,Laptop,518.37,518.37,518.37,13.3,33.782,1280x720,0.9,14.0,45.0,20.9,16.0,31.0,1.3,1920x1080,12.0,4.0,4800.0,64.0,4.7,28.0,1036.64,Laptop,1,0,1
"LG Gram 17 (2023)
17Z90RG.AA75B",Portátil multimedia,LG Gram,WQXGA,Intel Core i7-1360P,SSD,HDMI,integrado,5.1,2.0,ión-litio,80.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Raptor Lake-P,L3,LPDDR5,3.0,negro,12.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1829.99,2189.54,2009.76,17.3,43.942,1920x1080,0.9,20.0,65.0,25.9,18.0,37.9,1.4,2560x1600,18.0,16.0,6000.0,512.0,5.0,28.0,1766.898,Laptop,1,0,1
"MSI Creator M16 B13
B13UDX-687XES",Portátil multimedia,MSI Creator,QHD+,Intel Core i7-13700H,SSD,HDMI 2.1,integrado,5.2,2.0,ión-litio,53.5,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,sin sistema operativo,MicroSD,altavoces estéreo,16:10,Raptor Lake-H,L3,DDR5,3.0,negro,14.0,NVIDIA GeForce RTX 3050,ninguna,Gigabit-LAN,Laptop,1901.3,1917.92,1909.61,16.0,40.64,1280x720,0.9,10.0,200.0,25.9,24.0,35.9,2.26,2560x1600,24.0,16.0,4800.0,1000.0,5.0,45.0,2231.544,Laptop,0,0,1
"Lenovo V15
82KD008SFR",Portátil multimedia,Lenovo,Full HD,AMD Ryzen 7 5700U,SSD,HDMI,4 en 1,5.2,2.0,ión-litio,35.0,con tapa,2019.0,IEEE 802.11ac,AMD,AMD Ryzen 7,1.0,AMD,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Lucienne U,L3,DDR4,2.0,negro,8.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,799.0,799.0,799.0,15.6,39.62,1280x720,0.9,6.0,45.0,25.2,20.0,36.2,2.1,1920x1080,8.0,8.0,3200.0,512.0,4.3,25.0,1824.48,Laptop,1,0,0
"ASUS ROG Zephyrus G16 GU605 (2024)
GU605MI-QR045",Portátil gaming,ASUS Republic of Gamers,2.5K,Intel Core Ultra 7 155H,SSD,HDMI,integrado,5.3,2.0,ión-litio,90.0,con tapa,2024.0,IEEE 802.11ax,Intel,Intel Core Ultra 7,1.0,NVIDIA,sin sistema operativo,MicroSD,altavoces estéreo,16:10,Meteor Lake,L3,LPDDR5X,4.0,gris,16.0,NVIDIA GeForce RTX 4070,ninguna,Gigabit-LAN,Laptop,3277.87,3277.87,3277.87,16.0,40.64,1920x1080,0.9,10.0,65.0,24.6,17.0,35.4,2.0,2560x1600,24.0,32.0,4800.0,1000.0,4.8,28.0,1480.428,Laptop,1,0,1
"HP 240 G10
8A5M3EA#ABZ",Unknown,HP 240,Full HD,Intel Core i7-1355U,SSD,HDMI 1.4,integrado,5.3,2.0,ión-litio,41.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Raptor Lake-U,L3,DDR4,3.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,1256.39,1256.39,1256.39,14.0,35.56,1280x720,0.9,10.0,65.0,21.5,17.0,32.4,1.36,1920x1080,12.0,16.0,3200.0,1000.0,5.0,15.0,1184.22,Laptop,1,0,1
"Acer Aspire 3 A315-59
A315-59-53DW",Portátil multimedia,Acer Aspire,Full HD,Intel Core i5-1235U,SSD,HDMI,integrado,5.0,2.0,ión-litio,40.0,con tapa,2022.0,IEEE 802.11ac,Intel,Intel Core i5,1.0,Intel,Windows 11 Home,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,3.0,plateado,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,588.0,588.0,588.0,15.6,39.62,1280x720,0.9,10.0,65.0,24.1,20.0,36.3,1.86,1920x1080,12.0,16.0,4800.0,1000.0,4.4,15.0,1749.66,Laptop,0,0,0
"HP EliteBook x360 1040 G9
6F682EA",Portátil convertible,HP EliteBook,WUXGA,Intel Core i7-1255U,PCIe SSD,HDMI,integrado,5.2,2.0,polímero de litio,51.0,con tapa,2022.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,DDR5,3.0,plateado,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,2437.89,2437.89,2437.89,14.0,35.56,1280x720,5.0,10.0,65.0,27.6,23.0,41.4,1.33,1920x1200,12.0,16.0,4800.0,1000.0,4.7,15.0,2628.072,Laptop,1,0,1
"Microsoft Surface Laptop 6 13.5
Core Ultra 5 16GB/256GB Platin ZJQ-00037",Portátil profesional,Microsoft Surface,Full HD,Intel Core Ultra 5 135H,SSD,Thunderbolt 4,integrado,5.3,2.0,ión-litio,56.0,con tapa,2024.0,IEEE 802.11ax,Intel,Intel Core Ultra 5,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,3:2,Meteor Lake,L3,LPDDR5X,3.0,plateado,14.0,Intel Arc Graphics,ninguna,Gigabit-LAN,Laptop,1518.0,2342.91,1930.45,13.5,34.29,1920x1080,0.9,18.5,65.0,22.3,17.0,30.8,1.38,2256x1504,18.0,16.0,4800.0,256.0,4.6,28.0,1167.628,Laptop,1,0,1
"ASUS ROG Strix G18 G814
G814JV-N6055",Portátil gaming,ASUS Republic of Gamers,WQXGA,Intel Core i7-13650HX,SSD,HDMI,integrado,5.2,2.0,ión-litio,90.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,NVIDIA,sin sistema operativo,MicroSD,altavoces estéreo,16:10,Raptor Lake,L3,DDR5,4.0,gris,14.0,NVIDIA GeForce RTX 4060,ninguna,Gigabit-LAN,Laptop,2005.4,2005.4,2005.4,18.0,45.72,1280x720,0.9,10.0,280.0,29.4,31.0,39.9,3.0,2560x1600,24.0,32.0,4800.0,1000.0,4.9,55.0,3636.486,Laptop,1,0,1
"HP Victus 16 2023
16-s0009ns",Portátil gaming,HP Victus,Full HD,AMD Ryzen 7 7840HS,SSD,HDMI 2.1,integrado,5.3,2.0,polímero de litio,70.0,con tapa,2023.0,IEEE 802.11ax,AMD,AMD Ryzen 7,1.0,NVIDIA,Free DOS,MicroSD,altavoces estéreo,16:9,Phoenix,L3,DDR5,4.0,negro,8.0,NVIDIA GeForce RTX 4050,ninguna,Gigabit-LAN,Laptop,952.04,1379.99,1166.01,16.1,40.894,1280x720,0.9,7.25,230.0,25.9,23.0,36.9,2.33,1920x1080,32.0,16.0,5600.0,512.0,5.1,45.0,2198.133,Laptop,1,0,1
"MSI Cyborg 15 A13V
A13VE-839XES",Portátil gaming,MSI Cyborg,Full HD,Intel Core i5-13420H,PCIe SSD,HDMI 2.1,integrado,5.3,2.0,ión-litio,53.5,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i5,1.0,NVIDIA,Free DOS,MicroSD,altavoces estéreo,16:9,Raptor Lake-H,L3,DDR5,3.0,negro,8.0,NVIDIA GeForce RTX 4050,ninguna,Gigabit-LAN,Laptop,878.6,1205.67,1042.13,15.6,39.624,1280x720,0.9,10.0,120.0,25.0,23.0,35.9,1.98,1920x1080,12.0,16.0,5200.0,1000.0,4.6,45.0,2064.25,Laptop,1,0,1
"ASUS Vivobook Go 15 E1504FA
E1504FA-NJ158W",Portátil profesional,ASUS Vivobook,Full HD,AMD Ryzen 5 7520U,SSD,HDMI,integrado,5.2,2.0,ión-litio,50.0,con tapa,2023.0,IEEE 802.11ax,AMD,AMD Ryzen 5,1.0,AMD,Windows 11 Home,MicroSD,SonicMaster,16:9,Mendocino,L3,LPDDR5,3.0,plateado,4.0,AMD Radeon Graphics,ninguna,Gigabit-LAN,Laptop,449.01,692.49,570.75,15.6,39.624,720x480,0.9,10.0,65.0,23.25,18.0,36.03,1.63,1920x1080,4.0,8.0,4800.0,512.0,4.3,15.0,1507.8555,Laptop,1,0,1
"HP Victus 15 2023
15-fb0009ns",Portátil gaming,HP Victus,Full HD,AMD Ryzen 5 5600H,SSD,HDMI 2.1,integrado,5.3,2.0,ión-litio,70.0,con tapa,2023.0,IEEE 802.11ac,AMD,AMD Ryzen 5,1.0,NVIDIA,Free DOS,MicroSD,altavoces estéreo,16:9,Cezanne H,L3,DDR4,3.0,plateado,6.0,NVIDIA GeForce GTX 1650,ninguna,Gigabit-LAN,Laptop,698.28,827.74,763.01,15.6,39.624,1280x720,0.9,10.0,65.0,25.5,24.0,35.8,2.29,1920x1080,16.0,8.0,3200.0,512.0,4.2,45.0,2190.96,Laptop,1,0,1
"Acer Extensa 15 EX215-55
NX.EH9ET.004",Portátil multimedia,Acer Extensa,Full HD,Intel Core i7-1255U,SSD,HDMI 2.0,integrado,5.0,2.0,ión-litio,40.0,con tapa,2023.0,IEEE 802.11ax,Intel,Intel Core i7,1.0,Intel,Windows 11 Professional,MicroSD,altavoces estéreo,16:9,Alder Lake-P,L3,DDR4,2.0,negro,10.0,Intel Iris Xe Graphics,ninguna,Gigabit-LAN,Laptop,703.85,1198.4,951.12,15.6,39.624,1280x720,0.9,5.5,45.0,24.1,20.0,36.3,1.78,1920x1080,12.0,16.0,4800.0,512.0,4.7,15.0,1749.66,Laptop,1,0,0
