ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,pantalla_propiedades,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
10.0,Portátil convertible,,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,71.0,,aluminio,convertible,2024.0,IEEE 802.11ax,,,,MicroSD,,16:10,,,,,,,,,,,,,,,,,,,,,,,Laptop,999.0,1799.9,1399.45,14.0,35.56,400.0,,1920x1080,12.5,65.0,22.2,17.0,31.7,1.49,,,,,,,4.0,,,,,,,,,1,,,46.0,462.0,,,,,,,,
4.0,Portátil convertible,,,HDMI,4 en 1,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,52.5,,,convertible,2020.0,IEEE 802.11ax,,,,,,16:9,,,,4.0,,,,,,,,,,,,,,,,,,,Laptop,649.0,973.2,811.1,14.0,35.56,,,1280x720,10.0,65.0,21.8,20.0,32.2,1.5,,,,,,,4.0,,,,,,,,,1,,,163.0,405.0,,,,,,,,
8.0,Portátil convertible,,,HDMI,4 en 1,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,,52.5,,,convertible,2023.0,IEEE 802.11ax,,,,,,16:10,,,,3.0,,,,,,,,,,,,,,,,,,,Laptop,721.0,986.98,853.99,14.0,35.56,300.0,,1920x1080,9.0,65.0,22.5,18.0,31.3,1.55,,,,,,,,,,,,,,,,1,,,,115.0,,,,,,,,
13.0,Portátil convertible,Full HD,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,ión-litio,61.0,,aluminio,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,LPDDR4X,teclado iluminado,,gris,,64.0,,ninguna,ninguno,,,,,,,,,convertible,,,,Laptop,1060.76,1434.32,1247.54,13.3,33.782,370.0,,1920x1080,20.0,,20.2,13.0,30.4,1.83,165.6,,18.0,16.0,,512.0,10.0,1.9,4.5,28.0,16.0,,,,,1,25.0,916.0,93.0,405.0,60.0,,3731.0,684.0,1043.0,330.0,1604.0,1604.0
2.0,Portátil convertible,WQXGA+,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,4.0,,76.0,,,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,Dolby Atmos,16:10,L3,LPDDR5X,,,gris,,64.0,,,,teclado numérico,,,,,,,,convertible,Intel AI Boost,,,Laptop,1237.99,1682.79,1460.39,16.0,40.64,400.0,8192x4608,1920x1080,,65.0,22.3,11.0,31.2,1.26,,,18.0,16.0,,512.0,4.0,3.6,4.5,28.0,,,,,,1,49.0,270.0,93.0,462.0,462.0,,3731.0,128.0,1212.0,299.0,168.0,168.0
2.0,Portátil convertible,WUXGA,,HDMI,4 en 1,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,,52.5,,,convertible,2023.0,IEEE 802.11ax,AMD,,AMD,,,16:10,L3,LPDDR4X,,3.0,azul,,64.0,,ninguna,ninguno,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 16 GB,"convertible, capacitiva",,,,Laptop,721.0,749.0,735.0,14.0,35.56,300.0,,1920x1080,9.0,65.0,22.5,18.0,31.3,1.55,,,16.0,16.0,4267.0,512.0,,2.0,4.5,15.0,,,,,,1,45.0,391.0,,203.0,77.0,,3731.0,206.0,1212.0,561.0,537.0,537.0
3.0,Portátil convertible,,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,,con tapa,2023.0,IEEE 802.11ax,AMD,,,,,16:10,L3,,,3.0,,,64.0,,,,,,,,,,,,,,,,Laptop,656.0,834.78,745.39,14.0,35.56,300.0,,1920x1080,,90.0,22.8,19.0,31.3,1.5,,,16.0,,,,,,,,,19.0,4.74,,,1,,,198.0,145.0,,,,,1212.0,,,
8.0,Portátil convertible,Full HD,SSD,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,43.0,,,con tapa,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,,,3.0,,,,,,,,panorámica,,,,,,,,,,,Laptop,673.99,1590.41,1132.2,14.0,35.56,,,1280x720,9.0,65.0,21.0,20.0,32.2,1.51,,,,,,,,,,15.0,,,,,,1,,916.0,77.0,462.0,,,3731.0,,,,1604.0,1604.0
2.0,Portátil convertible,WQXGA,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.1,13.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,,,,convertible,2022.0,IEEE 802.11ac,Qualcomm,1.0,Qualcomm,,altavoces estéreo,16:10,,LPDDR4X,,,negro,,64.0,,,ninguno,,,,,,,,,"convertible, capacitiva, multitáctil de 10 puntos, antiarañazos",,,,Laptop,460.06,590.0,525.03,12.4,31.496,425.0,,1920x1080,13.4,65.0,19.7,9.0,29.4,0.72,,60.0,,8.0,,256.0,,2.84,,,,,,,,1,1.0,2.0,,405.0,,,3731.0,2.0,10.0,561.0,347.0,347.0
63.0,Portátil convertible,,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,43.0,,,convertible,2023.0,IEEE 802.11ax,,,,MicroSD,,16:9,,,,3.0,,,,,,,,,,,,,,,,,,,Laptop,681.35,1221.34,951.35,14.0,35.56,250.0,,1280x720,9.0,,21.0,20.0,32.2,1.5,,,,,,,,,,,,,,,,1,,,77.0,462.0,,,,,,,,
3.0,Portátil convertible,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,,70.0,,,con tapa,2022.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,DDR4,teclado iluminado,,plateado,,64.0,,ninguna,ninguno,Touchpad iluminado,,,,,,,1 x 8 + 1 x 8 GB,convertible,,,,Laptop,859.0,1124.15,991.58,14.0,35.56,400.0,,1920x1080,,,22.8,19.0,31.3,1.5,,60.0,12.0,16.0,,512.0,,0.9,4.6,15.0,16.0,,,,,1,141.0,916.0,198.0,145.0,309.0,,3731.0,684.0,1212.0,753.0,537.0,537.0
7.0,Portátil convertible,,,,,"Bluetooth, wifi",,,,,,,4.0,ión-litio,83.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,,,,16:10,L3,,,6.0,,,64.0,,,,,,,,,,,,convertible,,,,Laptop,2228.55,3144.59,2686.57,16.0,40.64,,,,15.5,,24.5,20.0,35.8,1.95,,,,,,,,,,,,,,,,1,,,6.0,405.0,,,,,1212.0,,,
12.0,Portátil convertible,,,,integrado,"wifi, Bluetooth",Bluetooth 4.2,,,,,,2.0,ión-litio,42.0,,policarbonato,con tapa,2019.0,,,,,MicroSD,altavoces estéreo,16:9,,,,,,,,,,,,panorámica,,,,,,,,,,,Laptop,179.0,276.49,227.75,11.6,29.46,250.0,,,8.0,45.0,20.4,20.0,29.0,1.25,,,,,,,,,,,,,,,,1,,,,3.0,,79.0,,,,,,
3.0,Portátil convertible,WUXGA,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,71.0,,aluminio,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:10,L3,LPDDR5X,teclado iluminado,,gris,,64.0,,ninguna,ninguno,,,,,,,,,,Intel AI Boost,,,Laptop,999.0,1143.26,1071.13,14.0,35.56,400.0,,1920x1080,12.5,65.0,22.2,17.0,31.7,1.49,,60.0,12.0,16.0,7467.0,512.0,4.0,3.6,4.3,15.0,,,,,,1,55.0,135.0,46.0,462.0,462.0,,3731.0,128.0,1212.0,330.0,537.0,537.0
2.0,Portátil convertible,WUXGA,,HDMI,4 en 1,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,52.5,,,convertible,2020.0,IEEE 802.11ax,AMD,1.0,AMD,,,16:9,L3,LPDDR4X,,4.0,azul,,64.0,,ninguna,ninguno,,,,,,,,,convertible,,,,Laptop,649.0,649.0,649.0,14.0,35.56,,,1280x720,10.0,65.0,21.8,20.0,32.2,1.5,,60.0,16.0,16.0,4266.0,512.0,4.0,2.0,4.5,15.0,16.0,,,,,1,30.0,391.0,163.0,364.0,77.0,,3731.0,200.0,1212.0,255.0,537.0,537.0
21.0,Portátil convertible,,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,,,,,2.0,,82.0,,,convertible,2024.0,IEEE 802.11be,,,NVIDIA,MicroSD,,16:10,,LPDDR5,,4.0,negro,GDDR6,64.0,,,,,,,DTS,,,,,convertible,,,,Laptop,1899.0,2934.86,2416.93,16.0,40.64,,8192x4608,,,140.0,25.8,17.0,35.8,2.1,,,,,,,4.0,,,,,,,,,1,,,25.0,54.0,,16.0,,,,,,
2.0,Portátil convertible,Full HD,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,,con tapa,2023.0,IEEE 802.11ax,AMD,1.0,AMD,,,16:10,L3,DDR4,teclado iluminado,3.0,plateado,,64.0,,ninguna,ninguno,,,,,,1x SO-DIMM,,,convertible,,,,Laptop,656.0,775.36,715.68,14.0,35.56,300.0,,1920x1080,,90.0,22.8,19.0,31.3,1.5,,60.0,16.0,8.0,,512.0,,2.0,4.5,15.0,16.0,19.0,4.74,,,1,30.0,391.0,198.0,145.0,77.0,,3731.0,200.0,1212.0,255.0,1604.0,1604.0
2.0,Portátil convertible,,,Thunderbolt 4,integrado,"Bluetooth, wifi",Bluetooth 5.2,0.8 Mpx,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,56.0,,,convertible,2022.0,IEEE 802.11ax,Intel,,,MicroSD,,16:10,L3,,,4.0,,,,,,,,,,,,,,,,,,,Laptop,1439.99,2068.99,1754.49,13.4,34.036,,,1280x720,,100.0,20.4,12.0,30.2,1.18,,,,,,,,,,45.0,,20.0,5.0,,,1,,,98.0,462.0,,,,,,,,
,Portátil convertible,,SSD,,,"wifi, Bluetooth",Bluetooth 4.1,"5.0 Mpx, 0.8 Mpx",,1920 x 1080 píxeles,,,2.0,,,no,magnesio,con tapa,2017.0,,Intel,1.0,,,,3:2,L3,,,,,,64.0,,,,,táctil,,,,,,,convertible,,,,Laptop,,,,13.5,34.29,,,1920x1080,17.0,,23.2,23.0,31.2,1.53,,,,,,,,,,15.0,,,,,,1,,,158.0,1.0,,,,,,,5.0,5.0
3.0,Portátil convertible,Full HD,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,68.0,,,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,LPDDR5,teclado iluminado,,gris,,64.0,,ninguna,ninguno,teclado numérico,,,,,,,,convertible,,,,Laptop,1114.99,1699.9,1407.45,15.6,39.624,400.0,8192x4608,1920x1080,,65.0,22.8,14.0,35.5,1.46,,,12.0,16.0,,512.0,4.0,1.2,5.4,15.0,,,,,,1,34.0,916.0,93.0,405.0,55.0,,3731.0,37.0,1212.0,753.0,1604.0,1604.0
12.0,Portátil convertible,Full HD,SSD,,3 en 1,"Bluetooth, wifi",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,,70.0,,,convertible,2025.0,IEEE 802.11be,Intel,1.0,Intel,,,16:10,,LPDDR5X,teclado iluminado,,gris,,64.0,,,ninguno,,,,,,,,,,Intel AI Boost,,,Laptop,1292.6,1502.99,1397.8,14.0,35.56,400.0,,1920x1080,,65.0,22.1,17.0,31.3,1.57,,60.0,12.0,32.0,,1000.0,,,4.8,,,,,,,1,10.0,270.0,198.0,,,,3731.0,297.0,1212.0,561.0,537.0,537.0
7.0,Portátil convertible,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,76.0,,,convertible,2023.0,IEEE 802.11ax,,,,MicroSD,,16:10,,,,,,,,,,,,,,,,,,,convertible,,,,Laptop,1099.0,3432.52,2265.76,16.0,40.64,400.0,,1920x1080,,,25.2,13.0,35.5,1.66,,,,,,,8.0,,,,,,,,,1,,,93.0,405.0,,,,,,,,
1.0,Portátil convertible,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,,70.0,,,con tapa,2022.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,DDR4,teclado iluminado,,plateado,,64.0,,ninguna,ninguno,,,,,,1x SO-DIMM,,,convertible,,,,Laptop,899.0,899.0,899.0,14.0,35.56,400.0,,1920x1080,,,22.8,19.0,31.3,1.5,,,24.0,16.0,,512.0,,1.8,5.0,45.0,16.0,,,,,1,91.0,916.0,198.0,145.0,274.0,,3731.0,807.0,1212.0,299.0,537.0,537.0
3.0,Portátil convertible,,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,,,,,,2.0,ión-litio,42.0,,policarbonato,con tapa,2019.0,,AMD,1.0,AMD,MicroSD,altavoces estéreo,16:9,,DDR4,,,negro,,,,ninguna,ninguno,,,,,,,0x SO-DIMM,,convertible,,,,Laptop,179.0,179.0,179.0,11.6,29.464,250.0,,,8.0,45.0,20.4,20.0,29.0,1.25,,,,4.0,1866.0,32.0,,1.6,2.4,,,,,,,1,2.0,1.0,,3.0,,79.0,3731.0,,71.0,108.0,55.0,55.0
4.0,Portátil convertible,,,Thunderbolt 4,,"Bluetooth, wifi",,,,,,,4.0,polímero de litio,68.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,,,,16:10,L3,,,4.0,,,64.0,,,,,,,,,,,,convertible,,,,Laptop,1259.0,2788.53,2023.77,14.0,35.56,,,,,,22.0,17.0,29.8,1.44,,,,,,,,,,,,,,,,1,,,6.0,145.0,,,,,1212.0,,,
7.0,Portátil convertible,HD Ready,memoria flash,Mini HDMI,,"wifi, Bluetooth",Bluetooth 4.0,2.0 Mpx,,,,,,,,,,convertible,,,Intel,1.0,Intel,MicroSD,,16:9,L2,DDR4,,,plateado,,64.0,,,,,panorámica,,,,,,,convertible,,,España,Laptop,199.95,260.86,230.41,11.6,29.464,,,,,,19.5,20.0,29.0,1.23,,,,4.0,,64.0,,1.44,1.9,2.0,,,,8060.0,,1,4.0,22.0,,61.0,3.0,,3731.0,5.0,97.0,355.0,55.0,55.0
9.0,Portátil convertible,WUXGA,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,72.0,,,con tapa,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,,,negro,,64.0,,,,,,,,,,,,convertible,,,,Laptop,1489.0,1880.26,1684.63,14.0,35.56,,,1920x1080,29.0,,21.9,17.0,31.4,1.25,,,24.0,16.0,,512.0,5.0,3.8,4.8,28.0,,,,,,1,192.0,270.0,76.0,673.0,462.0,,3731.0,297.0,1212.0,366.0,537.0,537.0
14.0,Portátil convertible,,,,,"wifi, Bluetooth",Bluetooth 5.4,5.0 Mpx,,,,,4.0,,59.0,,,convertible,2024.0,IEEE 802.11be,,1.0,,,,16:10,,,,3.0,,,64.0,,,,,,,,,,,,,,,,Laptop,981.99,2286.38,1634.18,14.0,35.56,400.0,,,10.5,,21.9,17.0,31.3,1.39,,,,,,,,,,,,,,,,1,,,21.0,673.0,,,3731.0,,1212.0,,,
8.0,Portátil convertible,QHD+,PCIe SSD,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,,,,,2.0,,82.0,,,convertible,2024.0,IEEE 802.11be,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,LPDDR5,teclado iluminado,4.0,negro,GDDR6,64.0,,ninguna,ninguno,teclado numérico,,,DTS,,,,,convertible,,,,Laptop,1899.0,2072.06,1985.53,16.0,40.64,,8192x4608,,,140.0,25.8,17.0,35.8,2.1,,165.0,24.0,32.0,6400.0,1000.0,4.0,3.8,4.8,28.0,,,,,,1,192.0,121.0,25.0,26.0,462.0,16.0,133.0,297.0,1043.0,366.0,347.0,347.0
