ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,pantalla_propiedades,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
13.0,Portátil convertible,Full HD,PCIe SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,43.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,DDR4,teclado iluminado,3.0,plateado,,64.0,,ninguna,ninguno,,,,,,,,,convertible,,,,Laptop,746.92,998.93,872.92,14.0,35.56,250.0,,1280x720,9.0,,21.0,20.0,32.2,1.5,,,12.0,16.0,3200.0,512.0,,0.9,4.6,15.0,16.0,,,,,1,141.0,916.0,77.0,364.0,309.0,,3731.0,684.0,1212.0,753.0,1604.0,1604.0
1.0,Portátil convertible,WQXGA,,Thunderbolt 4,integrado,"Bluetooth, wifi",Bluetooth 5.2,5.0 Mpx,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,56.0,,,convertible,2023.0,IEEE 802.11ax,Intel,,,MicroSD,,16:10,L3,,,4.0,,,64.0,,,,,,,,,,,,,,,,Laptop,2501.07,2501.07,2501.07,13.4,34.036,,,1280x720,,130.0,20.6,14.0,30.2,1.2,,,24.0,,,,,1.9,5.4,45.0,,20.0,6.5,,,1,41.0,,98.0,462.0,274.0,,,192.0,,299.0,,
9.0,Portátil convertible,HD Ready,SSD,,integrado,"wifi, Bluetooth",Bluetooth 4.2,,,,,,2.0,ión-litio,42.0,,policarbonato,con tapa,2019.0,,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,,LPDDR4,,,negro,,64.0,,,,,,,,,,,1 x 4 GB,convertible,,,España,Laptop,251.34,276.49,263.92,11.6,29.464,250.0,,,8.0,45.0,20.4,20.0,29.0,1.25,,,,4.0,2400.0,128.0,,1.1,2.6,,,,,,,1,9.0,37.0,,3.0,,79.0,3731.0,116.0,185.0,355.0,55.0,55.0
2.0,Portátil convertible,WUXGA,SSD,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,71.0,,aluminio,convertible,2024.0,IEEE 802.11ax,AMD,1.0,AMD,MicroSD,,16:10,L3,,,,gris,,64.0,,,,,panorámica,,,,,,,convertible,,,,Laptop,999.0,1281.24,1140.12,14.0,35.56,400.0,,1920x1080,12.5,65.0,22.2,17.0,31.7,1.49,,,24.0,16.0,,1000.0,4.0,3.3,5.1,28.0,,,,,,1,9.0,51.0,46.0,364.0,49.0,,3731.0,206.0,1212.0,561.0,537.0,537.0
1.0,Portátil convertible,3K,,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,73.0,,,convertible,2024.0,IEEE 802.11be,AMD,1.0,NVIDIA,MicroSD,,16:10,L3,LPDDR5X,teclado iluminado,4.0,negro,GDDR6,64.0,,ninguna,ninguno,,,,,,,0x SO-DIMM,,convertible,AMD Ryzen AI,,,Laptop,1799.0,1799.0,1799.0,13.3,33.782,400.0,,1920x1080,,200.0,21.0,18.0,29.8,1.38,,60.0,24.0,24.0,,1000.0,,2.0,5.0,54.0,,20.0,10.0,,,1,9.0,121.0,10.0,405.0,19.0,,133.0,27.0,1212.0,753.0,168.0,168.0
4.0,Portátil convertible,,,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,ión-litio,60.0,,aluminio,convertible,2023.0,IEEE 802.11ax,Intel,,,MicroSD,,16:9,L3,,,,,,,,,,,,,,,,,,,,,,Laptop,543.12,1079.99,811.56,14.0,35.56,300.0,,1920x1080,12.0,65.0,21.6,17.0,32.0,1.5,,,12.0,,,,4.0,,,15.0,,,,,,1,,,,462.0,309.0,,,,,753.0,,
2.0,Portátil convertible,HD Ready,,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,0.7 Mpx,,,,,,polímero de litio,47.0,,,,,,AMD,1.0,AMD,MicroSD,altavoces estéreo,16:9,L3,DDR4,,,azul,,64.0,,ninguna,ninguno,,,,,Energy Star,,,,"convertible, capacitiva",,Realtek ALC3287,,Laptop,321.46,444.39,382.92,11.6,29.464,250.0,,,11.0,65.0,20.3,20.0,29.0,1.33,,,4.0,4.0,1600.0,128.0,,1.2,2.3,6.0,,,,,,1,3.0,391.0,,58.0,2.0,79.0,3731.0,3.0,185.0,108.0,55.0,55.0
2.0,Portátil convertible,HD Ready,,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,0.7 Mpx,,,,,,polímero de litio,47.0,,,,,,AMD,,AMD,MicroSD,altavoces estéreo,16:9,,DDR4,,,,,,,,,,,,,Energy Star,,,,convertible,,Realtek ALC3287,,Laptop,321.46,444.39,382.92,11.6,29.464,250.0,,,11.0,65.0,20.3,20.0,29.0,1.33,,,,4.0,,,,1.2,,,,,,,,1,3.0,391.0,,58.0,,79.0,3731.0,,,,55.0,55.0
4.0,Portátil convertible,,,,integrado,"Bluetooth, wifi",,integrada,compatible con HD,1280 x 720 píxeles,,,,polímero de litio,46.0,,,convertible,2020.0,IEEE 802.11ax,,,,MicroSD,,16:9,,,,,,,,,,,,panorámica,,,,,,,,,,,Laptop,865.0,2031.19,1448.1,13.3,33.78,300.0,,1280x720,10.0,65.0,21.9,18.0,31.2,1.4,,,,,,,,,,,,,,,,1,,,,71.0,,,3731.0,,,,,
1.0,Portátil convertible,Full HD,SSD,,integrado,"wifi, Bluetooth",,integrada,compatible con HD,1280 x 720 píxeles,,,,polímero de litio,46.0,,,convertible,2020.0,IEEE 802.11ax,AMD,1.0,AMD,MicroSD,,16:9,L3,DDR4,teclado iluminado,,negro,,64.0,,ninguna,ninguno,,,,,,,,,convertible,,,,Laptop,865.0,865.0,865.0,13.3,33.78,300.0,,1280x720,10.0,65.0,21.9,18.0,31.2,1.4,,,16.0,8.0,3200.0,256.0,,2.3,4.2,15.0,,,,,,1,4.0,391.0,,203.0,,,3731.0,200.0,185.0,255.0,1604.0,1604.0
20.0,Portátil convertible,,SSD,HDMI 2.0,,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,42.0,,,convertible,2023.0,IEEE 802.11ax,,,,,altavoces estéreo,16:9,,,,3.0,,,64.0,,,,,,,,,,,,convertible,,,,Laptop,883.82,1720.83,1302.33,13.3,33.782,400.0,,1280x720,,45.0,22.3,18.0,30.9,1.45,,,,,,,,,,,,,,,,1,,,106.0,673.0,,,,,1043.0,,,
,Portátil convertible,,SSD,,,"wifi, Bluetooth",Bluetooth 4.1,"5.0 Mpx, 0.8 Mpx",,1920 x 1080 píxeles,,,2.0,,,no,magnesio,con tapa,2017.0,,Intel,1.0,NVIDIA,,,3:2,L3,LPDDR3,teclado iluminado,,plateado,GDDR5,64.0,,,ninguno,,,,,,,,,"convertible, capacitiva, multitáctil de 10 puntos",,,,Laptop,,,,13.5,34.29,,,1920x1080,17.0,,23.2,23.0,31.2,1.53,267.1,,8.0,8.0,1866.0,256.0,,1.9,4.2,15.0,,,,,,1,2.0,2.0,158.0,9.0,6.0,,4.0,807.0,1.0,355.0,5.0,5.0
9.0,Portátil convertible,Full HD,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,68.0,,,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,LPDDR5,,,gris,,64.0,,ninguna,ninguno,teclado numérico,,,,,,,,convertible,,,,Laptop,1151.84,1897.74,1524.79,15.6,39.624,400.0,8192x4608,1920x1080,,65.0,22.8,14.0,35.5,1.46,,,12.0,16.0,7467.0,512.0,4.0,1.2,5.4,15.0,,,,,,1,34.0,135.0,93.0,405.0,55.0,,3731.0,37.0,1043.0,753.0,1604.0,1604.0
8.0,Portátil convertible,Full HD,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,43.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,DDR4,teclado iluminado,3.0,plateado,,64.0,,ninguna,ninguno,,,,,,,,,convertible,,,,Laptop,745.2,883.35,814.28,14.0,35.56,250.0,,1280x720,9.0,,21.0,20.0,32.2,1.5,,,12.0,16.0,3200.0,512.0,,0.9,4.6,15.0,,,,,,1,141.0,916.0,77.0,364.0,309.0,,3731.0,684.0,1212.0,753.0,1604.0,1604.0
3.0,Portátil convertible,Full HD,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,ión-litio,60.0,,aluminio,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,DDR4,,,gris,,,,,,,,,,,,1x SO-DIMM,1 x 8 GB,"convertible, capacitiva, multitáctil de 10 puntos",,,,Laptop,543.12,1079.99,811.56,14.0,35.56,300.0,,1920x1080,12.0,65.0,21.6,17.0,32.0,1.5,,,12.0,8.0,3200.0,256.0,4.0,0.9,4.6,15.0,16.0,,,,,1,141.0,916.0,,364.0,309.0,,3731.0,684.0,272.0,753.0,1604.0,1604.0
11.0,Portátil convertible,2.8K,,Thunderbolt 4,,"Bluetooth, wifi",Bluetooth 5.1,5.0 Mpx,,,,,4.0,polímero de litio,80.0,,,convertible,2023.0,IEEE 802.11ax,Intel,,Intel,,altavoces estéreo,16:10,L3,LPDDR5X,,4.0,verde,,64.0,,ninguna,ninguno,teclado numérico,,,,,,,,convertible,,Realtek ALC3306,,Laptop,1966.27,2451.93,2209.1,13.3,33.782,400.0,,,15.5,65.0,20.4,16.0,29.9,1.3,,,12.0,16.0,6400.0,1000.0,8.0,1.2,5.0,15.0,,,,,,1,134.0,916.0,46.0,673.0,309.0,,3731.0,807.0,1212.0,753.0,168.0,168.0
18.0,Portátil convertible,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.4,5.0 Mpx,,,,,4.0,polímero de litio,68.0,,,convertible,2024.0,IEEE 802.11be,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,LPDDR5X,,6.0,plateado,,64.0,,5G,ninguno,,,,,,,,,convertible,Intel AI Boost,,,Laptop,1811.99,2516.27,2164.13,14.0,35.56,800.0,5120x2880,,18.0,65.0,22.0,17.0,31.4,1.44,,,24.0,32.0,7500.0,1000.0,,3.8,4.8,28.0,,,,,,1,192.0,270.0,135.0,673.0,462.0,,3731.0,297.0,1043.0,366.0,537.0,537.0
42.0,Portátil convertible,,SSD,,,"wifi, Bluetooth",Bluetooth 5.4,5.0 Mpx,,,,,4.0,polímero de litio,68.0,,,convertible,2024.0,IEEE 802.11be,Intel,,,,altavoces estéreo,16:10,L3,,,6.0,,,,,,,,,,,,,,,,,,,Laptop,1554.13,3744.51,2649.32,14.0,35.56,800.0,5120x2880,,18.0,65.0,22.0,17.0,31.4,1.44,,,,,,,,,,,,,,,,1,,270.0,135.0,673.0,,,3731.0,,1043.0,,,
10.0,Portátil convertible,Full HD,SSD,HDMI 2.0,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,42.0,,,convertible,2023.0,IEEE 802.11ax,AMD,1.0,AMD,,altavoces estéreo,16:9,L3,DDR4,,3.0,plateado,,64.0,,ninguna,ninguno,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,convertible,,,,Laptop,883.82,1119.6,1001.71,13.3,33.782,400.0,,1280x720,,45.0,22.3,18.0,30.9,1.45,,,16.0,16.0,3200.0,512.0,,2.0,4.5,15.0,,,,,,1,30.0,391.0,106.0,673.0,77.0,,3731.0,200.0,1043.0,255.0,1604.0,1604.0
1.0,Portátil convertible,Full HD,,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,ión-litio,61.0,,aluminio,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,LPDDR4X,,,gris,,64.0,,ninguna,ninguno,teclado numérico,,,,,,,,convertible,,,,Laptop,1489.0,1489.0,1489.0,13.3,33.782,370.0,,1920x1080,20.0,,20.2,13.0,30.4,1.83,,,18.0,16.0,,512.0,10.0,1.9,4.5,28.0,,,,,,1,25.0,916.0,93.0,405.0,60.0,,3731.0,684.0,1212.0,330.0,1604.0,1604.0
3.0,Portátil convertible,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,76.0,,,convertible,2023.0,IEEE 802.11ax,Intel,,,MicroSD,,16:10,L3,,,,negro,,,,,,,,,,,,,,convertible,,,,Laptop,1099.0,2123.42,1611.21,16.0,40.64,400.0,,1920x1080,,,25.2,13.0,35.5,1.66,,,18.0,,,,8.0,2.2,5.0,28.0,,,,,,1,,,93.0,405.0,60.0,,,807.0,,330.0,,
1.0,Portátil convertible,WUXGA,SSD,Thunderbolt 4,integrado,"Bluetooth, wifi",Bluetooth 5.2,0.8 Mpx,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,56.0,,,convertible,2022.0,IEEE 802.11ax,Intel,1.0,,MicroSD,,16:10,L3,LPDDR5,,4.0,negro,GDDR6,64.0,,,,,,,,,,,,convertible,,,,Laptop,2068.99,2068.99,2068.99,13.4,34.036,,,1280x720,,100.0,20.4,12.0,30.2,1.18,,,24.0,16.0,,1000.0,,1.8,5.0,45.0,,20.0,5.0,,,1,12.0,26.0,98.0,462.0,536.0,,115.0,192.0,1212.0,299.0,537.0,537.0
2.0,Portátil convertible,QHD+,PCIe SSD,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,,,,,2.0,,82.0,,,convertible,2024.0,IEEE 802.11be,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,LPDDR5,teclado iluminado,4.0,negro,GDDR6,64.0,,ninguna,ninguno,teclado numérico,IPS,,DTS,,,,,convertible,,,,Laptop,2049.0,2063.0,2056.0,16.0,40.64,,8192x4608,,,140.0,25.8,17.0,35.8,2.1,,165.0,24.0,32.0,6400.0,1000.0,4.0,3.8,4.8,28.0,,,,,,1,192.0,487.0,25.0,26.0,462.0,16.0,103.0,297.0,1043.0,366.0,347.0,347.0
14.0,Portátil convertible,WUXGA,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,60.0,,aluminio,con tapa,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:10,L3,DDR5,teclado iluminado,,gris,,64.0,,ninguna,ninguno,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,"convertible, multitáctil de 10 puntos",Intel AI Boost,,,Laptop,1296.28,1585.92,1441.1,14.0,35.56,300.0,,1920x1080,8.0,65.0,22.4,19.0,31.3,1.64,,,12.0,32.0,5600.0,1000.0,4.0,3.8,4.8,9.0,32.0,,,,,1,56.0,135.0,71.0,462.0,462.0,,3731.0,297.0,1043.0,330.0,537.0,537.0
15.0,Portátil convertible,Full HD,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,43.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,DDR4,teclado iluminado,3.0,plateado,,64.0,,ninguna,ninguno,,,,,,,,,convertible,,,,Laptop,917.94,1221.34,1069.64,14.0,35.56,250.0,,1280x720,9.0,,21.0,20.0,32.2,1.5,,,12.0,16.0,3200.0,512.0,,1.2,5.0,15.0,16.0,,,,,1,134.0,916.0,77.0,364.0,309.0,,3731.0,807.0,1212.0,753.0,1604.0,1604.0
1.0,Portátil convertible,WUXGA,,HDMI,4 en 1,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,52.5,,,convertible,2020.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR4X,,4.0,gris,,64.0,,ninguna,ninguno,,,,,,0x SO-DIMM,,,convertible,,,,Laptop,769.0,769.0,769.0,14.0,35.56,,,1280x720,10.0,65.0,21.8,20.0,32.2,1.5,,60.0,12.0,16.0,4266.0,512.0,4.0,,4.4,55.0,16.0,,,,,1,165.0,916.0,163.0,405.0,529.0,,3731.0,684.0,1212.0,753.0,537.0,537.0
2.0,Portátil convertible,2.8K,SSD,,,"Bluetooth, wifi",,,,,,,4.0,ión-litio,83.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:10,L3,,,6.0,negro,GDDR6,64.0,,,,,,,,,,,,convertible,,,,Laptop,3058.81,3109.88,3084.35,16.0,40.64,,,,15.5,,24.5,20.0,35.8,1.95,,120.0,24.0,32.0,,1000.0,,3.8,4.8,28.0,,,,,,1,192.0,121.0,6.0,405.0,462.0,,133.0,297.0,1212.0,366.0,168.0,168.0
7.0,Portátil convertible,Full HD,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,43.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,DDR4,,3.0,plateado,,64.0,,,,,,,,,,,,convertible,,,,Laptop,681.35,822.3,751.83,14.0,35.56,250.0,,1280x720,9.0,,21.0,20.0,32.2,1.5,,,10.0,8.0,3200.0,512.0,,0.9,4.5,15.0,,,,,,1,50.0,916.0,77.0,364.0,309.0,,3731.0,181.0,1212.0,255.0,1604.0,1604.0
9.0,Portátil convertible,QHD+,PCIe SSD,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,,,,,2.0,,82.0,,,convertible,2024.0,IEEE 802.11be,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,LPDDR5,teclado iluminado,4.0,negro,GDDR6,64.0,,ninguna,ninguno,teclado numérico,IPS,,DTS,,,,,convertible,,,,Laptop,1966.24,2127.69,2046.97,16.0,40.64,,8192x4608,,,140.0,25.8,17.0,35.8,2.1,,165.0,24.0,16.0,6400.0,1000.0,4.0,3.8,4.8,28.0,,,,,,1,192.0,487.0,25.0,26.0,462.0,16.0,400.0,297.0,1212.0,366.0,347.0,347.0
9.0,Portátil convertible,WUXGA,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,72.0,,,con tapa,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,,,negro,,64.0,,,,,,,,,,,,convertible,,,,Laptop,1489.0,1880.26,1684.63,14.0,35.56,,,1920x1080,29.0,,21.9,17.0,31.4,1.25,,,24.0,16.0,,512.0,5.0,3.8,4.8,28.0,,,,,,1,192.0,270.0,76.0,673.0,462.0,,3731.0,297.0,1212.0,366.0,537.0,537.0
13.0,Portátil convertible,,SSD,Thunderbolt 4,,"Bluetooth, wifi",Bluetooth 5.1,5.0 Mpx,,,,,4.0,polímero de litio,80.0,,,convertible,2023.0,IEEE 802.11ax,Intel,,,,altavoces estéreo,16:10,,,,4.0,,,,,,,,OLED,,,,,,,,,Realtek ALC3306,,Laptop,1966.27,3131.41,2548.84,13.3,33.782,400.0,,,15.5,65.0,20.4,16.0,29.9,1.3,,,,16.0,,,8.0,,,,,,,,,1,,,46.0,673.0,,,,,,,,
7.0,Portátil convertible,WUXGA,,HDMI,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,2.0,polímero de litio,,,,con tapa,2023.0,,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:10,L3,DDR4,teclado iluminado,,azul,,64.0,,ninguna,ninguno,,,Gigabit-LAN,,,,,,convertible,,,,Laptop,1091.12,1332.99,1212.05,14.0,35.56,,,,,65.0,22.9,19.0,31.9,1.49,,60.0,12.0,16.0,,512.0,,1.2,5.0,15.0,,,,,,1,134.0,715.0,71.0,364.0,309.0,,3731.0,807.0,1043.0,753.0,537.0,537.0
15.0,Portátil convertible,,,,integrado,"Bluetooth, LAN, wifi",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,teclado tipo chicle,,,ión-litio,63.0,,,con tapa,2022.0,IEEE 802.11ax,Intel,,,MicroSD,,16:9,L3,,,3.0,,,64.0,,,,,,,,,,,,convertible,,,,Laptop,804.95,3172.73,1988.84,14.0,35.56,,,1280x720,10.0,,22.3,17.0,32.3,1.38,,,,,,,,,,28.0,,,,,,1,,,133.0,63.0,,8.0,,,1043.0,,,
18.0,Portátil convertible,,,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,,60.0,,,convertible,2024.0,IEEE 802.11be,,,Intel,,,16:10,,LPDDR5X,,3.0,,,64.0,,,,,retroiluminación LED,,,,,,,,,,,Laptop,2289.88,3367.55,2828.72,14.0,35.56,500.0,,1920x1080,,65.0,21.5,16.0,31.1,1.53,,,,,,,,,,,,,,,,1,,,84.0,145.0,,,3731.0,,1043.0,,,
7.0,Portátil convertible,Full HD,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,43.0,,,convertible,2023.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,,16:9,L3,DDR4,teclado iluminado,3.0,plateado,,64.0,,,,,,,,,,,,convertible,,,,Laptop,766.62,933.59,850.11,14.0,35.56,250.0,,1280x720,9.0,,21.0,20.0,32.2,1.5,,,12.0,8.0,3200.0,512.0,,0.9,4.6,15.0,,,,,,1,141.0,916.0,77.0,364.0,309.0,,3731.0,684.0,1212.0,753.0,1604.0,1604.0
15.0,Portátil convertible,HD+,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,,60.0,,,convertible,2024.0,IEEE 802.11be,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,,3.0,gris,,64.0,,,,,,,,,2x SO-DIMM,,,,,,,Laptop,2289.88,2771.28,2530.58,14.0,35.56,500.0,,1920x1080,,65.0,21.5,16.0,31.1,1.53,161.0,60.0,12.0,32.0,,1000.0,,3.8,4.8,15.0,,,,,,1,3.0,135.0,84.0,145.0,462.0,,3731.0,297.0,1043.0,330.0,347.0,347.0
15.0,Portátil convertible,,PCIe SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,,1920 x 1080 píxeles,,teclado numérico,2.0,polímero de litio,82.0,,,convertible,2024.0,IEEE 802.11be,Intel,1.0,,MicroSD,altavoces estéreo,16:10,L3,LPDDR5,teclado iluminado,4.0,negro,,64.0,,,,,,,,,,,,,,,,Laptop,1399.95,2318.14,1859.05,16.0,40.64,,4096x2304,1920x1080,,100.0,25.9,17.0,35.8,2.1,,165.0,24.0,,,1000.0,,,4.8,28.0,,,,,,1,192.0,270.0,25.0,54.0,462.0,3.0,3731.0,297.0,,366.0,,
13.0,Portátil convertible,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,2.0,polímero de litio,56.0,,,convertible,2024.0,,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,,,3.0,,,,,,,,,,,,,,,,,,,Laptop,1284.61,2423.08,1853.84,13.3,33.782,400.0,,,,65.0,21.5,16.0,30.0,1.29,,,12.0,,,,,,,,,,,,,1,,,135.0,673.0,462.0,,3731.0,,1043.0,330.0,537.0,537.0
37.0,Portátil convertible,,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,60.0,,aluminio,con tapa,2024.0,IEEE 802.11ax,,,,MicroSD,,16:10,,,,,,,,,,,,,,,,,,,,,,,Laptop,1092.35,2136.2,1614.27,14.0,35.56,300.0,,1920x1080,8.0,65.0,22.4,19.0,31.3,1.64,,,,,,,4.0,,,,,,,,,1,,,71.0,462.0,,,,,,,,
9.0,Portátil convertible,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,0.8 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,57.0,,,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR5X,teclado iluminado,3.0,gris,,64.0,,ninguna,ninguno,,,,,,,,,,Intel AI Boost,,,Laptop,2389.24,3113.04,2751.14,14.0,35.56,400.0,,1920x1080,,65.0,21.5,16.0,31.3,1.33,,60.0,12.0,32.0,6400.0,1000.0,,1.7,4.8,,32.0,,,,,1,56.0,135.0,,673.0,462.0,,3731.0,297.0,1043.0,330.0,537.0,537.0
10.0,Portátil convertible,,,,,"wifi, Bluetooth",Bluetooth 5.3,0.8 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,,57.0,,,convertible,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,,LPDDR5X,teclado iluminado,3.0,gris,,64.0,,ninguna,ninguno,,,,,,,,,,,,,Laptop,2267.8,2697.58,2482.69,14.0,35.56,400.0,,1920x1080,,65.0,21.5,16.0,31.3,1.33,,60.0,12.0,16.0,6400.0,512.0,,3.8,4.8,57.0,,,,,,1,56.0,135.0,,673.0,,,3731.0,297.0,1043.0,330.0,537.0,537.0
