ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,almacenamiento_formato_audiovisual_compatible,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,otras_caracteristicas_certificado_rohs,sistema_operativo_software_incluido,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
52.0,PC de oficina,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,,,,,,,,,,,,,,,,,,,443.4,1242.99,843.19,30.3,15.5,,,,,,,,,,33.0,,,1,,,,,,931.0,,,,,,,
8.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,8.0,,,,,,,,,,,,,,,489.46,632.89,561.17,30.8,10.0,,12.0,8.0,3200.0,256.0,3.3,4.3,,,27.0,,89.0,1,30.0,202.0,213.0,2259.0,529.0,87.0,3731.0,190.0,,1182.0,397.0,,749.0
9.0,PC de oficina,disco duro SSD,,"Bluetooth, wifi, Ethernet",Bluetooth 4.2,IEEE 802.11a,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,lector de tarjetas,factor de forma pequeño (SFF),negro,empresas,8.0,2.0,,,,,,DVD±RW,canal 7.1,,,,,,,529.77,639.99,584.88,32.0,9.4,5.0,12.0,8.0,3200.0,256.0,,4.5,64.0,,31.0,3.4,58.0,1,28.0,202.0,31.0,,52.0,87.0,3731.0,190.0,,1182.0,397.0,,
10.0,PC de oficina,disco duro SSD,,"Ethernet, wifi",,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,24.0,4.0,,,,,,,,,,,,,,1507.17,1772.99,1640.08,37.0,18.0,13.6,30.0,16.0,4800.0,512.0,2.1,5.2,128.0,,41.0,2.1,219.0,1,105.0,374.0,135.0,2259.0,866.0,931.0,,833.0,,1182.0,337.0,37.0,749.0
53.0,PC de oficina,,,Ethernet,Bluetooth 4.2,,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,,,,,,,,,,,,,,,,1005.0,3778.27,2391.64,30.8,33.7,,,,,,,,,,15.0,,,1,,,112.0,,,931.0,,,92.0,,,,
6.0,PC de oficina,disco duro M.2 SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,20.0,2.0,,,,,,,,,,,,,,748.31,792.99,770.65,30.8,15.5,4.2,24.0,8.0,3200.0,256.0,,4.8,,,33.0,2.5,65.0,1,84.0,374.0,59.0,52.0,866.0,931.0,3731.0,947.0,,1182.0,163.0,,749.0
7.0,PC de oficina,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ac,Intel,1.0,DDR4,,64.0,ninguno,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,12.0,2.0,,,,,,,,,,,,,,752.95,832.99,792.97,18.3,17.9,1.25,12.0,8.0,2933.0,256.0,2.0,3.6,64.0,,3.0,,35.0,1,7.0,108.0,213.0,,52.0,78.0,3731.0,947.0,10.0,1182.0,813.0,,135.0
4.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,20.0,2.0,,,,,,,,,,,,,,800.0,941.07,870.54,30.8,15.5,4.2,24.0,16.0,3200.0,512.0,,4.8,64.0,,33.0,2.5,65.0,1,84.0,374.0,59.0,2259.0,866.0,931.0,3731.0,947.0,,1182.0,163.0,,749.0
1.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,24.0,2.0,,,,,,,,,,,,,,1052.43,1052.43,1052.43,30.8,15.5,4.2,30.0,16.0,3200.0,512.0,,5.1,,,33.0,2.1,65.0,1,105.0,374.0,59.0,2259.0,866.0,931.0,3731.0,833.0,,1182.0,337.0,,749.0
13.0,PC de oficina,disco duro SSD,,"Bluetooth, wifi",,,Intel,,DDR5,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,28.0,4.0,,,,,,,,,,,,,,1116.7,1564.72,1340.71,29.28,9.26,,33.0,16.0,,512.0,2.1,5.4,128.0,,29.0,2.1,65.0,1,69.0,374.0,126.0,,207.0,,3731.0,833.0,,1182.0,160.0,,749.0
1.0,PC de oficina,disco duro SSD,,"Ethernet, wifi",,,Intel,1.0,DDR3,,,grabadora DVD,,,,,,Desktop,,torre,negro,empresas,,,,,,,,,,,,,,,,259.9,259.9,259.9,,,,4.0,8.0,,240.0,,3.6,,,,,,1,,,,,,,,947.0,,1182.0,,,
7.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,8.0,2.0,,,,,,,,,,,,,,449.9,533.99,491.94,17.8,3.6,,12.0,8.0,4800.0,512.0,2.2,4.1,64.0,,18.0,,35.0,1,4.0,202.0,126.0,,529.0,73.0,3731.0,190.0,,1182.0,397.0,,749.0
34.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",,,Intel,1.0,DDR4,,64.0,,,,,,,Desktop,,,negro,empresas,,4.0,,,,,,,,,,,,,,622.0,1344.1,983.05,29.77,9.25,5.3,,8.0,3200.0,256.0,,4.6,128.0,,33.0,2.5,,1,49.0,715.0,213.0,2259.0,,,3731.0,947.0,,1182.0,233.0,,
33.0,PC de oficina,,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,,Desktop,,desktop,negro,,20.0,4.0,,,,,,,,,512 GB,,,,,768.92,1777.72,1273.32,33.5,17.5,15.0,24.0,16.0,4800.0,512.0,,4.8,128.0,,17.0,2.5,65.0,1,84.0,374.0,,,,65.0,3731.0,947.0,,1182.0,297.0,,
3.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,,Desktop,,torre,negro,,,8.0,,,1 TB,,,,,,,,,,,2764.97,3394.51,3079.74,43.0,17.7,,15.0,32.0,4800.0,1000.0,,4.4,512.0,,41.0,3.0,,1,6.0,,,,,931.0,,15.0,,1182.0,813.0,,
41.0,PC de oficina,,,Ethernet,,,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,,,,,,,,,,,,,,,,496.99,1059.66,778.33,30.8,10.0,,,,3200.0,,,,,,27.0,,,1,,,213.0,2259.0,,,3731.0,,29.0,,,,
6.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR4,,,,,,,,,Desktop,,factor de forma pequeño (SFF),negro,,24.0,2.0,,,1 TB,,,,,,,,,,,829.95,1180.91,1005.43,5.5,20.4,7.0,30.0,16.0,3200.0,1000.0,2.1,5.2,64.0,,20.0,2.1,219.0,1,105.0,,,,866.0,931.0,,833.0,,,337.0,,749.0
11.0,PC de oficina,,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,,Desktop,,desktop,negro,,20.0,4.0,,,,,,,,,512 GB,,,,,768.92,1088.58,928.75,33.5,17.5,15.0,24.0,16.0,4800.0,512.0,,4.8,128.0,,17.0,2.5,65.0,1,84.0,374.0,,,,65.0,3731.0,947.0,,1182.0,297.0,,
16.0,PC de oficina,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,,,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,,,,,,,,,,,,,,,,695.26,1031.99,863.62,29.8,9.3,5.3,,16.0,,512.0,,,,,34.0,,65.0,1,,,213.0,2259.0,,31.0,3731.0,,,1182.0,,,749.0
13.0,PC de oficina,disco duro SSD,,Ethernet,,,,1.0,DDR5,,64.0,,,,,,,Desktop,,desktop,negro,,,,,,,,,,canal 5.1,,,,,,,886.48,1196.02,1041.25,33.5,17.5,15.0,24.0,16.0,4800.0,512.0,,5.2,,,17.0,2.1,,1,105.0,374.0,,2259.0,,65.0,3731.0,833.0,,1182.0,337.0,,
10.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,20.0,2.0,,,,,,,,mate,,,,,,645.49,905.75,775.62,30.8,15.5,7.2,24.0,8.0,4800.0,256.0,,5.0,64.0,,33.0,2.6,,1,36.0,374.0,59.0,,866.0,15.0,3731.0,947.0,,1182.0,163.0,,749.0
22.0,PC de oficina,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,,,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,minitorre,negro,empresas,20.0,2.0,,,,,,,,,,,,,,686.69,1165.38,926.04,29.22,15.4,5.18,24.0,16.0,4800.0,512.0,2.6,5.0,64.0,,32.0,2.6,65.0,1,36.0,374.0,126.0,2259.0,,54.0,3731.0,947.0,,1182.0,163.0,,749.0
17.0,PC de oficina,disco duro SSD,,"Bluetooth, wifi",,,Intel,0.0,DDR5,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,20.0,,,,,,,,,,,,,,,629.26,880.83,755.05,29.28,9.26,,24.0,8.0,,512.0,2.6,5.0,64.0,,29.0,2.6,,1,36.0,374.0,126.0,63.0,,54.0,3731.0,947.0,,1182.0,163.0,,749.0
14.0,PC de oficina,,,"Ethernet, Bluetooth, wifi",Bluetooth 5.0,,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),,empresas,,,,,,,,,,,,,,,,655.02,874.0,764.51,29.4,14.5,,,,,,,,,,34.0,,,1,,,213.0,,,931.0,,,,,,,
13.0,PC de oficina,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ac,,,,,64.0,,,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,,,,,,,,,,,,,,,,608.2,1668.92,1138.56,18.3,17.9,,,,,,,,,,3.0,,,1,,,213.0,,,931.0,,,10.0,,,,
21.0,PC de oficina,,,Ethernet,,,,1.0,,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),,empresas,,,,,,,,,,,,,,,,374.11,1008.3,691.2,17.8,3.6,,,,,,,,,,18.0,,,1,,715.0,126.0,,,931.0,3731.0,,,,,,
2.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,,Desktop,,minitorre,negro,empresas,24.0,2.0,,,,,,,,,,,,,,762.08,973.47,867.78,29.4,14.5,5.5,30.0,16.0,3200.0,512.0,2.1,5.2,64.0,,34.0,2.1,219.0,1,105.0,374.0,213.0,52.0,866.0,31.0,3731.0,833.0,52.0,1182.0,337.0,,749.0
6.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,16.0,2.0,,,,,,,,,,,,,,757.86,837.0,797.43,29.8,9.3,5.3,20.0,16.0,4800.0,512.0,2.5,4.7,64.0,,34.0,2.5,65.0,1,22.0,202.0,213.0,,207.0,31.0,3731.0,947.0,,1182.0,233.0,,749.0
14.0,PC de oficina,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,12.0,2.0,,,,,,,,,,,,,,842.91,1158.04,1000.47,17.8,3.6,,33.0,16.0,,512.0,,5.2,64.0,,18.0,1.3,35.0,1,5.0,374.0,126.0,,,59.0,3731.0,833.0,,1182.0,589.0,,
10.0,PC de oficina,disco duro SSD,DisplayPort,"Ethernet, wifi, Bluetooth",,,Intel,1.0,DDR4,,,ninguno,,,,,,Desktop,,semitorre,negro,,8.0,,,,,,,,,,,,,,,1281.26,1971.71,1626.49,8.8,17.9,1.0,8.0,16.0,3200.0,512.0,,4.1,16.0,,5.0,1.5,15.0,1,1.0,916.0,,,25.0,78.0,3731.0,947.0,,1.0,397.0,,24.0
2.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,Wi-Fi 6E,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,12.0,2.0,,,,,,,,,,,,,,637.05,780.41,708.73,,,5.0,18.0,8.0,3200.0,512.0,,4.4,64.0,,,2.0,35.0,1,29.0,374.0,126.0,63.0,529.0,56.0,3731.0,947.0,,1182.0,813.0,,749.0
15.0,PC de oficina,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,,,,,,,,,,,,,Desktop,,factor de forma pequeño (SFF),,,,,,,,,,,,,,,,,,527.97,1319.46,923.72,5.5,20.4,,,,,,,,,,20.0,,,1,,,,,,931.0,,,,,,,
16.0,PC de oficina,disco duro SSD,,"Bluetooth, wifi",,,Intel,1.0,DDR5,,64.0,grabadora DVD,,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,,2.0,,,,,,,,,,,,,,601.78,901.77,751.77,29.28,9.26,,,8.0,,512.0,,5.0,64.0,,29.0,2.6,,1,36.0,374.0,126.0,2259.0,,54.0,3731.0,947.0,,1182.0,163.0,,
3.0,PC de oficina,disco duro SSD,,"Ethernet, wifi, Bluetooth",,Wi-Fi 6E,,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,,,,,,,,,,,,,,,,512.5,853.73,683.12,,,,,8.0,,256.0,,,,,,,,1,14.0,202.0,126.0,,,931.0,3731.0,190.0,,1182.0,,,
12.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,20.0,2.0,,,,,,,,,,,,,,666.14,967.34,816.74,30.8,15.5,8.4,24.0,8.0,4800.0,256.0,,5.0,64.0,,33.0,2.6,,1,36.0,374.0,106.0,,866.0,43.0,3731.0,947.0,,1182.0,163.0,,749.0
10.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,20.0,2.0,,,,,,,,,,,,,,759.78,968.39,864.09,30.8,15.5,8.4,24.0,16.0,4800.0,512.0,,5.0,64.0,,33.0,2.6,,1,36.0,374.0,106.0,,866.0,43.0,3731.0,947.0,,1182.0,163.0,,749.0
3.0,PC de oficina,disco duro SSD,,"wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,AMD,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,microtorre,gris,,12.0,,,2.0,,,,,,,,,,,,409.0,598.13,503.56,29.0,10.0,,16.0,8.0,3200.0,512.0,3.3,4.2,,,27.0,,45.0,1,17.0,391.0,34.0,,83.0,931.0,3731.0,327.0,,398.0,813.0,,25.0
7.0,PC de oficina,disco duro SSD,,"Bluetooth, wifi, Ethernet",Bluetooth 4.2,IEEE 802.11a,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,lector de tarjetas,factor de forma pequeño (SFF),negro,empresas,20.0,2.0,,,,,,DVD±RW,canal 7.1,,,,,,,609.77,667.99,638.88,32.0,9.4,5.0,24.0,8.0,3200.0,512.0,,4.8,64.0,,31.0,2.5,65.0,1,84.0,374.0,31.0,,,87.0,3731.0,947.0,,1182.0,297.0,,
2.0,PC de oficina,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,Intel,,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,12.0,2.0,,,,,,,,,,,,,,700.0,705.6,702.8,30.8,10.0,4.5,18.0,16.0,3200.0,512.0,2.5,4.4,,,27.0,2.5,65.0,1,79.0,202.0,213.0,,529.0,43.0,3731.0,947.0,,1182.0,813.0,,749.0
15.0,PC de oficina,disco duro SSD,DisplayPort,"wifi, Ethernet, Bluetooth",,,Intel,1.0,DDR4,,64.0,ninguno,,,,,,Desktop,,,negro,empresas,16.0,4.0,,,,,,,,,,,,,,683.19,923.54,803.37,29.77,9.25,5.3,20.0,16.0,3200.0,512.0,2.5,4.6,128.0,,33.0,2.5,65.0,1,49.0,202.0,213.0,2259.0,866.0,31.0,3731.0,947.0,,1182.0,233.0,,749.0
18.0,PC de oficina,,,"Ethernet, Bluetooth, wifi",Bluetooth 5.0,,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),,empresas,,,1.0,,,,,,,,,,,,,852.03,1265.99,1059.01,34.0,9.3,,,,,,,,,,29.0,,,1,,,213.0,,,931.0,,,,,,139.0,
4.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,20.0,2.0,,,,,,,,,,,,,,715.83,897.45,806.64,30.8,15.5,5.0,65.0,16.0,3200.0,512.0,,4.8,,,33.0,2.5,65.0,1,84.0,374.0,59.0,52.0,866.0,931.0,3731.0,947.0,,1182.0,163.0,,749.0
84.0,PC de oficina,,,"Ethernet, wifi",,,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,torre,,empresas,,,,,,,,,,,,,,,,1190.7,7232.39,4211.55,37.0,18.0,,,,,,,,,,41.0,,,1,,,135.0,,,931.0,,,,,,37.0,
2.0,PC de oficina,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,,negro,,8.0,2.0,,,,,,,,,,,,,,443.4,462.87,453.13,30.3,15.5,4.7,12.0,8.0,3200.0,256.0,,4.5,64.0,,33.0,3.4,,1,28.0,202.0,,,,87.0,3731.0,190.0,,165.0,397.0,,
11.0,PC de oficina,disco duro SSD,,Ethernet,Bluetooth 4.2,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,28.0,4.0,,,,,,,,,,,,,,1316.65,1866.91,1591.78,30.8,33.7,8.8,33.0,32.0,4800.0,512.0,,5.4,64.0,,15.0,2.1,,1,69.0,374.0,112.0,2259.0,866.0,9.0,3731.0,833.0,92.0,1182.0,160.0,,749.0
2.0,PC de oficina,disco duro M.2 SSD,,Ethernet,,,AMD,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,4.0,2.0,,,,1.0,,,,,,,,,,686.62,940.3,813.46,27.5,14.5,6.85,4.0,8.0,,256.0,3.6,4.0,32.0,,36.0,,65.0,1,79.0,99.0,213.0,2259.0,,87.0,3731.0,100.0,,200.0,1.0,139.0,478.0
2.0,PC de oficina,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,,,grabadora DVD,Ethernet 10/100/1000,,,,,Desktop,,microtorre,negro,empresas,24.0,,,,,,,,,,,,,,,1162.79,1376.93,1269.86,42.0,17.3,,30.0,16.0,4400.0,512.0,2.1,5.2,,,36.0,2.1,219.0,1,105.0,374.0,96.0,,866.0,67.0,3731.0,833.0,64.0,1182.0,337.0,6.0,749.0
2.0,PC de oficina,disco duro SSD,,,,,Intel,,,,,ninguno,,,,,,Desktop,,desktop,,,8.0,,,,,,,,,,,,,,,379.0,379.0,379.0,,,,12.0,16.0,,500.0,3.3,4.3,,,,3.3,60.0,1,30.0,,,2259.0,529.0,,,190.0,,,397.0,,
3.0,PC de oficina,disco duro SSD,,"Ethernet, wifi",,,Intel,1.0,,,64.0,,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,32.0,,,,,,,,,,,,,,,1709.0,1929.0,1819.0,37.0,18.0,,36.0,32.0,,1000.0,3.0,5.8,,,41.0,3.0,125.0,1,19.0,916.0,135.0,2259.0,866.0,931.0,3731.0,356.0,,1182.0,194.0,37.0,749.0
3.0,PC de oficina,disco duro SSD,,"Ethernet, wifi, Bluetooth",,Wi-Fi 6E,,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,,,,,,,,,,,,,,,,679.0,959.95,819.48,,,,,8.0,,256.0,,,,,,,,1,19.0,374.0,126.0,,,931.0,3731.0,,,1182.0,,,
3.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),,empresas,,,,,,,,,,,,,,,,654.58,917.75,786.16,18.3,17.9,,,16.0,,512.0,,,,,3.0,,,1,4.0,391.0,213.0,2259.0,,931.0,3731.0,327.0,,1182.0,,,
2.0,PC de oficina,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,4 USB 3.2,mini ITX,negro,,12.0,2.0,,,,,,,,,,,,,,822.26,984.0,903.13,29.0,9.3,5.02,12.0,8.0,,256.0,,4.6,64.0,,29.0,3.2,65.0,1,7.0,108.0,126.0,2259.0,123.0,10.0,3731.0,947.0,,200.0,813.0,,
5.0,PC de oficina,,,Ethernet,,,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,semitorre,,,,,,,,,,,,,,,,,,378.01,786.32,582.16,30.6,16.0,,,,,,,,,,34.0,,,1,,,87.0,,,931.0,,,,,,,
2.0,PC de oficina,disco duro M.2 SSD,DisplayPort,"Ethernet, wifi",,Wi-Fi 6E,,1.0,DDR5,,64.0,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,empresas,,,,,,,,,,,,,,,,876.9,1091.44,984.17,29.28,9.26,,,8.0,,256.0,,,,,29.0,,,1,84.0,374.0,126.0,2259.0,,931.0,3731.0,947.0,,1182.0,,,
3.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR4,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,,8.0,2.0,,,,,,,,,,,,,,527.97,970.83,749.4,5.5,20.4,2.75,12.0,8.0,1600.0,256.0,,,64.0,,20.0,3.4,60.0,1,28.0,,,,,28.0,,190.0,,1182.0,397.0,,
2.0,PC de oficina,disco duro M.2 SSD,,Ethernet,,,AMD,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,,12.0,2.0,,,,1.0,,,,,,,,,,853.53,1162.74,1008.13,27.5,14.5,4.7,16.0,8.0,3200.0,256.0,3.9,4.4,64.0,,36.0,,65.0,1,41.0,391.0,213.0,63.0,83.0,87.0,3731.0,327.0,,1182.0,813.0,139.0,478.0
5.0,PC de oficina,,DisplayPort,Ethernet,,,Intel,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),,empresas,,,,,,,,,,,,,,,,845.88,1102.21,974.05,,,,,,,,,,,,,,,1,,374.0,126.0,,529.0,931.0,,,,200.0,,,749.0
2.0,PC de oficina,disco duro M.2 SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,28.0,2.0,,,,,,,,,,,,,,1210.11,1244.34,1227.22,17.8,3.6,1.08,33.0,16.0,5600.0,512.0,2.1,5.4,64.0,,18.0,2.1,65.0,1,69.0,374.0,126.0,2259.0,207.0,54.0,3731.0,833.0,,1182.0,160.0,,749.0
5.0,PC de oficina,disco duro SSD,,"Ethernet, wifi",,,,1.0,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,,4.0,,,,,,,,,,,,,,2464.15,3104.36,2784.26,37.0,18.0,13.6,,32.0,4800.0,1000.0,,,128.0,,41.0,2.0,,1,15.0,63.0,135.0,63.0,,931.0,412.0,356.0,,1182.0,,37.0,
1.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,Wi-Fi 6E,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,torre,negro,empresas,20.0,2.0,,,,,,,,,,,,,,787.32,787.32,787.32,,,,24.0,16.0,3200.0,256.0,,4.6,64.0,,,1.6,,1,19.0,374.0,126.0,,,56.0,3731.0,947.0,,1182.0,163.0,,
3.0,PC de oficina,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),,empresas,,,,,,,,,,,,,,,,607.05,734.86,670.95,18.3,17.9,,,8.0,,256.0,,,,,3.0,,,1,4.0,391.0,213.0,2259.0,,931.0,3731.0,327.0,,1182.0,,,
2.0,PC de oficina,disco duro M.2 SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,empresas,12.0,,,,,,,,,,,,,,,670.67,682.42,676.54,17.8,3.6,,18.0,16.0,5600.0,512.0,2.0,4.4,64.0,,18.0,2.0,,1,29.0,374.0,126.0,2259.0,529.0,59.0,3731.0,947.0,,1182.0,813.0,,
