ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_articulo_incluido,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
35.0,Portátil profesional,,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,,,aluminio,con tapa,,2022.0,IEEE 802.11ax,,,,,,3:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,599.0,3388.86,1993.93,15.0,38.1,400.0,,1280x720,17.0,,24.4,15.0,34.0,1.56,,,,,,,,,,,,,,,,,1,,,158.0,673.0,,,,,,,,
15.0,Portátil profesional,Full HD,,HDMI,,"wifi, Bluetooth",,integrada,,720 x 480 píxeles,,teclado numérico,,ión-litio,50.0,,,con tapa,,2023.0,,Intel,1.0,Intel,,SonicMaster,16:9,L3,DDR4,,3.0,plateado,,,ninguna,ninguno,teclado numérico,antirreflectante,,,,,,,,,,,,,,,,,Laptop,320.16,431.08,375.62,15.6,39.624,250.0,,720x480,,65.0,23.25,18.0,36.03,1.63,,60.0,6.0,8.0,,256.0,,1.8,3.8,15.0,8.0,19.0,3.42,,,,1,32.0,715.0,198.0,673.0,44.0,,3731.0,181.0,272.0,561.0,1604.0,1604.0
63.0,Portátil profesional,,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,,,aluminio,con tapa,,2022.0,IEEE 802.11ax,Intel,,,,,3:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,610.02,6720.27,3665.15,13.5,34.29,400.0,,1280x720,18.0,,22.3,15.0,30.8,1.3,,,,,,,,,,,,,,,,,1,,,158.0,673.0,,,,,,,,
9.0,Portátil profesional,,PCIe SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,54.0,,aluminio,con tapa,,2024.0,IEEE 802.11be,Qualcomm,,Qualcomm,,,3:2,,LPDDR5X,,,plateado,,64.0,ninguna,ninguno,,,,,,Microsoft Copilot,,,,,multitáctil de 10 puntos,,Qualcomm Hexagon,,,,,,Laptop,1008.8,1208.75,1108.78,13.8,35.052,600.0,,1920x1080,13.0,39.0,22.0,18.0,30.1,1.34,,120.0,42.0,16.0,,512.0,,3.4,,,,,,,,,1,13.0,22.0,158.0,488.0,,,3731.0,23.0,1212.0,753.0,9.0,9.0
12.0,Portátil profesional,Full HD,PCIe SSD,HDMI 2.1,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,,,,,2.0,polímero de litio,53.8,,,con tapa,,2023.0,IEEE 802.11ax,AMD,1.0,AMD,MicroSD,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,negro,,64.0,ninguna,ninguno,teclado numérico,,,,,,,,,,,,,,,,,,Laptop,598.0,909.4,753.7,15.6,39.624,,4096x2304,,,65.0,24.1,20.0,35.9,1.7,,,16.0,16.0,3200.0,512.0,4.0,2.0,4.5,15.0,16.0,,,,,,1,30.0,391.0,37.0,54.0,77.0,,3731.0,200.0,1212.0,255.0,1604.0,1604.0
27.0,Portátil profesional,Full HD,,HDMI,,"wifi, Bluetooth",,integrada,,720 x 480 píxeles,,teclado numérico,,ión-litio,50.0,,,con tapa,,2023.0,,Intel,1.0,Intel,,SonicMaster,16:9,L3,DDR4,,3.0,plateado,,64.0,ninguna,ninguno,teclado numérico,antirreflectante,,,,,,,,,,,,,,,,,Laptop,356.96,491.14,424.05,15.6,39.624,250.0,,720x480,,65.0,23.25,18.0,36.03,1.63,,60.0,6.0,8.0,,256.0,,1.8,3.8,15.0,8.0,19.0,3.42,,,,1,32.0,715.0,198.0,673.0,44.0,,3731.0,181.0,1212.0,561.0,1604.0,1604.0
87.0,Portátil profesional,,,HDMI 2.1,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,45.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,,,,SD,altavoces estéreo,16:10,,,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,Realtek ALC3287,,,,,Laptop,742.44,1519.99,1131.22,14.0,35.56,300.0,,1920x1080,13.0,,22.4,17.0,31.3,1.38,,,,,,,4.0,,,,,,,,,,1,,,71.0,462.0,,7.0,,,,,,
6.0,Portátil profesional,WUXGA,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,compatible con HD,1280 x 720 píxeles,,,2.0,polímero de litio,57.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,AMD,MicroSD,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,,negro,,64.0,ninguna,ninguno,,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,,,,Laptop,784.76,899.35,842.06,14.0,35.56,400.0,,1280x720,,65.0,22.6,19.0,31.4,1.36,,60.0,16.0,16.0,4800.0,512.0,,2.9,4.55,30.0,64.0,,,,,,1,9.0,18.0,222.0,462.0,54.0,,3731.0,206.0,1043.0,255.0,537.0,537.0
40.0,Portátil profesional,Full HD,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,,1920 x 1080 píxeles,,,2.0,,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,DDR5,,3.0,,,64.0,,ninguno,,,,,,,,,,,,,,,,,,,Laptop,917.24,1986.41,1451.83,15.6,39.624,250.0,,1920x1080,,65.0,23.3,23.0,35.8,1.62,,,12.0,16.0,5600.0,,4.0,,,,,,,,,,1,,270.0,84.0,115.0,462.0,,3731.0,,1043.0,330.0,1604.0,1604.0
81.0,Portátil profesional,,,,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,,41.0,,,con tapa,sensor de luminosidad,2023.0,IEEE 802.11ax,,,,,Dolby Audio Premium,3:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,747.96,1910.63,1329.3,12.45,31.623,320.0,,1280x720,15.0,,20.6,16.0,27.8,1.13,,,,,,,,,,,,,,,,,1,,,158.0,673.0,,39.0,,,,,,
