ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_articulo_incluido,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
21.0,Portátil profesional,WUXGA,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,,,ión-litio,63.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,Dolby Atmos,16:10,L3,DDR5,teclado iluminado,3.0,negro,,64.0,ninguna,ninguno,,,,,,,,,2 x 16 GB,,,,Intel AI Boost,,,,,,Laptop,1085.48,1479.64,1282.56,14.0,35.56,500.0,,1920x1080,,65.0,22.7,19.0,31.4,1.46,,60.0,24.0,32.0,,1000.0,,1.4,4.8,115.0,16.0,20.0,3.25,,,,1,192.0,270.0,133.0,405.0,462.0,,3731.0,297.0,1043.0,366.0,537.0,537.0
15.0,Portátil profesional,Full HD,SSD,,,"Bluetooth, wifi",,integrada,,1920 x 1080 píxeles,,,2.0,,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR5,,3.0,gris,,64.0,,,,,,,,,2x SO-DIMM,,2 x 8 GB,,,,,,,,,,Laptop,738.76,1090.08,914.42,14.0,35.56,250.0,,1920x1080,,65.0,21.9,19.0,32.2,1.5,157.0,60.0,12.0,16.0,,512.0,4.0,0.9,4.6,15.0,64.0,,,,,,1,141.0,916.0,84.0,673.0,309.0,,3731.0,684.0,1043.0,753.0,1604.0,1604.0
12.0,Portátil profesional,,,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,3:2,L3,LPDDR5,teclado iluminado,,plateado,,64.0,ninguna,ninguno,,,,,,,,,,,multitáctil de 10 puntos,,,,,,,,Laptop,1553.17,1931.99,1742.58,13.5,34.29,400.0,,1920x1080,18.5,,22.3,17.0,30.8,1.38,,,18.0,16.0,,512.0,,3.6,4.6,28.0,,,,,,,1,17.0,270.0,158.0,673.0,462.0,,3731.0,128.0,1043.0,299.0,38.0,38.0
12.0,Portátil profesional,Full HD,,,integrado,"Bluetooth, wifi",,integrada,compatible con HD,1920 x 1080 píxeles,,,,,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:9,L3,DDR5,teclado iluminado,3.0,gris,GDDR6,64.0,ninguna,ninguno,teclado numérico,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,Intel AI Boost,,,,,,Laptop,1390.12,1648.73,1519.42,15.6,39.624,250.0,,1920x1080,,130.0,23.3,23.0,35.8,1.62,,60.0,24.0,16.0,5600.0,512.0,,3.8,4.8,28.0,64.0,,,,,,1,192.0,7.0,96.0,115.0,462.0,,115.0,297.0,1043.0,366.0,1604.0,1604.0
13.0,Portátil profesional,,memoria flash,,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,,41.0,,,con tapa,sensor de luminosidad,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,Dolby Audio Premium,3:2,L3,LPDDR5,,,plateado,,64.0,,ninguno,,táctil,,,,,,,,,,,,,,,,,Laptop,747.96,1066.07,907.01,12.45,31.623,320.0,,1280x720,15.0,,20.6,16.0,27.8,1.13,148.0,,12.0,8.0,,,,0.9,4.4,15.0,,,,,128.0,,1,165.0,916.0,158.0,673.0,536.0,39.0,3731.0,684.0,1043.0,753.0,19.0,19.0
15.0,Portátil profesional,Full HD,,VGA,4 en 1,"wifi, Bluetooth, LAN",Bluetooth 4.0,,compatible con HD,1280 x 720 píxeles,,"teclas multimedia, teclas Windows, teclas de función, teclado numérico",,,,,,con tapa,,2015.0,,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR5,,6.0,gris,,64.0,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,Low Energy,Laptop,738.76,1090.08,914.42,15.6,39.624,,,1280x720,4.5,65.0,25.9,34.0,37.6,2.2,,60.0,12.0,16.0,5200.0,512.0,,0.9,4.6,15.0,64.0,,,,,,1,141.0,916.0,84.0,11.0,309.0,79.0,3731.0,684.0,1043.0,753.0,1604.0,1604.0
9.0,Portátil profesional,,,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,3:2,L3,LPDDR5X,teclado iluminado,,plateado,,64.0,ninguna,ninguno,,,,,,,,,,,multitáctil de 10 puntos,,Intel AI Boost,,,,,,Laptop,1241.08,1474.99,1358.03,13.5,34.29,400.0,,1920x1080,18.5,,22.3,17.0,30.8,1.38,,,18.0,8.0,6400.0,256.0,,3.6,4.6,28.0,,,,,,,1,17.0,270.0,158.0,673.0,462.0,,3731.0,128.0,1043.0,299.0,38.0,38.0
14.0,Portátil profesional,Full HD,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,,1280 x 720 píxeles,,,,polímero de litio,52.0,,,con tapa,,2019.0,,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,negro,,,,,teclado numérico,,,,,,,,,,,,,,,,,,Laptop,685.45,1052.51,868.98,15.6,39.624,,,1280x720,,,23.4,16.0,35.7,1.6,,,12.0,16.0,3200.0,512.0,,1.2,5.0,15.0,,,,,,,1,134.0,916.0,37.0,405.0,309.0,,3731.0,807.0,265.0,753.0,1604.0,1604.0
23.0,Portátil profesional,,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,2.0,,95.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,,,16:10,L3,,,8.0,,,64.0,,,,,,,,,,,,,,,,,,,,,Laptop,1850.0,6511.85,4180.93,16.0,40.64,400.0,,,,230.0,25.1,29.0,36.3,2.4,,,,,,,,,,,,,,,,,1,,,98.0,58.0,,,,,1043.0,,,
12.0,Portátil profesional,,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,3:2,L3,DDR5,,,negro,,64.0,,ninguno,,,,,,,,,,,"capacitiva, multitáctil de 10 puntos, antiarañazos",,Intel AI Boost,,,,,,Laptop,1415.88,2184.17,1800.03,15.0,38.1,400.0,,1920x1080,19.0,,24.4,17.0,34.0,1.68,,,18.0,8.0,,256.0,,3.6,4.6,28.0,,,,,,,1,17.0,270.0,158.0,673.0,462.0,,3731.0,128.0,1043.0,299.0,35.0,35.0
9.0,Portátil profesional,WQHD,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,,,aluminio,con tapa,,2022.0,IEEE 802.11ax,Intel,1.0,Intel,,,3:2,L3,LPDDR5X,,,plateado,,64.0,ninguna,ninguno,,,,,,,,,,,"capacitiva, multitáctil de 10 puntos",,,,,,,,Laptop,1016.6,1194.7,1105.65,13.5,34.29,400.0,,1280x720,18.0,,22.3,15.0,30.8,1.3,201.0,,12.0,8.0,,256.0,,0.9,4.4,15.0,,,,,,,1,165.0,916.0,158.0,673.0,536.0,,3731.0,684.0,1212.0,753.0,38.0,38.0
5.0,Portátil profesional,,SSD,HDMI 2.1,,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,polímero de litio,42.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,,altavoces estéreo,16:9,L3,,,3.0,,,64.0,,,,,,,,,,,,,,,,,,,,,Laptop,908.05,1569.0,1238.53,13.3,33.782,400.0,,1280x720,,65.0,20.8,16.0,30.7,1.22,,,12.0,,,,,,,15.0,,,,,,,1,,,135.0,673.0,309.0,,,,,753.0,,
8.0,Portátil profesional,,SSD,Thunderbolt 4,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,teclas Windows,4.0,,58.0,,aluminio,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,3:2,L3,LPDDR5X,teclado iluminado,,plateado,,64.0,,,,,,,,,,,,,convertible,,,,,,,,Laptop,2031.36,2411.99,2221.67,14.4,36.576,500.0,,1920x1080,19.0,,23.0,22.0,32.3,1.98,201.0,,24.0,16.0,,512.0,,1.8,5.2,45.0,,,,,,,1,15.0,916.0,158.0,462.0,274.0,,3731.0,807.0,1043.0,299.0,29.0,29.0
12.0,Portátil profesional,,,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,3:2,L3,LPDDR5X,teclado iluminado,,negro,,64.0,ninguna,ninguno,,táctil,,,,,,,,,,,Intel AI Boost,,,,,,Laptop,1987.2,2388.1,2187.65,15.0,38.1,400.0,,1920x1080,19.0,,24.4,17.0,34.0,1.68,,,24.0,16.0,7500.0,512.0,,3.8,5.0,28.0,,,,,,,1,26.0,270.0,158.0,673.0,462.0,,3731.0,297.0,1043.0,366.0,35.0,35.0
2.0,Portátil profesional,WUXGA,SSD,,2 en 1,"LAN, wifi, Bluetooth",Bluetooth 5.1,2.1 Mpx,compatible con HD,1920 x 1080 píxeles,teclado FineTip,teclado numérico,2.0,polímero de litio,45.0,,,con tapa,,2023.0,,Intel,,Intel,,altavoces estéreo,16:10,L3,DDR5,,,gris,,64.0,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,Realtek ALC3287,,,,,Laptop,1146.07,1403.0,1274.53,16.0,40.64,300.0,,1920x1080,,65.0,25.3,17.0,35.6,1.7,,60.0,24.0,16.0,5200.0,512.0,4.0,1.8,5.0,45.0,64.0,,,,,,1,,1.0,71.0,364.0,274.0,,3731.0,807.0,1043.0,299.0,537.0,537.0
7.0,Portátil profesional,Full HD,PCIe SSD,,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,,45.0,,,con tapa,,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,Dolby Audio Premium,16:9,L3,DDR4,,,negro,,64.0,"LTE, 4G",ninguno,,panorámica,,,,,2x SO-DIMM,,,,,,,,,,,,Laptop,672.99,747.13,710.06,14.0,35.56,,,1280x720,9.0,65.0,23.5,19.0,33.1,1.58,,,8.0,8.0,3200.0,512.0,,2.4,4.2,15.0,,,,,,,1,89.0,715.0,222.0,364.0,197.0,,3731.0,684.0,185.0,355.0,1604.0,1604.0
15.0,Portátil profesional,WUXGA,,HDMI 2.1,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,45.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,SD,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,,gris,,64.0,ninguna,ninguno,,,Gigabit-LAN,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,Realtek ALC3287,,,,,Laptop,1139.88,1519.99,1329.93,14.0,35.56,300.0,,1920x1080,13.0,,22.4,17.0,31.3,1.38,,60.0,24.0,32.0,5600.0,1000.0,4.0,3.8,4.8,28.0,64.0,,,,,,1,192.0,270.0,71.0,462.0,462.0,7.0,3731.0,297.0,1043.0,366.0,537.0,537.0
17.0,Portátil profesional,Full HD,,HDMI,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,ión-litio,42.0,,plástico,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,DDR4,,3.0,negro,,64.0,ninguna,ninguno,,,Gigabit-LAN,,Certificación MIL-STD 810H,,,,,,,,,,,,,,Laptop,538.2,733.22,635.71,14.0,35.56,250.0,,1280x720,,65.0,21.4,19.0,32.6,2.21,,,10.0,8.0,,512.0,,0.9,4.5,15.0,40.0,20.0,3.25,,,,1,50.0,715.0,133.0,145.0,309.0,14.0,3731.0,181.0,1043.0,255.0,1604.0,1604.0
12.0,Portátil profesional,,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,polímero de litio,42.75,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,,altavoces estéreo,16:9,L3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1179.21,1896.33,1537.77,14.0,35.56,400.0,,1280x720,,65.0,21.4,20.0,32.2,1.41,,,,,,,,,,,,,,,,,1,,,135.0,673.0,,,,,,,,
15.0,Portátil profesional,WUXGA,,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,,57.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,DDR5,,,negro,,64.0,ninguna,ninguno,,,Gigabit-LAN,,,,,,,,,,Intel AI Boost,,,,,,Laptop,890.56,1163.12,1026.84,14.0,35.56,300.0,,1920x1080,,65.0,21.9,18.0,31.3,1.44,,60.0,12.0,16.0,5600.0,512.0,,3.6,4.3,15.0,,,,,,,1,55.0,135.0,222.0,488.0,462.0,,3731.0,128.0,1043.0,330.0,537.0,537.0
7.0,Portátil profesional,Full HD,,HDMI,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,ión-litio,42.0,,plástico,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,DDR4,,3.0,negro,,,ninguna,ninguno,,,Gigabit-LAN,,Certificación MIL-STD 810H,,,,,,,,,,,,,,Laptop,789.87,1482.5,1136.18,14.0,35.56,250.0,,,,65.0,21.4,19.0,32.6,,,60.0,12.0,16.0,,512.0,,1.2,5.0,15.0,48.0,20.0,3.25,,,,1,134.0,715.0,133.0,145.0,309.0,14.0,3731.0,807.0,265.0,753.0,1604.0,1604.0
7.0,Portátil profesional,Full HD,SSD,HDMI,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,compatible con HD,,teclado tipo chicle,,,ión-litio,42.0,,plástico,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,DDR4,,3.0,azul,,64.0,ninguna,ninguno,,,Gigabit-LAN,,Certificación MIL-STD 810H,,1x SO-DIMM,,,,,,,,,,,,Laptop,713.69,1093.9,903.8,14.0,35.56,250.0,,,,65.0,21.4,19.0,32.6,,,60.0,12.0,16.0,,512.0,,1.2,5.0,15.0,48.0,20.0,3.25,,,,1,134.0,715.0,133.0,145.0,309.0,14.0,3731.0,807.0,1212.0,753.0,1604.0,1604.0
20.0,Portátil profesional,WUXGA,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,,,ión-litio,63.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,Dolby Atmos,16:10,L3,DDR5,teclado iluminado,3.0,negro,,64.0,ninguna,ninguno,,,,,,,2x SO-DIMM,,,,,,,,,,,,Laptop,889.64,1227.91,1058.78,14.0,35.56,500.0,,1920x1080,,65.0,22.7,19.0,31.4,1.46,,60.0,18.0,16.0,,512.0,,3.6,4.5,28.0,32.0,20.0,3.25,,,,1,49.0,270.0,133.0,405.0,462.0,,3731.0,128.0,1043.0,299.0,537.0,537.0
14.0,Portátil profesional,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,compatible con HD,1280 x 720 píxeles,,,2.0,,58.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,LPDDR5X,teclado iluminado,,negro,,64.0,ninguna,ninguno,,,,,,,,,,,,,Intel AI Boost,,,,,,Laptop,1934.76,2525.62,2230.19,14.0,35.56,400.0,,1280x720,,65.0,21.9,17.0,31.4,1.24,,60.0,12.0,32.0,7467.0,1000.0,4.0,3.8,4.8,9.0,32.0,,,,,,1,56.0,135.0,222.0,673.0,462.0,,3731.0,297.0,1043.0,330.0,537.0,537.0
21.0,Portátil profesional,WUXGA,,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.2,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,57.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,DDR4L,teclado iluminado,3.0,negro,,64.0,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,2x SO-DIMM,1x SO-DIMM,1 x 8 + 1 x 8 GB,,,,,,,,,,Laptop,945.76,1212.87,1079.32,16.0,40.64,400.0,,1920x1080,15.0,65.0,24.8,20.0,35.6,1.77,,,12.0,16.0,3200.0,512.0,4.0,1.2,5.0,15.0,,,,,,,1,134.0,916.0,222.0,488.0,309.0,,3731.0,807.0,1043.0,753.0,537.0,537.0
37.0,Portátil profesional,WUXGA,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,2.0,ión-litio,56.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,,,3.0,,,64.0,,,,,,,,,,,,,,,,,,,,,Laptop,915.4,1764.35,1339.88,14.0,35.56,300.0,,,,65.0,22.4,17.0,31.9,1.39,,,12.0,,,,,,,,,,,,,,1,,,135.0,673.0,462.0,,3731.0,,,330.0,,
8.0,Portátil profesional,,SSD,,,"wifi, Bluetooth, NFC",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,4.0,,57.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,Dolby Atmos,16:10,L3,LPDDR5,,,negro,,64.0,"LTE, 4G",,,,,,,,,0x SO-DIMM,,,,,,,,,,,Laptop,2018.46,2863.41,2440.93,14.0,35.56,400.0,,1920x1080,,65.0,22.3,15.0,31.6,1.12,,,12.0,16.0,5200.0,512.0,,1.2,5.0,15.0,,,,,,,1,134.0,916.0,222.0,488.0,309.0,,3731.0,807.0,1043.0,753.0,537.0,537.0
8.0,Portátil profesional,WUXGA,,HDMI 2.1,4 en 1,"LAN, wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,45.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,3.0,gris,,64.0,ninguna,ninguno,,,,,,,,1x SO-DIMM,1 x 8 GB,,,,,,,,,,Laptop,672.03,1057.85,864.94,14.0,35.56,300.0,,1920x1080,,65.0,22.4,17.0,31.4,1.38,,,12.0,8.0,5200.0,256.0,4.0,0.9,4.6,15.0,,,,,,,1,141.0,916.0,71.0,364.0,309.0,,3731.0,684.0,1043.0,753.0,537.0,537.0
13.0,Portátil profesional,WUXGA,,HDMI 2.1,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,45.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,SD,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,,gris,,64.0,ninguna,ninguno,,,Gigabit-LAN,,,,,,,,,,,Realtek ALC3287,,,,,Laptop,742.44,909.09,825.77,14.0,35.56,300.0,,1920x1080,13.0,,22.4,17.0,31.3,1.38,,60.0,12.0,8.0,5600.0,256.0,4.0,3.6,4.3,15.0,,,,,,,1,55.0,135.0,71.0,462.0,462.0,7.0,3731.0,128.0,1043.0,330.0,537.0,537.0
20.0,Portátil profesional,Full HD,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,56.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,DDR5,,3.0,plateado,,64.0,ninguna,ninguno,,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,Intel AI Boost,,,,,,Laptop,838.32,1161.98,1000.15,16.0,40.64,300.0,,1920x1080,,45.0,25.1,17.0,35.9,1.74,,,12.0,16.0,5600.0,512.0,,3.6,4.3,15.0,,,,,,,1,55.0,135.0,74.0,673.0,462.0,,3731.0,128.0,1043.0,330.0,1604.0,1604.0
41.0,Portátil profesional,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,51.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,,altavoces estéreo,16:9,L3,,,3.0,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,558.56,1935.89,1247.22,15.6,39.624,250.0,,1280x720,,45.0,23.4,20.0,35.9,1.79,,,,,,,,,,,,,,,,,1,,,74.0,405.0,,,,,,,,
17.0,Portátil profesional,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,2.0,ión-litio,56.0,,aluminio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,DDR5,,3.0,plateado,,64.0,ninguna,ninguno,,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,Intel AI Boost,,,,,,Laptop,915.4,1335.84,1125.62,14.0,35.56,300.0,,,,65.0,22.4,17.0,31.9,1.39,,,12.0,16.0,5600.0,512.0,,3.6,4.3,15.0,,,,,,,1,55.0,135.0,135.0,673.0,462.0,,3731.0,128.0,1043.0,330.0,537.0,537.0
14.0,Portátil profesional,Full HD,,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.2,5.0 Mpx,,,,,2.0,polímero de litio,51.3,,,con tapa,,2023.0,,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,,3.0,plateado,,64.0,ninguna,ninguno,,,Gigabit-LAN,,,,2x SO-DIMM,2x SO-DIMM,1 x 16 GB,,,,,,,,,,Laptop,995.22,1157.67,1076.45,14.0,35.56,250.0,,,,45.0,21.4,20.0,32.2,1.42,,,12.0,16.0,3200.0,512.0,,1.2,5.0,15.0,32.0,19.5,,,,,1,134.0,715.0,74.0,488.0,309.0,,3731.0,807.0,1043.0,753.0,1604.0,1604.0
19.0,Portátil profesional,WUXGA,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,56.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,DDR5,,3.0,plateado,,64.0,ninguna,ninguno,teclado numérico,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,Intel AI Boost,,,,,,Laptop,1037.85,1355.98,1196.91,16.0,40.64,300.0,,1920x1080,,45.0,25.1,17.0,35.9,1.74,,,12.0,16.0,5600.0,512.0,,3.8,4.8,9.0,64.0,,,,,,1,56.0,135.0,74.0,673.0,462.0,,3731.0,297.0,1043.0,330.0,537.0,537.0
11.0,Portátil profesional,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,2.0,,56.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:10,L3,DDR5,,3.0,plateado,GDDR6,64.0,ninguna,ninguno,,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,,,,,Laptop,1608.48,2152.98,1880.73,14.0,35.56,400.0,,,,65.0,22.4,19.0,31.6,1.45,,,24.0,16.0,5600.0,512.0,,3.8,4.8,28.0,64.0,,,,,,1,192.0,12.0,98.0,488.0,462.0,,115.0,297.0,1043.0,366.0,537.0,537.0
13.0,Portátil profesional,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,2.0,polímero de litio,90.0,,magnesio,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,4.0,negro,GDDR6,64.0,ninguna,ninguno,teclado numérico,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,Intel AI Boost,,,,,,Laptop,2000.08,2521.66,2260.87,16.0,40.64,300.0,,1920x1080,,170.0,26.2,25.0,36.5,2.2,,,24.0,32.0,5600.0,1000.0,,1.4,4.8,28.0,96.0,,,,,,1,192.0,6.0,222.0,405.0,462.0,,133.0,297.0,1043.0,366.0,537.0,537.0
