ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
1.0,Portátil multimedia,Retina,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,79.0,,6.0,polímero de litio,100.0,no,aluminio,con tapa,sensor de luminosidad,2023.0,IEEE 802.11ax,Apple,1.0,Apple,SDXC,altavoces estéreo,,,,,,negro,,,,,,ninguno,,,,,,,,,,,,18-Core GPU,,,,,,,,,,,,Laptop,2199.0,2199.0,2199.0,16.2,41.148,1.0,6016x3384,1920x1080,15.0,140.0,24.8,17.0,35.6,2.2,254.0,120.0,,18.0,,512.0,,,,,,,,,,,1,10.0,4.0,112.0,67.0,,253.0,3731.0,,36.0,330.0,30.0,30.0
1.0,Portátil multimedia,,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.4,integrada,,1920 x 1080 píxeles,,,,4.0,,99.9,,,con tapa,,2024.0,IEEE 802.11be,Intel,,NVIDIA,SD,,16:10,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,4299.0,4299.0,4299.0,18.0,45.72,,8192x4608,1920x1080,,400.0,30.8,32.0,40.4,3.6,,120.0,,128.0,,,8.0,,,,,,,,,,1,60.0,,88.0,,,,,192.0,1043.0,,,
3.0,Portátil multimedia,Full HD,SSD,HDMI 1.4,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,,,,teclado numérico,2.0,ión-litio,41.0,,,con tapa,,2024.0,,,,,,altavoces estéreo,16:9,L3,DDR4,,3.0,,,,64.0,,ninguna,ninguno,,antirreflectante,,,,,,,,"HP Support Assistant, HP Audio Switch, HP Connection Optimizer, HP QuickDrop, Omen Gaming Hub",,,,,,,,,,,,,,Laptop,579.0,803.12,691.06,15.6,39.624,250.0,,,7.4,45.0,24.2,18.0,35.8,1.69,,,,,,512.0,,,,,,,,,,,1,,,,54.0,,8.0,3731.0,,1212.0,,1604.0,1604.0
4.0,Portátil multimedia,3K,,HDMI 2.0,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,,,,,,ión-litio,60.0,,aluminio,con tapa,,2020.0,IEEE 802.11ax,Qualcomm,1.0,Qualcomm,MicroSD,,16:9,,LPDDR5X,teclado iluminado,,azul,,,64.0,,ninguna,ninguno,,,,,,,,,,,,,,,Qualcomm Hexagon,,,,,,,,,Laptop,1133.0,1329.0,1231.0,14.0,35.56,300.0,,,14.0,95.0,20.9,15.0,32.2,1.5,,90.0,42.0,16.0,8448.0,512.0,,3.4,,,16.0,,,,,,1,19.0,22.0,46.0,115.0,35.0,,3731.0,35.0,1212.0,330.0,3.0,3.0
1.0,Portátil multimedia,,memoria flash,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 4.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,,,con tapa,,2021.0,,Intel,,Intel,,altavoces estéreo,16:9,L3,DDR4,,,plateado,,,64.0,,,ninguno,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,336.89,336.89,336.89,15.6,39.624,,,1280x720,,45.0,23.8,20.0,36.3,1.8,,,4.0,16.0,,128.0,,1.1,2.8,6.0,,,,4800.0,,,1,37.0,715.0,108.0,53.0,74.0,,3731.0,116.0,1212.0,108.0,1604.0,1604.0
1.0,Portátil multimedia,Full HD,,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,41.0,,,con tapa,,2023.0,IEEE 802.11ac,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,,3.0,azul,,,,,ninguna,ninguno,teclado numérico,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,Laptop,479.0,479.0,479.0,15.6,39.62,250.0,,1280x720,7.5,45.0,23.6,19.0,35.9,1.6,,,10.0,16.0,3200.0,1000.0,,0.9,4.6,15.0,,,,,,,1,21.0,916.0,,63.0,309.0,,3731.0,684.0,265.0,753.0,1604.0,1604.0
7.0,Portátil multimedia,Full HD,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,47.0,,,con tapa,,2023.0,IEEE 802.11ac,Intel,1.0,Intel,SD,altavoces estéreo,16:9,L3,LPDDR5,,,gris,,,64.0,,ninguna,ninguno,teclado numérico,,,,,,,0x SO-DIMM,,,,,,,,,,,,,,,,Laptop,488.52,538.43,513.47,15.6,39.62,300.0,,1280x720,10.0,65.0,23.5,18.0,35.9,1.6,,,12.0,8.0,4800.0,512.0,3.0,1.5,4.4,45.0,8.0,,,,,,1,71.0,715.0,163.0,364.0,536.0,,3731.0,684.0,1212.0,561.0,1604.0,1604.0
1.0,Portátil multimedia,WUXGA,PCIe SSD,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,AMD,,,16:10,L3,LPDDR5,,4.0,negro,,,,"0,2 ms",,,,OLED,,,,,,,,,,,,,,,,,,,,,,Laptop,1162.83,1162.83,1162.83,14.0,35.56,400.0,,1920x1080,,65.0,22.0,15.0,31.2,1.2,,,24.0,16.0,,1000.0,,3.3,5.1,28.0,,19.0,3.42,,,,1,9.0,51.0,81.0,462.0,49.0,253.0,3731.0,206.0,1043.0,561.0,537.0,537.0
2.0,Portátil multimedia,3K,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,5.0 Mpx,,,,,,,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,SD,Smart Amplifier Technology,16:9,L3,DDR5,teclado iluminado,4.0,plateado,,GDDR6,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,1x SO-DIMM,,,"GlideX, ScreenXpert, MyAsus",,,,,Intel AI Boost,,,,ratón,,,,,Laptop,1499.0,1499.9,1499.45,15.6,39.624,400.0,,,,200.0,23.5,20.0,35.5,1.8,,120.0,24.0,16.0,,1000.0,,3.8,5.1,28.0,24.0,,,,,,1,59.0,487.0,198.0,462.0,462.0,5.0,400.0,64.0,1212.0,366.0,22.0,22.0
24.0,Portátil multimedia,Full HD,PCIe SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,41.0,,,con tapa,,2022.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,plateado,,,,,,ninguno,teclado numérico,,,,,,1x SO-DIMM,,1 x 8 GB,,,,,,,,,,,,,,,Laptop,247.98,453.8,350.89,15.6,39.62,250.0,,1280x720,,45.0,24.2,20.0,35.8,1.74,,,4.0,8.0,2933.0,256.0,,1.1,2.8,6.0,,,,,,,1,37.0,715.0,63.0,103.0,74.0,,3731.0,116.0,272.0,108.0,1604.0,1604.0
11.0,Portátil multimedia,Full HD,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,41.0,,,con tapa,,2023.0,IEEE 802.11ac,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,,3.0,plateado,,,64.0,,,ninguno,teclado numérico,,,,,,,,1 x 8 GB,,,,,,,,,,,,,,,Laptop,396.52,533.6,465.06,15.6,39.62,250.0,,1280x720,7.5,45.0,23.6,19.0,35.9,1.6,,,6.0,8.0,3200.0,512.0,,1.8,3.8,15.0,,,,,,,1,32.0,715.0,,63.0,44.0,,3731.0,181.0,1212.0,561.0,50.0,50.0
3.0,Portátil multimedia,,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,,,teclado tipo chicle,,teclado numérico,,ión-litio,90.0,,,con tapa,,2021.0,,Intel,,,SD,Harman Kardon,16:10,L3,,,4.0,,,,,"0,2 ms",,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,2625.06,3905.46,3265.26,16.0,40.64,400.0,,,,,26.4,20.0,36.2,2.4,,,,,,,,,,,,,,,,,1,,,8.0,54.0,,,,,,,,
1.0,Portátil multimedia,QHD+,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.4,integrada,,1920 x 1080 píxeles,,,,6.0,polímero de litio,99.9,,,con tapa,,2024.0,IEEE 802.11be,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,teclado iluminado,4.0,azul,,GDDR6,,,ninguna,ninguno,teclado numérico,IPS,Gigabit-LAN,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,Intel AI Boost,,,,,,,,,Laptop,1598.71,1598.71,1598.71,16.0,40.64,,8192x4608,1920x1080,,240.0,26.0,20.0,35.6,1.99,,240.0,24.0,32.0,5600.0,1000.0,,1.4,4.8,115.0,96.0,,,,,,1,192.0,487.0,30.0,462.0,462.0,16.0,103.0,297.0,272.0,366.0,347.0,347.0
31.0,Portátil multimedia,Full HD,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,41.0,,,con tapa,,2022.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,gris,,,,,ninguna,ninguno,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,Laptop,591.0,914.48,752.74,15.6,39.62,250.0,,1280x720,,45.0,24.2,20.0,35.8,1.74,,,12.0,16.0,3200.0,512.0,,1.2,4.7,15.0,,,,,,,1,93.0,916.0,63.0,103.0,536.0,,3731.0,807.0,272.0,753.0,1604.0,1604.0
3.0,Portátil multimedia,,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,1.0 Mpx,compatible con HD,1280 x 720 píxeles,,,,2.0,,42.0,,,con tapa,,2022.0,IEEE 802.11ax,AMD,1.0,AMD,SD,altavoces estéreo,16:9,L3,DDR4,,3.0,plateado,,,64.0,,,ninguno,,,,,,,0x SO-DIMM,1x SO-DIMM,1 x 8 + 1 x 8 GB,,,,,,,,,,,,,,,Laptop,533.82,638.31,586.07,15.6,39.624,250.0,,1280x720,7.5,65.0,23.6,18.0,36.0,1.6,,60.0,8.0,16.0,3200.0,512.0,3.0,2.1,4.0,25.0,16.0,,,,,,1,39.0,10.0,163.0,462.0,83.0,,3731.0,200.0,1212.0,255.0,50.0,50.0
27.0,Portátil multimedia,Full HD,,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,41.0,,,con tapa,,2022.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,,3.0,negro,,,64.0,,ninguna,ninguno,teclado numérico,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 8 GB,,,,,,,,,,,,,,,Laptop,391.07,667.26,529.16,15.6,39.62,250.0,,1280x720,,45.0,24.2,20.0,35.8,1.74,,,10.0,8.0,3200.0,512.0,,0.9,4.4,15.0,,,,,,,1,69.0,916.0,63.0,103.0,536.0,,3731.0,181.0,1212.0,255.0,1604.0,1604.0
15.0,Portátil multimedia,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,Harman Kardon,16:9,L3,LPDDR5X,teclado iluminado,4.0,azul,,,64.0,,ninguna,ninguno,,,,,,,,,,,,,,,Intel AI Boost,Italia,,,,,,,,Laptop,908.04,1113.5,1010.77,15.6,39.624,600.0,,1920x1080,,90.0,24.7,16.0,35.4,1.5,,120.0,24.0,16.0,,512.0,,3.8,4.8,28.0,,20.0,4.5,,,,1,192.0,270.0,198.0,462.0,462.0,,3731.0,297.0,1212.0,366.0,22.0,22.0
8.0,Portátil multimedia,Full HD,SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,38.0,,,con tapa,,2023.0,,AMD,1.0,AMD,,,16:9,L3,LPDDR5,,2.0,negro,,,64.0,,,ninguno,teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,360.64,447.49,404.06,15.6,39.624,250.0,,,8.4,65.0,23.6,20.0,35.9,1.65,,,6.0,8.0,5500.0,512.0,,2.4,4.1,15.0,,20.0,3.25,,,,1,14.0,38.0,,203.0,61.0,,3731.0,30.0,1212.0,355.0,1604.0,1604.0
13.0,Portátil multimedia,WUXGA,,,,"LAN, wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,,2.0,polímero de litio,83.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,6.0,plateado,,GDDR6,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,2x SO-DIMM,2x SO-DIMM,1 x 32 GB,,,,,,,,,,,,,,,Laptop,2599.27,3650.95,3125.11,16.0,40.64,400.0,,,,150.0,25.1,23.0,35.9,2.12,,,24.0,32.0,5600.0,1000.0,,3.8,5.1,28.0,64.0,,,,,,1,59.0,3.0,98.0,488.0,462.0,,400.0,64.0,1043.0,366.0,537.0,537.0
16.0,Portátil multimedia,Full HD,PCIe SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,0.9 Mpx,,,,,teclado numérico,,polímero de litio,38.0,,,con tapa,,2023.0,,AMD,1.0,AMD,,,16:9,L3,LPDDR5,resistente a salpicaduras,2.0,negro,,,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,475.64,712.2,593.92,15.6,39.624,250.0,,,8.4,65.0,23.6,20.0,35.9,1.65,,,4.0,16.0,4800.0,512.0,,2.8,4.3,15.0,16.0,20.0,3.25,,,,1,47.0,38.0,,203.0,61.0,,3731.0,200.0,1212.0,355.0,1604.0,1604.0
22.0,Portátil multimedia,WUXGA,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,0.9 Mpx,,,,,,,ión-litio,50.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,DDR5,teclado iluminado,3.0,negro,,,64.0,,ninguna,ninguno,,,Gigabit-LAN,,,Asus AI,2x SO-DIMM,,,,,,,,Intel AI Boost,,,,,,,,,Laptop,710.24,1091.52,900.88,14.0,35.56,300.0,,,,,22.7,20.0,31.4,1.5,,60.0,12.0,16.0,,512.0,,1.3,4.3,57.0,32.0,,,,,,1,55.0,135.0,133.0,115.0,462.0,,3731.0,128.0,1043.0,330.0,537.0,537.0
15.0,Portátil multimedia,Full HD,,HDMI,ninguno,"wifi, Bluetooth, LAN",Bluetooth 4.1,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,38.0,,,con tapa,,2023.0,IEEE 802.11ac,Intel,1.0,Intel,,,16:9,L3,DDR4,resistente a salpicaduras,,negro,,,64.0,,ninguna,ninguno,,,Gigabit-LAN,,,,1x SO-DIMM,,,,,,,,,,,,,,,,,Laptop,406.64,498.53,452.58,14.0,35.56,250.0,,1280x720,15.3,65.0,21.5,20.0,32.5,1.4,,,10.0,8.0,3200.0,512.0,,0.9,4.5,15.0,16.0,,,,,,1,50.0,715.0,,673.0,309.0,,3731.0,181.0,1212.0,255.0,1604.0,1604.0
1.0,Portátil multimedia,,,Micro HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,,ión-litio,42.0,,,con tapa,,2023.0,IEEE 802.11ax,,,,,SonicMaster,16:10,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,553.1,553.1,553.1,16.0,40.64,300.0,,1280x720,,45.0,25.0,20.0,35.9,1.88,,,,,,,,,,,,19.0,2.37,,,,1,,,198.0,673.0,,,3731.0,,,,,
1.0,Portátil multimedia,Full HD,,HDMI,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,41.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,AMD,,altavoces estéreo,16:9,L3,LPDDR5,,3.0,azul,,,64.0,,ninguna,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,Laptop,549.0,549.0,549.0,15.6,39.624,,,1280x720,6.75,45.0,23.6,19.0,36.0,1.59,,,4.0,16.0,5500.0,1000.0,,2.8,4.3,15.0,,,,,,,1,47.0,391.0,,488.0,61.0,,3731.0,200.0,1212.0,355.0,1604.0,1604.0
12.0,Portátil multimedia,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,,2.0,polímero de litio,52.5,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,4.0,negro,,,64.0,,ninguna,ninguno,,,,,,,2x SO-DIMM,1x SO-DIMM,1 x 16 GB,,,,,,Intel AI Boost,,,,,,,,,Laptop,1594.36,2078.16,1836.26,14.0,35.56,400.0,,,,65.0,22.4,18.0,31.6,1.31,,60.0,12.0,16.0,5600.0,512.0,4.0,3.8,4.8,9.0,64.0,,,,,,1,56.0,135.0,222.0,673.0,462.0,,3731.0,297.0,1043.0,330.0,537.0,537.0
1.0,Portátil multimedia,WUXGA,PCIe SSD,Thunderbolt 4,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,4.0,,86.0,,,con tapa,,2023.0,,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,teclado iluminado,6.0,plateado,,GDDR6,64.0,,ninguna,ninguno,,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,,,,,Laptop,1459.79,1459.79,1459.79,16.0,40.64,500.0,,1280x720,,200.0,24.2,19.0,35.6,1.73,,,24.0,32.0,5600.0,1000.0,,1.8,5.0,45.0,64.0,,,,,,1,91.0,358.0,98.0,364.0,274.0,,400.0,807.0,1043.0,299.0,537.0,537.0
28.0,Portátil multimedia,,,HDMI,4 en 1,"wifi, Bluetooth",,integrada,,,,,,2.0,ión-litio,35.0,,,con tapa,,2019.0,IEEE 802.11ac,,,,,altavoces estéreo,16:9,,,,2.0,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,Laptop,350.25,1321.59,835.92,15.6,39.62,,,,6.0,45.0,25.2,20.0,36.2,2.1,,,,,,,3.0,,,,,,,,,,1,,,,19.0,,,,,,,,
1.0,Portátil multimedia,WUXGA,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,AMD,MicroSD,,16:10,L3,LPDDR5,teclado iluminado,4.0,plateado,,,64.0,,ninguna,ninguno,,,,,,,,,,,,,,,,,,,,,,,,Laptop,949.0,949.0,949.0,14.0,35.56,600.0,,1920x1080,,90.0,22.2,16.0,31.1,1.3,,60.0,24.0,16.0,,1000.0,,3.8,5.1,45.0,,20.0,4.5,,,,1,25.0,391.0,198.0,462.0,49.0,,3731.0,206.0,1212.0,561.0,537.0,537.0
1.0,Portátil multimedia,Full HD,,HDMI,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,41.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,,3.0,blanco,,,64.0,,ninguna,ninguno,teclado numérico,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,Laptop,699.0,699.0,699.0,15.6,39.624,,,1280x720,6.75,45.0,23.6,19.0,36.0,1.59,,,12.0,16.0,3200.0,1000.0,,1.2,5.0,15.0,,,,,,,1,134.0,916.0,,488.0,309.0,,3731.0,807.0,1212.0,753.0,1604.0,1604.0
1.0,Portátil multimedia,,,,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,76.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,SD,Harman Kardon,16:10,L3,DDR5,,4.0,negro,,GDDR6,64.0,"0,2 ms",,ninguno,,OLED,,,,,1x SO-DIMM,0x SO-DIMM,1 x 16 GB,,,,,,,,,,,,,,,Laptop,2270.21,2270.21,2270.21,14.5,36.83,400.0,,1920x1080,,200.0,22.3,18.0,32.2,1.65,,90.0,24.0,16.0,,1000.0,,1.8,5.0,45.0,48.0,20.0,10.0,,,,1,91.0,487.0,81.0,405.0,274.0,,400.0,807.0,1212.0,299.0,168.0,168.0
,Portátil multimedia,Full HD,SSD,,integrado,"wifi, Bluetooth",,integrada,,,,,,,,48.0,no,,con tapa,,2019.0,IEEE 802.11ac,,1.0,Intel,MicroSD,Dolby Audio Premium,16:9,,,,,,,,64.0,,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,13.3,33.782,300.0,,,17.0,65.0,21.7,17.0,31.2,1.3,,,,16.0,,256.0,,,,,,220.0,,,,,1,4.0,3.0,222.0,364.0,,,3731.0,,1043.0,,1604.0,1604.0
2.0,Portátil multimedia,,,,integrado,"wifi, Bluetooth",,integrada,,,,,,,,48.0,no,,con tapa,,2019.0,IEEE 802.11ac,,,,MicroSD,Dolby Audio Premium,16:9,,,,,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,Laptop,1251.5,3225.06,2238.28,13.3,33.782,300.0,,,17.0,65.0,21.7,17.0,31.2,1.3,,,,,,,,,,,,220.0,,,,,1,,,222.0,405.0,,,,,,,,
1.0,Portátil multimedia,,,,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,76.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,SD,Harman Kardon,16:10,L3,,,4.0,negro,,GDDR6,64.0,"0,2 ms",,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2270.21,2270.21,2270.21,14.5,36.83,400.0,,1920x1080,,200.0,22.3,18.0,32.2,1.65,,,,,,,,,,45.0,,20.0,10.0,,,,1,,,81.0,405.0,274.0,,103.0,,,,,
2.0,Portátil multimedia,Full HD,,HDMI,4 en 1,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,teclado numérico,2.0,polímero de litio,45.0,,,con tapa,,2023.0,,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,,,gris,,,64.0,,ninguna,ninguno,teclado numérico,,,,,,1x SO-DIMM,1x SO-DIMM,1 x 8 + 1 x 8 GB,,,,,,,,,,,,,,,Laptop,1275.0,1409.71,1342.36,17.3,43.942,300.0,,1280x720,8.4,65.0,27.4,20.0,39.9,2.02,,,12.0,16.0,3200.0,512.0,,1.2,5.0,15.0,16.0,,,,,,1,134.0,916.0,,364.0,309.0,,3731.0,807.0,1043.0,753.0,1604.0,1604.0
2.0,Portátil multimedia,Full HD,,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,,,42.0,,,con tapa,,2023.0,IEEE 802.11ax,AMD,1.0,AMD,,SonicMaster,16:9,L3,DDR4,,3.0,plateado,,,,,ninguna,ninguno,teclado numérico,,,,,,1x SO-DIMM,,2 x 8 GB,,,,,,,,,,,,,,,Laptop,529.0,701.0,615.0,15.6,39.624,,,1280x720,,,23.3,20.0,36.0,1.7,,60.0,16.0,16.0,,512.0,,2.0,4.5,15.0,,,,,,,1,45.0,391.0,198.0,673.0,77.0,,3731.0,206.0,265.0,561.0,1604.0,1604.0
2.0,Portátil multimedia,Full HD,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,47.0,,,con tapa,,2023.0,IEEE 802.11ac,AMD,1.0,,SD,altavoces estéreo,16:9,L3,DDR4,,,gris,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,Laptop,450.99,517.01,484.0,15.6,39.624,300.0,,1280x720,10.0,65.0,23.5,18.0,35.9,1.6,,,16.0,8.0,,512.0,3.0,2.0,4.5,15.0,,,,,,,1,30.0,391.0,163.0,462.0,77.0,,3731.0,200.0,1212.0,255.0,1604.0,1604.0
