ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
23.0,Portátil multimedia,WUXGA,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,AMD,,,16:10,L3,LPDDR5X,teclado iluminado,4.0,negro,,,64.0,"0,2 ms",ninguna,ninguno,Touchpad iluminado,,,,,,,,,,,,,,,,,,,,,,,Laptop,792.12,1134.9,963.51,14.0,35.56,400.0,,1920x1080,,65.0,22.0,15.0,31.2,1.2,,60.0,24.0,16.0,,512.0,,3.3,5.1,28.0,16.0,19.0,3.42,,,,1,9.0,391.0,81.0,462.0,49.0,253.0,3731.0,206.0,1212.0,561.0,537.0,537.0
7.0,Portátil multimedia,Retina,SSD,Thunderbolt 4,ninguno,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,teclado tipo chicle,79.0,"teclas de función, teclas de dirección",4.0,polímero de litio,52.6,no,aluminio,con tapa,sensor de luminosidad,2024.0,,Apple,1.0,Apple,,,,,,teclado iluminado,,plateado,,,,,ninguna,ninguno,,brillante,,,,,,,,,,,,,,,,,,,,,,Laptop,1026.53,1315.18,1170.86,13.6,34.544,500.0,6016x3384,1920x1080,15.0,30.0,21.5,11.0,30.4,1.24,224.0,,,16.0,,256.0,,,,,,,,,,,1,96.0,102.0,142.0,124.0,,253.0,3731.0,164.0,139.0,561.0,60.0,60.0
45.0,Portátil multimedia,,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,75.0,,,con tapa,,2023.0,IEEE 802.11ax,,1.0,Intel,,,16:10,,,,4.0,,,,,"0,2 ms",,,,OLED,,,,,,,,,,,,,,,,,,,,,,Laptop,968.76,2192.14,1580.45,14.0,35.56,400.0,,1920x1080,,65.0,22.0,15.0,31.2,1.2,,,,,,,,,,,,20.0,3.25,,,,1,,,81.0,462.0,,253.0,3731.0,,,,,
81.0,Portátil multimedia,,,,integrado,"wifi, Bluetooth",Bluetooth 5.4,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,70.0,,,con tapa,,2024.0,IEEE 802.11be,Qualcomm,1.0,,MicroSD,Harman Kardon,16:9,,,,3.0,,,,,"0,2 ms",,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,716.61,1815.1,1265.86,15.6,39.624,600.0,,1920x1080,,90.0,22.7,16.0,35.3,1.42,,,,,,,,,,,,20.0,4.5,,,,1,,,198.0,462.0,,,3731.0,,,,,
73.0,Portátil multimedia,,,,,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,,ión-litio,75.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,,,Harman Kardon,16:10,,,,4.0,,,,64.0,"0,2 ms",,,,OLED,,,,,,,,,,,,,,,,,,,,,,Laptop,1849.2,3983.06,2916.13,14.0,35.56,400.0,,1920x1080,,65.0,21.8,20.0,31.4,1.65,,,,,,,,,,,,19.0,3.42,,,,1,,270.0,81.0,673.0,,,3731.0,,,366.0,,
37.0,Portátil multimedia,,,Thunderbolt 4,integrado,"Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,4.0,,86.0,,,con tapa,,2023.0,,,,,MicroSD,,16:10,L3,,,6.0,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1459.79,4744.77,3102.28,16.0,40.64,500.0,,1280x720,,200.0,24.2,19.0,35.6,1.73,,,,,,,,,,,,,,,,,1,,,98.0,405.0,,,,,1043.0,,,
43.0,Portátil multimedia,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,4.0,,76.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,,MicroSD,Dolby Atmos,16:10,L3,,,,,,,64.0,,,,,táctil,,,,,,,,,,,,,,,,,,,,,,Laptop,1349.0,3612.83,2480.91,16.0,40.64,400.0,,1920x1080,,65.0,25.0,13.0,35.5,1.56,,,,,,,4.0,,,28.0,,,,,,,1,,,93.0,,462.0,,,,,,,
75.0,Portátil multimedia,,,,integrado,"Bluetooth, wifi",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,79.0,,6.0,polímero de litio,70.0,no,aluminio,con tapa,sensor de luminosidad,2023.0,IEEE 802.11ax,,,,SDXC,altavoces estéreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1442.59,4906.98,3174.78,14.2,36.068,1.0,6016x3384,1920x1080,15.0,67.0,22.1,16.0,31.3,1.6,,,,,,,,,,,,,,,,,1,,,112.0,67.0,,253.0,,,36.0,,,
17.0,Portátil multimedia,Full HD,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,45.0,,,con tapa,,2020.0,IEEE 802.11ac,,1.0,,MicroSD,altavoces estéreo,16:9,,,,2.0,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,Laptop,258.9,584.18,421.54,15.6,39.62,,,1280x720,8.0,,24.0,20.0,35.9,1.87,,,,,,,,,,,,,,,,,1,,,40.0,71.0,,,,,,,1604.0,1604.0
26.0,Portátil multimedia,Full HD,,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,38.0,,,con tapa,,2021.0,,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,DDR4,resistente a salpicaduras,,negro,,,,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,237.36,400.17,318.76,15.6,39.62,250.0,,1280x720,5.5,,23.6,20.0,35.9,1.7,,,4.0,8.0,3200.0,256.0,3.0,1.1,2.8,6.0,,,,,,,1,37.0,715.0,,488.0,74.0,,3731.0,116.0,272.0,108.0,1604.0,1604.0
3.0,Portátil multimedia,Full HD,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,Dolby Atmos,16:9,L3,LPDDR4X,,,gris,,,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,599.0,997.99,798.5,15.6,39.624,300.0,,1280x720,15.0,45.0,22.9,15.0,35.7,1.55,,,12.0,16.0,,512.0,4.0,0.9,4.6,15.0,,,,,,,1,141.0,270.0,93.0,405.0,309.0,,3731.0,684.0,1212.0,753.0,1604.0,1604.0
7.0,Portátil multimedia,Retina,SSD,,integrado,"Bluetooth, wifi",Bluetooth 5.3,12.0 Megapixel,compatible con HD,1920 x 1080 píxeles,,79.0,,6.0,polímero de litio,70.0,no,aluminio,con tapa,sensor de luminosidad,2024.0,IEEE 802.11ax,Apple,1.0,Apple,SDXC,altavoces estéreo,,,,teclado iluminado,,plateado,,,,,ninguna,ninguno,,,,,,Apple Intelligence,,,,,vidrio estándar,,,,,,,,,,,,,Laptop,1731.44,2067.31,1899.38,14.2,36.068,1.0,8192x4608,1920x1080,13.0,67.0,22.1,16.0,31.3,1.6,254.0,120.0,,16.0,,512.0,,,,,,,,,,,1,19.0,11.0,112.0,67.0,,253.0,3731.0,164.0,139.0,753.0,48.0,48.0
178.0,Portátil multimedia,,,HDMI,4 en 1,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,,,,,teclado numérico,,ión-litio,35.0,,,con tapa,,2022.0,IEEE 802.11ac,,,,,,16:9,L3,,,2.0,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,Laptop,330.0,1561.27,945.63,15.6,39.62,250.0,,,,65.0,23.6,20.0,35.9,1.7,,,,,,,,,,,,,,,,,1,,,,71.0,,,,,,,,
