ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
16.0,Portátil gaming,3K,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,4.0,,73.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,NVIDIA,MicroSD,,16:10,L3,LPDDR5X,teclado iluminado,4.0,negro,,GDDR6,,"0,2 ms",ninguna,ninguno,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,Laptop,1999.0,2606.28,2302.64,14.0,35.56,500.0,,1920x1080,,180.0,22.0,16.0,31.1,1.5,120.0,24.0,32.0,6400.0,1000.0,,4.0,5.2,45.0,32.0,19.0,9.23,,,1,22.0,358.0,98.0,462.0,49.0,,400.0,53.0,265.0,561.0,168.0,168.0
29.0,Portátil gaming,,,,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,99.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,,,16:9,L3,,,,,,GDDR6,,,,,,panorámica,,,,,,,,,,,,,,,,,Laptop,975.2,1828.63,1401.91,15.6,39.62,,,1920x1080,,240.0,27.2,21.0,36.0,2.25,,,,,,4.0,,,,,,,,,1,,,29.0,673.0,,,103.0,,,,,
33.0,Portátil gaming,,,,ninguno,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,,65.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:10,,DDR5,,4.0,,,GDDR6,,,,,,,Gigabit-LAN,,,,,,Intel HM770,"MSI App Player, MSI Center",,,,,,,,,Laptop,1249.95,2006.88,1628.41,16.0,40.64,,8192x4608,,,200.0,26.6,27.0,35.9,2.3,,,,,,4.0,,,,,,,,,1,,,11.0,58.0,,7.0,,,,,,
110.0,Portátil gaming,,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,83.0,,,con tapa,,2024.0,IEEE 802.11ax,,,NVIDIA,,,16:9,L3,,,6.0,,,,,,,,,panorámica,,,,,,,,,,,,,,,,,Laptop,846.4,4560.7,2703.55,16.1,40.894,,,,,,25.9,23.0,36.9,2.33,,,,,,,,,,,,,,,1,,,72.0,405.0,,,,,,,,
18.0,Portátil gaming,UHD+,,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,teclado gamer,,,2.0,polímero de litio,88.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,teclado iluminado,,plateado,,GDDR6,64.0,,ninguna,ninguno,,,,,,2x SO-DIMM,,,,,,,,,,,,,Laptop,1031.31,2069.99,1550.65,16.0,40.64,600.0,,1920x1080,,240.0,25.5,22.0,35.4,1.9,60.0,24.0,16.0,4800.0,1000.0,4.0,1.8,5.0,45.0,64.0,,,,,1,91.0,487.0,14.0,2.0,274.0,5.0,400.0,807.0,1212.0,299.0,49.0,49.0
66.0,Portátil gaming,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,,1280 x 720 píxeles,,,,2.0,,53.5,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,NVIDIA,,altavoces estéreo,16:9,L3,,,3.0,,,GDDR6,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,1094.82,2210.99,1652.9,15.6,39.62,,,1280x720,,200.0,25.9,25.0,35.9,2.25,,24.0,,,,4.0,,,45.0,,,,,,1,,,49.0,673.0,274.0,,,,,,,
28.0,Portátil gaming,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,73.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,NVIDIA,MicroSD,,16:10,L3,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1299.0,2736.62,2017.81,14.0,35.56,400.0,,1920x1080,,200.0,22.7,20.0,31.1,1.46,,,,,,4.0,,5.1,,,20.0,10.0,,,1,,,60.0,405.0,,,,,,,,
7.0,Portátil gaming,WQXGA,,HDMI,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,80.0,,,con tapa,,2024.0,IEEE 802.11ax,,,NVIDIA,,altavoces estéreo,16:10,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1399.0,2642.76,2020.88,16.0,40.64,300.0,,1920x1080,8.0,300.0,26.0,27.0,36.3,2.5,,,,,,4.0,,,,,,,,,1,,,57.0,673.0,,19.0,,,,,,
99.0,Portátil gaming,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,70.0,,,con tapa,,2023.0,IEEE 802.11ax,,,,,,16:9,L3,,,4.0,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,744.02,2303.91,1523.96,16.1,40.894,250.0,,,7.25,230.0,25.9,23.0,36.9,2.33,,,,,,,,,45.0,,,,,,1,,,72.0,405.0,,,,,,,,
20.0,Portátil gaming,Full HD,,,integrado,"Bluetooth, LAN, wifi",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,,polímero de litio,53.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,,,MicroSD,,16:9,,,,4.0,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,799.95,1902.41,1351.18,15.6,39.624,,,1280x720,4.5,,24.0,24.0,36.0,2.1,,,,,,,,,,,,,,,1,,,49.0,6.0,,,,,,,,
21.0,Portátil gaming,,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,90.0,,,con tapa,,2023.0,IEEE 802.11ax,,,,,,16:9,,,,4.0,,,,,3 ms,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,899.0,2066.15,1482.58,15.6,39.62,,,1280x720,,240.0,25.1,25.0,35.4,2.2,,,,,,,,,,,20.0,12.0,,,1,,,60.0,673.0,,,,,,,,
