ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_propiedades,ia_procesador,sonido_chip,otras_caracteristicas_localizacion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,comunicaciones_caracteristicas_del_bluetooth,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,grafica_resolucion_externa_std,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
1.0,Portátil gaming,Full HD,,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,60.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:9,L3,DDR5,teclado iluminado,,gris,,GDDR6,,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,Lenovo AI Engine+,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,729.0,729.0,729.0,15.6,39.624,300.0,,1920x1080,5.3,170.0,25.9,24.0,36.0,2.38,144.0,12.0,16.0,4800.0,512.0,,1.5,4.4,45.0,32.0,,,,,1,71.0,121.0,,488.0,536.0,,133.0,684.0,265.0,561.0,1604.0,1604.0
1.0,Portátil gaming,WQXGA,,,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,90.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR4,teclado iluminado,4.0,,,GDDR6,,,ninguna,ninguno,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,1622.17,1622.17,1622.17,16.0,40.64,500.0,,1280x720,,240.0,24.3,22.0,35.5,2.0,240.0,24.0,32.0,,1000.0,4.0,1.7,4.7,45.0,48.0,20.0,12.0,,,1,55.0,121.0,98.0,364.0,536.0,,133.0,807.0,265.0,299.0,347.0,347.0
2.0,Portátil gaming,Full HD,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,83.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,6.0,azul,,GDDR6,64.0,,ninguna,ninguno,teclado numérico,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,Laptop,1399.0,1499.0,1449.0,16.1,40.894,,,,,,25.9,23.0,36.9,2.33,144.0,30.0,32.0,5600.0,1000.0,,2.2,5.2,157.0,,,,,,1,23.0,487.0,72.0,364.0,866.0,,103.0,807.0,1212.0,366.0,1604.0,1604.0
4.0,Portátil gaming,,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,73.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,NVIDIA,MicroSD,,16:10,L3,LPDDR5X,teclado iluminado,4.0,gris,,GDDR6,,,ninguna,ninguno,,,,,,,,,,,,AMD Ryzen AI,,,,,,,Laptop,1399.0,1499.0,1449.0,14.0,35.56,400.0,,1920x1080,,200.0,22.7,20.0,31.1,1.46,165.0,24.0,32.0,7500.0,1000.0,4.0,3.8,5.1,45.0,32.0,20.0,10.0,,,1,25.0,487.0,60.0,405.0,49.0,,400.0,206.0,265.0,561.0,347.0,347.0
5.0,Portátil gaming,,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,,1280 x 720 píxeles,,,,2.0,,99.9,,,con tapa,,2023.0,,AMD,1.0,NVIDIA,,altavoces estéreo,16:9,L3,DDR5,,4.0,,,GDDR6,,,,,,,"2,5-Gbit/s-Ethernet",,,,,,,,,,,,,,,,Laptop,2043.94,2420.52,2232.23,17.3,43.942,400.0,,1280x720,,240.0,28.4,26.0,39.7,2.8,,64.0,,,1000.0,4.0,2.5,5.4,55.0,,,,,,1,13.0,,4.0,673.0,15.0,,103.0,53.0,,366.0,,
4.0,Portátil gaming,Full HD,,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,70.0,,,con tapa,,2023.0,IEEE 802.11ac,AMD,1.0,,,,16:9,L3,DDR5,teclado iluminado,,negro,,GDDR6,,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,690.92,757.47,724.19,15.6,39.624,,,1280x720,,,25.5,24.0,35.8,2.29,,16.0,16.0,4800.0,512.0,,3.3,4.55,35.0,,,,,,1,16.0,29.0,72.0,405.0,54.0,,115.0,200.0,265.0,255.0,1604.0,1604.0
1.0,Portátil gaming,Full HD,,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,ión-litio,53.5,,,con tapa,,,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,3.0,negro,,GDDR6,,,ninguna,ninguno,teclado numérico,IPS,Gigabit-LAN,,,,,2 x 8 GB,,,,,,,,,,,Laptop,919.0,919.0,919.0,15.6,39.624,,4096x2304,,,120.0,25.0,23.0,35.9,1.98,144.0,24.0,16.0,,1000.0,4.0,1.8,4.9,45.0,,,,,,1,78.0,121.0,,,274.0,79.0,44.0,807.0,265.0,753.0,1604.0,1604.0
12.0,Portátil gaming,Full HD,,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,70.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,4.0,azul,,,,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,1299.0,1621.78,1460.39,16.1,40.894,250.0,,,7.25,230.0,25.9,23.0,36.9,2.33,144.0,30.0,16.0,5600.0,1000.0,,1.6,5.2,55.0,,,,,,1,23.0,358.0,72.0,364.0,86.0,,400.0,807.0,265.0,366.0,1604.0,1604.0
1.0,Portátil gaming,WQUXGA,SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.4,integrada,,1920 x 1080 píxeles,,,,6.0,,99.0,,,con tapa,,2024.0,IEEE 802.11be,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,,4.0,negro,,GDDR6,64.0,,,,,,"2,5-Gbit/s-Ethernet",,,,,,,,,Intel AI Boost,,,,,,,Laptop,5799.0,5799.0,5799.0,18.0,45.72,,,1920x1080,,280.0,29.0,24.0,40.0,2.89,120.0,24.0,32.0,,2000.0,8.0,3.8,5.1,28.0,,,,,,1,59.0,76.0,30.0,71.0,462.0,,69.0,64.0,1043.0,366.0,49.0,49.0
2.0,Portátil gaming,WUXGA,,HDMI 2.1,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,76.0,,,con tapa,,2023.0,IEEE 802.11ax,AMD,1.0,AMD,MicroSD,,16:10,L3,DDR4,teclado iluminado,4.0,negro,,GDDR6,64.0,,,ninguno,,antirreflectante,,,,,,,,,,,,,,,,,Laptop,1729.63,2293.32,2011.48,14.0,35.56,600.0,,1920x1080,,240.0,22.7,21.0,31.2,1.7,144.0,16.0,16.0,,1000.0,,3.2,4.7,35.0,,,,,,1,2.0,1.0,98.0,462.0,13.0,,400.0,206.0,1212.0,561.0,,
1.0,Portátil gaming,Full HD,,HDMI 2.1,,"Bluetooth, wifi, LAN",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,ión-litio,53.5,,,con tapa,,,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,3.0,negro,,GDDR6,,,ninguna,ninguno,teclado numérico,IPS,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,Laptop,1049.0,1049.0,1049.0,15.6,39.624,,4096x2304,,,120.0,25.0,23.0,35.9,1.98,144.0,24.0,32.0,5200.0,512.0,4.0,1.8,4.9,45.0,64.0,,,,,1,78.0,487.0,,,274.0,79.0,400.0,807.0,272.0,753.0,1604.0,1604.0
1.0,Portátil gaming,Full HD,,,ninguno,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,,1280 x 720 píxeles,teclado gamer,,,2.0,,52.4,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,gris,,GDDR6,,,ninguna,ninguno,,,Gigabit-LAN,DTS,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,779.0,779.0,779.0,15.6,39.624,,4096x2304,1280x720,,120.0,25.4,21.0,35.9,1.8,144.0,24.0,16.0,3200.0,1000.0,4.0,1.7,4.7,45.0,64.0,,,,,1,27.0,164.0,29.0,58.0,536.0,34.0,30.0,807.0,272.0,753.0,1604.0,1604.0
19.0,Portátil gaming,Full HD,,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,60.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:9,L3,DDR5,teclado iluminado,,gris,,GDDR6,64.0,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,1079.0,1329.95,1204.47,15.6,39.624,350.0,,1920x1080,5.3,170.0,26.5,25.0,36.0,2.4,144.0,24.0,16.0,5200.0,1000.0,,1.8,4.9,45.0,32.0,,,,,1,78.0,487.0,,488.0,274.0,,400.0,807.0,1212.0,753.0,1604.0,1604.0
8.0,Portátil gaming,Full HD,,HDMI 2.1,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,70.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,SD,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,4.0,azul,,GDDR6,,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,667.0,832.13,749.57,15.6,39.624,,,1280x720,7.0,200.0,25.5,24.0,35.8,2.29,,12.0,16.0,3200.0,512.0,,1.5,4.4,45.0,,,,,,1,71.0,29.0,72.0,364.0,536.0,,115.0,684.0,265.0,561.0,1604.0,1604.0
2.0,Portátil gaming,Full HD,,HDMI 2.1,,"wifi, Bluetooth",Bluetooth 5.3,integrada,,,,,,2.0,polímero de litio,83.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,6.0,azul,,GDDR6,,,ninguna,ninguno,,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,Laptop,1109.0,1129.0,1119.0,16.1,40.894,,,,,,25.9,23.0,36.9,2.33,144.0,24.0,32.0,5200.0,1000.0,,1.8,4.9,45.0,,,,,,1,78.0,487.0,72.0,364.0,274.0,,400.0,807.0,272.0,753.0,1604.0,1604.0
2.0,Portátil gaming,,SSD,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,90.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,,,,16:9,L3,,,4.0,,,,,,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,1199.0,2757.69,1978.35,15.6,39.624,,,1280x720,,240.0,25.1,25.0,35.4,2.2,,,,,,,,,,,20.0,12.0,,,1,,,60.0,673.0,,,,,,561.0,,
2.0,Portátil gaming,Full HD,SSD,,,"wifi, Bluetooth, LAN",Bluetooth 5.2,0.7 Mpx,,,teclado tipo chicle,,,,ión-litio,48.0,,,,,,,Intel,1.0,NVIDIA,,,16:9,L3,DDR4,teclado iluminado,3.0,negro,,GDDR6,,,,ninguno,teclado numérico,,Gigabit-LAN,,,2x SO-DIMM,,2 x 8 GB,,,,,,,,,,,Laptop,789.99,819.0,804.5,15.6,39.62,250.0,,,,180.0,25.6,25.0,35.9,2.3,144.0,12.0,16.0,3200.0,512.0,,2.7,4.5,45.0,32.0,20.0,9.0,,,1,10.0,164.0,60.0,61.0,31.0,8.0,,684.0,265.0,255.0,1604.0,1604.0
1.0,Portátil gaming,QHD,SSD,HDMI,,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,83.0,,,con tapa,,2024.0,IEEE 802.11ax,AMD,1.0,,,,16:9,L3,DDR5,,6.0,negro,,,,7 ms,,ninguno,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,1499.0,1499.0,1499.0,17.3,43.942,300.0,,1920x1080,6.75,,27.8,30.0,39.8,2.95,240.0,24.0,32.0,,1000.0,,3.8,5.1,45.0,,,,,,1,25.0,358.0,94.0,488.0,49.0,,400.0,206.0,265.0,561.0,78.0,78.0
1.0,Portátil gaming,WQXGA,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,90.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,,,4.0,gris,,GDDR6,64.0,3 ms,,,,,,,,,,,,,,,,,,,,,Laptop,7376.36,7376.36,7376.36,16.0,40.64,500.0,,1920x1080,,,24.6,17.0,35.4,2.0,240.0,24.0,32.0,,2000.0,4.0,3.8,5.1,28.0,,,,,,1,59.0,54.0,98.0,405.0,462.0,,40.0,64.0,1043.0,366.0,347.0,347.0
1.0,Portátil gaming,WQXGA,,,,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,compatible con HD,1280 x 720 píxeles,,,,4.0,ión-litio,90.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:10,L3,DDR5,teclado iluminado,4.0,gris,,GDDR6,,,ninguna,ninguno,Touchpad iluminado,,"2,5-Gbit/s-Ethernet",,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,Laptop,1899.0,1899.0,1899.0,16.0,40.64,500.0,,1280x720,,330.0,26.4,30.0,35.4,2.5,240.0,36.0,32.0,5600.0,1000.0,,1.6,5.6,55.0,32.0,20.0,16.5,,,1,60.0,358.0,98.0,673.0,86.0,,400.0,192.0,265.0,125.0,347.0,347.0
1.0,Portátil gaming,WQXGA,SSD,HDMI 2.1,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,,1920 x 1080 píxeles,,,,6.0,ión-litio,90.0,,,con tapa,,2023.0,IEEE 802.11ax,AMD,2.0,NVIDIA,MicroSD,Dolby Atmos,16:10,L3,DDR5,,4.0,negro,,GDDR6,64.0,3 ms,,,,,"2,5-Gbit/s-Ethernet",,,,,,,,,,,,,,,,Laptop,9450.06,9450.06,9450.06,16.0,40.64,,,1920x1080,,330.0,26.6,30.0,35.5,2.67,,64.0,32.0,,2000.0,,2.5,5.4,55.0,,19.5,16.9,,,1,13.0,54.0,98.0,364.0,15.0,,40.0,53.0,1212.0,366.0,347.0,347.0
16.0,Portátil gaming,Full HD,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,48.96,,,con tapa,,2021.0,,,,,SD,altavoces estéreo,16:9,,,,,,,,,,,,,panorámica,"2,5-Gbit/s-Ethernet",,,,,,,,,,,,,,,Low Energy,Laptop,797.64,1019.99,908.82,15.6,39.62,,,1280x720,,180.0,25.8,28.0,36.1,2.2,,,,,512.0,4.0,,,,,,,,,1,,,14.0,462.0,,,,,,,1604.0,1604.0
1.0,Portátil gaming,Full HD,SSD,,,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,,,,con tapa,,2021.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,4.0,negro,,GDDR6,64.0,,,,,,,,,,,,,,,,,,,,,,Laptop,1192.47,1192.47,1192.47,17.3,43.942,,,1280x720,,180.0,26.3,30.0,39.6,2.5,,24.0,32.0,,1000.0,4.0,1.8,5.0,45.0,,19.5,9.23,4100.0,,1,91.0,487.0,,673.0,274.0,,400.0,807.0,1212.0,299.0,1604.0,1604.0
12.0,Portátil gaming,Full HD,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,compatible con HD,,teclado gamer,,tecla Copilot,2.0,ión-litio,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:9,L3,DDR5,teclado iluminado,,gris,,GDDR6,,,ninguna,ninguno,teclado numérico,panorámica,Gigabit-LAN,5.1,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,cable de alimentación,,,Laptop,816.04,1180.99,998.51,15.6,39.624,,,,,,23.8,23.0,36.0,2.08,144.0,24.0,16.0,4800.0,1000.0,4.0,1.8,4.9,45.0,64.0,,,,,1,78.0,121.0,14.0,54.0,274.0,34.0,133.0,807.0,265.0,753.0,1604.0,1604.0
19.0,Portátil gaming,,,,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,,polímero de litio,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR4,,4.0,negro,,GDDR6,,,,,,panorámica,,,,,,,,,,,,,,,,,Laptop,1011.46,1310.78,1161.12,17.3,43.942,,,1280x720,,,26.5,31.0,39.7,2.9,,,,,,,,,45.0,,,,,,1,,487.0,49.0,115.0,,,,,,,,
12.0,Portátil gaming,,,HDMI,,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,,1280 x 720 píxeles,,,,2.0,,52.4,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,,altavoces estéreo,16:9,L3,,,3.0,,,,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,Laptop,660.56,1499.02,1079.79,15.6,39.624,,,1280x720,,120.0,25.4,22.0,35.9,1.86,,,,,,4.0,,,45.0,,,,,,1,,,29.0,673.0,536.0,,,,,,,
16.0,Portátil gaming,WUXGA,PCIe SSD,,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.2,"integrada, 1.0 Mpx",compatible con HD,1280 x 720 píxeles,teclado gamer,,teclado numérico,2.0,ión-litio,54.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:10,L3,DDR5,teclado iluminado,,gris,,GDDR6,,,ninguna,ninguno,teclado numérico,panorámica,Gigabit-LAN,DTS,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,Portugal,,,,,Laptop,877.68,1123.71,1000.69,16.0,40.64,,,1280x720,,150.0,26.3,26.0,35.9,2.3,165.0,24.0,16.0,4800.0,512.0,4.0,1.8,4.9,45.0,,,,,,1,78.0,487.0,6.0,26.0,866.0,79.0,400.0,807.0,265.0,753.0,537.0,537.0
12.0,Portátil gaming,Full HD,,,integrado,"LAN, Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,,teclado gamer,,tecla Copilot,2.0,ión-litio,54.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,Dolby Atmos,16:9,L3,DDR5,teclado iluminado,,gris,,GDDR6,,,ninguna,ninguno,teclado numérico,panorámica,Gigabit-LAN,5.1,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,cable de alimentación,,,Laptop,816.04,1180.99,998.51,15.6,39.624,,,,,,23.8,23.0,36.0,2.08,144.0,24.0,16.0,4800.0,1000.0,4.0,1.8,4.9,45.0,64.0,,,,,1,78.0,121.0,14.0,2.0,274.0,34.0,133.0,807.0,265.0,753.0,1604.0,1604.0
7.0,Portátil gaming,Full HD,PCIe SSD,,ninguno,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,,1280 x 720 píxeles,teclado gamer,,,2.0,,52.4,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,gris,,GDDR6,,,ninguna,ninguno,,,Gigabit-LAN,DTS,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,849.0,916.02,882.51,15.6,39.624,,4096x2304,1280x720,,120.0,25.4,21.0,35.9,1.8,144.0,24.0,16.0,3200.0,1000.0,4.0,1.7,4.7,45.0,64.0,,,,,1,27.0,164.0,29.0,15.0,529.0,34.0,115.0,807.0,272.0,753.0,1604.0,1604.0
19.0,Portátil gaming,Full HD,,,integrado,"LAN, wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,teclado gamer,,,2.0,ión-litio,54.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,1.0,NVIDIA,MicroSD,,16:9,L3,DDR4,teclado iluminado,,negro,,GDDR6,,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,DTS,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,797.64,1093.57,945.61,15.6,39.624,,,1280x720,,150.0,23.8,22.0,36.0,1.9,144.0,18.0,16.0,3200.0,1000.0,,1.8,4.5,45.0,64.0,,,,,1,24.0,121.0,14.0,26.0,536.0,34.0,44.0,684.0,272.0,330.0,1604.0,1604.0
11.0,Portátil gaming,Full HD,PCIe SSD,,ninguno,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,,1280 x 720 píxeles,teclado gamer,,,2.0,,52.4,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:9,L3,DDR4,teclado iluminado,3.0,gris,,GDDR6,,,ninguna,ninguno,,,Gigabit-LAN,DTS,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,698.85,755.51,727.18,15.6,39.624,,4096x2304,1280x720,,120.0,25.4,21.0,35.9,1.8,144.0,12.0,16.0,3200.0,512.0,4.0,1.5,4.4,45.0,64.0,,,,,1,71.0,29.0,29.0,15.0,529.0,34.0,115.0,684.0,272.0,561.0,1604.0,1604.0
8.0,Portátil gaming,QHD+,PCIe SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.4,integrada,,1280 x 720 píxeles,,,,2.0,polímero de litio,90.0,,,con tapa,,2024.0,IEEE 802.11be,Intel,,NVIDIA,SD,altavoces estéreo,16:10,,DDR5,teclado iluminado,4.0,gris,,GDDR6,,,,ninguno,,IPS,"2,5-Gbit/s-Ethernet",,MSI AI Artist,,,,,,,,,,,,,,Laptop,1649.0,2243.09,1946.05,16.0,40.64,,,1280x720,,330.0,28.4,22.0,35.7,2.7,240.0,33.0,32.0,5600.0,1000.0,4.0,,5.5,,,,,,1.0,1,23.0,487.0,,405.0,,,44.0,807.0,272.0,38.0,347.0,347.0
11.0,Portátil gaming,Full HD,,HDMI 2.1,,"LAN, wifi, Bluetooth",Bluetooth 5.3,integrada,30 fps,,teclado gamer,,,2.0,ión-litio,53.5,,,con tapa,,,IEEE 802.11ax,Intel,1.0,NVIDIA,,,16:9,L3,DDR5,teclado iluminado,3.0,negro,,GDDR6,,,ninguna,ninguno,teclado numérico,,Gigabit-LAN,,,2x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,Laptop,958.64,1183.78,1071.21,15.6,39.624,,4096x2304,,,120.0,25.0,23.0,35.9,1.98,144.0,12.0,16.0,5200.0,512.0,4.0,1.5,4.6,45.0,64.0,,,,,1,59.0,487.0,,673.0,274.0,79.0,400.0,684.0,272.0,561.0,1604.0,1604.0
5.0,Portátil gaming,,,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.3,integrada,,1920 x 1080 píxeles,,,,2.0,ión-litio,99.0,,,con tapa,,2023.0,IEEE 802.11ax,Intel,,,MicroSD,altavoces estéreo,16:10,L3,,,4.0,,,GDDR6,,,,,,,"2,5-Gbit/s-Ethernet",,,,,,,,,,,,,,,,Laptop,1899.0,2636.56,2267.78,16.0,40.64,,,1920x1080,,240.0,26.0,20.0,35.6,2.0,,24.0,,,,4.0,,,45.0,,,,,,1,,,30.0,462.0,274.0,,,,,299.0,,
2.0,Portátil gaming,WQXGA,,HDMI,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,80.0,,,con tapa,,2024.0,IEEE 802.11ax,Intel,1.0,NVIDIA,,altavoces estéreo,16:10,L3,DDR5,teclado iluminado,4.0,gris,,GDDR6,,,ninguna,ninguno,teclado numérico,,,,,2x SO-DIMM,2x SO-DIMM,2 x 16 GB,,,,,,,,,,,Laptop,1949.0,2464.21,2206.61,16.0,40.64,300.0,,1920x1080,8.0,300.0,26.0,27.0,36.3,2.5,165.0,30.0,32.0,4800.0,1000.0,4.0,1.5,5.0,55.0,32.0,,,,,1,46.0,487.0,57.0,488.0,866.0,19.0,400.0,807.0,265.0,366.0,347.0,347.0
