ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
3.0,Workstation,disco duro SSD,HDMI,"Bluetooth, wifi, Ethernet",Bluetooth 4.0,,,1.0,DDR3,,,,,,,,Desktop,,semitorre,negro,,,,,,,,,,,,,,,784.5,807.64,796.07,16.7,6.7,5.0,25.0,16.0,1866.0,256.0,3.0,3.9,64.0,,25.0,,,1,1.0,1.0,1.0,1.0,,,54.0,,,10.0,589.0,,
10.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,4.0,1.0,,,,,,,,,,668.57,1491.27,1079.92,30.8,15.5,6.1,30.0,16.0,4800.0,512.0,,5.2,128.0,,33.0,2.1,65.0,1,105.0,374.0,112.0,,866.0,931.0,3731.0,833.0,92.0,1182.0,337.0,,749.0
11.0,Workstation,disco duro SSD,,,,,Intel,1.0,DDR4,,,ninguno,,,,,Desktop,,factor de forma pequeño (SFF),negro,chapa de acero,"empresas, principiante",8.0,,,,,,,,,,MSI H510M-A PRO,,300.57,374.99,337.78,41.0,23.0,8.0,6.0,8.0,2666.0,240.0,3.6,4.3,,,48.0,,65.0,1,13.0,108.0,,2259.0,123.0,65.0,,190.0,,398.0,397.0,,135.0
11.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,20.0,4.0,1.0,,,,,,,,,,922.28,1326.59,1124.43,30.8,15.5,,24.0,16.0,4800.0,512.0,,4.8,128.0,,33.0,2.5,65.0,1,84.0,374.0,112.0,,866.0,931.0,3731.0,947.0,92.0,1182.0,163.0,,749.0
12.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,28.0,4.0,,,,,,,,,,,1476.24,2149.5,1812.87,42.0,17.3,5.0,33.0,16.0,4400.0,512.0,2.1,5.4,128.0,,37.0,2.1,65.0,1,69.0,22.0,96.0,,207.0,,679.0,833.0,,1182.0,160.0,,749.0
11.0,Workstation,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,negro,,empresas,24.0,4.0,,,,,,,,,,,1463.71,2104.47,1784.09,38.5,16.9,7.2,30.0,32.0,4800.0,1000.0,,5.4,,,35.0,3.4,125.0,1,27.0,374.0,94.0,2259.0,866.0,36.0,3731.0,833.0,64.0,1182.0,337.0,,749.0
34.0,Workstation,disco duro SSD,DisplayPort,Ethernet,,,Intel,1.0,DDR5,,64.0,,LAN 10/100/1000/2500,,,,Desktop,,torre,negro,,,32.0,,,,,,,,,,,,1262.8,2379.77,1821.28,42.0,17.3,7.58,36.0,32.0,,1000.0,,6.0,,,37.0,3.2,125.0,1,25.0,374.0,96.0,,866.0,24.0,3731.0,356.0,,1182.0,194.0,,
20.0,Workstation,,,Ethernet,,,,,DDR5,,,,Ethernet 10/100/1000,,,,Desktop,,factor de forma pequeño (SFF),,,empresas,,,,,,,,,,,,,1067.85,2741.95,1904.9,29.3,9.3,,,,,,,,,,29.0,,,1,,,96.0,,,931.0,,,,,,,
1.0,Workstation,disco duro SSD,,Ethernet,Bluetooth 5.1,IEEE 802.11ac,AMD,,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,lector de tarjetas,torre,negro,,,,8.0,,,1 TB,,,,,,,,7327.45,7327.45,7327.45,46.0,16.5,,16.0,64.0,3200.0,1000.0,,4.2,,,44.0,3.5,,1,1.0,,135.0,2259.0,,931.0,,8.0,,200.0,1.0,,1.0
1.0,Workstation,disco duro M.2 SSD,,Ethernet,,,AMD,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,,negro,,"profesional, empresas",16.0,4.0,,,,,,,,,,,1233.43,1233.43,1233.43,31.5,17.0,9.8,32.0,16.0,3200.0,512.0,,4.6,128.0,,37.0,3.4,65.0,1,3.0,23.0,135.0,,159.0,23.0,9.0,295.0,,1182.0,589.0,,478.0
