ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,otras_caracteristicas_certificado_rohs,sistema_operativo_software_incluido,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
,Mini PC,,,"Ethernet, wifi",,,Intel,,,,,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,,,,24.0,,,,,,,,,,,,,,,,,,,,30.0,,,,5.0,5.1,,,,,65.0,1,20.0,715.0,,,529.0,931.0,3731.0,356.0,,,337.0,,749.0
4.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,Wi-Fi 6E,AMD,1.0,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,,16.0,,,,,,,,,,,,,,699.0,2234.2,1466.6,,,7.0,16.0,32.0,5600.0,1000.0,3.8,5.1,64.0,,,3.8,45.0,1,25.0,51.0,,,,931.0,3731.0,295.0,,1182.0,589.0,,2.0
3.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,Intel,1.0,DDR4,,64.0,ninguno,LAN 10/100/1000/2500/5000/10000,,,,,Desktop,,cubo,negro,,"principiante, empresas",8.0,2.0,1.0,,,,compatible 4K,,,,,,,,533.21,914.54,723.88,12.4,12.4,1.4,10.0,8.0,3200.0,256.0,,4.4,64.0,,5.0,3.3,15.0,1,69.0,715.0,63.0,,529.0,73.0,3731.0,190.0,,389.0,813.0,,43.0
1.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,Intel,,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,2 USB 3.2,mini ITX,negro,,bricolaje,2.0,,,,,,,,,,,,,,138.6,138.6,138.6,11.2,11.7,,4.0,,,,2.0,2.9,64.0,,3.0,,10.0,1,5.0,715.0,45.0,2259.0,74.0,931.0,3731.0,,,398.0,51.0,19.0,26.0
9.0,Mini PC,disco duro SSD,DisplayPort,Ethernet,Bluetooth 5.0,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,,negro,,,8.0,2.0,,,,,,,,,,,,,721.9,811.99,766.94,,,1.0,6.0,8.0,2666.0,128.0,1.6,4.2,,,,1.6,15.0,1,18.0,715.0,,2259.0,123.0,5.0,3731.0,947.0,,13.0,397.0,,24.0
4.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,Intel,1.0,DDR4,,64.0,ninguno,LAN 10/100/1000/2500/5000/10000,,,,,Desktop,,cubo,negro,,"principiante, empresas",12.0,2.0,1.0,,,,compatible 4K,,,,,,,,690.08,990.32,840.2,12.4,12.4,1.4,12.0,16.0,3200.0,512.0,,4.7,64.0,,5.0,3.5,15.0,1,93.0,916.0,63.0,,529.0,73.0,3731.0,833.0,,389.0,233.0,,43.0
10.0,Mini PC,disco duro M.2 SSD,,"wifi, Ethernet, Bluetooth",,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,empresas,,1.0,,,,,,,,,,,,,370.07,725.88,547.98,17.8,17.8,,,,3200.0,256.0,,,32.0,,3.0,,,1,,,87.0,52.0,866.0,73.0,3731.0,,,,,,
2.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,Intel,,,,,,Ethernet 10/100/1000,,,,,Desktop,2 USB 3.2,mini ITX,negro,,bricolaje,8.0,,,,,,,,,,,,,,689.03,689.03,689.03,11.2,11.7,,12.0,,,,2.8,4.7,64.0,,3.0,,28.0,1,35.0,,45.0,,25.0,931.0,,833.0,,,397.0,19.0,24.0
10.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 4.0,IEEE 802.11ax,AMD,,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,,bricolaje,12.0,2.0,,,,,,,,,,,,,481.61,586.44,534.03,11.5,11.5,7.0,8.0,,3200.0,,,4.0,,,4.0,2.1,15.0,1,39.0,391.0,,52.0,,78.0,3731.0,327.0,,,813.0,,
8.0,Mini PC,disco duro SSD,,wifi,,IEEE 802.11g,,1.0,DDR5,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,,,,,,,,,,,,,,,863.36,1013.49,938.42,33.5,10.5,,24.0,16.0,,512.0,,5.2,,,33.0,2.1,,1,105.0,374.0,87.0,2259.0,,14.0,3731.0,833.0,52.0,1182.0,337.0,,
3.0,Mini PC,disco duro M.2 SSD,HDMI,"Ethernet, wifi, Bluetooth",,IEEE 802.11ax,Intel,1.0,DDR4,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,barebone,negro,,,,2.0,,,,,,,,,,,,,779.0,1141.98,960.49,35.7,12.0,,,16.0,3200.0,500.0,,,64.0,,18.0,,,1,29.0,916.0,,2259.0,529.0,931.0,3731.0,833.0,,1182.0,,,
3.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi",,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,negro,,,8.0,2.0,,,,,,,,,,,,,431.75,659.0,545.38,17.9,3.5,2.1,10.0,8.0,1600.0,256.0,,,64.0,,17.0,1.2,15.0,1,50.0,,17.0,,,28.0,,190.0,,1182.0,813.0,,
4.0,Mini PC,disco duro SSD,HDMI,"Ethernet, wifi, Bluetooth",,,Intel,0.0,DDR4,,,,LAN 10/100/1000/2500,,,,,Desktop,,barebone,negro,,"bricolaje, profesional",,,2.0,,,,,,,,,,,,729.0,981.4,855.2,33.7,12.9,,,,,,,,,,31.0,,,1,63.0,715.0,,,,931.0,3731.0,833.0,,398.0,,34.0,
2.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,AMD,0.0,DDR5,,,,LAN 10/100/1000/2500,,,,,Desktop,,factor de forma ultrapequeño (USFF),negro,,,,,,,,,,,,,,,,,776.63,1019.72,898.17,13.0,12.0,,,,,,,,,,5.0,,,1,2.0,391.0,,,,931.0,3731.0,295.0,,398.0,,,
4.0,Mini PC,,,"wifi, Bluetooth",,,Intel,,DDR4,,64.0,ninguno,,,,,,Desktop,,mini ITX,negro,,,,2.0,1.0,,,,,,,,,,,,562.67,679.43,621.05,12.4,12.4,0.6,12.0,,,,,4.7,64.0,,5.0,1.7,,1,93.0,715.0,63.0,,,78.0,3731.0,833.0,,1.0,233.0,,
3.0,Mini PC,disco duro SSD,,wifi,Bluetooth 5.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,desktop,negro,,"principiante, profesional, empresas",,2.0,,,,,,,,,,,,,509.0,539.0,524.0,17.5,17.7,,10.0,8.0,3200.0,256.0,,4.5,64.0,,3.0,1.2,,1,50.0,715.0,106.0,,,78.0,3731.0,190.0,,165.0,813.0,,
1.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,,Desktop,2 USB 3.2,mini ITX,negro,,bricolaje,,,,,,,,,,,,,,,1156.71,1156.71,1156.71,11.2,11.7,,,,,,,,64.0,,3.0,,,1,1.0,715.0,45.0,,,931.0,3731.0,,,,,19.0,
5.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,Intel,1.0,DDR4,,64.0,ninguno,LAN 10/100/1000/2500/5000/10000,,,,,Desktop,,cubo,negro,,"principiante, empresas",12.0,2.0,1.0,,,,compatible 4K,,,,,,,,613.36,690.56,651.96,12.4,12.4,1.4,12.0,8.0,2666.0,512.0,,4.4,64.0,,5.0,3.3,15.0,1,165.0,916.0,63.0,,529.0,73.0,3731.0,947.0,,1182.0,233.0,,43.0
4.0,Mini PC,,,"Ethernet, wifi, Bluetooth",,,Intel,,,,,,,,,,,Desktop,,mini ITX,negro,,bricolaje,4.0,,,,,,,,,,,,,,575.04,668.9,621.97,,,,6.0,,,,1.7,4.1,,,,,28.0,1,48.0,715.0,,,25.0,931.0,3731.0,190.0,,398.0,51.0,,24.0
3.0,Mini PC,disco duro M.2 SSD,,"Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,,0.0,,,,ninguno,,,,,,Desktop,,nettop,negro,,bricolaje,4.0,1.0,,,,,,,,,,,,,252.16,349.12,300.64,12.4,12.4,,,16.0,,,,,16.0,,5.0,3.7,,1,8.0,,63.0,,,78.0,,60.0,,,397.0,,
7.0,Mini PC,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,,,,,,,,,,,,,,,554.95,611.02,582.99,30.7,10.25,,,8.0,,256.0,,4.7,64.0,,3.0,3.5,,1,9.0,715.0,87.0,2259.0,,54.0,3731.0,190.0,,1182.0,397.0,,
6.0,Mini PC,,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,Wi-Fi 6E,Intel,,,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,negro,,,12.0,2.0,,,,,,,,,,,,,459.99,480.24,470.12,13.56,13.56,1.38,12.0,,,,,5.0,64.0,,5.0,1.4,15.0,1,40.0,135.0,63.0,,866.0,,3731.0,38.0,,165.0,233.0,,43.0
3.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,,,DDR5,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,empresas,,,,,1 TB,,,,,,,,,,754.5,791.01,772.75,17.5,17.5,,,16.0,,512.0,,,,,4.0,,,1,49.0,202.0,,86.0,,13.0,3731.0,947.0,,398.0,,,
4.0,Mini PC,disco duro SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,DDR5,,64.0,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,negro,,,12.0,2.0,,,,,,,,,,,,,883.41,945.98,914.69,13.56,13.56,,12.0,16.0,5600.0,512.0,,5.4,64.0,,5.0,1.8,15.0,1,34.0,135.0,63.0,2259.0,866.0,,3731.0,37.0,,1182.0,233.0,,43.0
7.0,Mini PC,disco duro SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,DDR5,,64.0,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,negro,,,8.0,2.0,,,,,,,,,,,,,499.95,524.9,512.42,13.56,13.56,1.38,10.0,8.0,5600.0,256.0,,4.7,64.0,,5.0,1.2,15.0,1,11.0,135.0,63.0,2259.0,866.0,,3731.0,190.0,,389.0,813.0,,43.0
8.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,Wi-Fi 6E,Intel,,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,negro,,,,2.0,,,,,,,,,,,,,424.53,467.84,446.18,13.56,13.56,0.59,,,,,,,64.0,,5.0,1.4,,1,40.0,916.0,63.0,2259.0,,,3731.0,947.0,,165.0,,,
4.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Intel,1.0,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,plateado,,,18.0,2.0,,,,,,,,,,,,,896.98,1431.63,1164.31,11.2,14.4,0.8,18.0,16.0,4800.0,512.0,1.2,4.5,,,4.0,1.2,28.0,1,49.0,270.0,,63.0,462.0,88.0,3731.0,128.0,,389.0,163.0,,39.0
15.0,Mini PC,disco duro SSD,,Ethernet,Bluetooth 5.0,IEEE 802.11ax,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,,negro,,,8.0,,,,,,,,,,,,,,657.26,1148.0,902.63,,,1.0,6.0,,2666.0,128.0,1.6,4.2,,,,1.6,15.0,1,18.0,715.0,,2259.0,123.0,5.0,3731.0,947.0,,,397.0,,24.0
4.0,Mini PC,,,"Ethernet, wifi, Bluetooth",,,,,,,,,,,,,,Desktop,,mini ITX,negro,,bricolaje,,,,,,,,,,,,,,,575.04,668.9,621.97,,,,,,,,,,,,,,,1,,,,,,931.0,,,,398.0,,,
4.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,AMD,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,bricolaje,6.0,2.0,1.0,,,,,,,,,,,,355.32,508.0,431.66,11.9,11.3,,8.0,,,,2.3,4.0,64.0,,4.0,,15.0,1,4.0,391.0,21.0,,,56.0,3731.0,327.0,,398.0,813.0,,25.0
3.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,IEEE 802.11ax,Apple,,,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),plateado,,,,,,,,,compatible 4K,,,,,,,,829.0,949.0,889.0,19.7,19.7,1.18,,8.0,,512.0,,,,,3.0,,,1,43.0,8.0,36.0,3.0,,13.0,3731.0,164.0,,35.0,589.0,,
11.0,Mini PC,,,Ethernet,,,Intel,,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,,,,empresas,,,,,,,,,,,,,,,456.76,841.58,649.17,,,,,,,,,,,,,,,1,,,87.0,,529.0,,,,49.0,,,,749.0
1.0,Mini PC,disco duro M.2 SSD,HDMI,"Ethernet, wifi, Bluetooth",,,Intel,0.0,DDR4,,,,LAN 10/100/1000/2500,,,,,Desktop,,barebone,negro,,"bricolaje, profesional",,,2.0,,,,,,,,,,,,767.33,767.33,767.33,33.7,12.9,,,,,,,,,,31.0,,,1,25.0,715.0,,,,931.0,3731.0,947.0,,398.0,,34.0,
1.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,AMD,1.0,DDR4,,,,,,,,,Desktop,,mini ITX,,,,12.0,2.0,,,,,,,,,,,,,339.0,339.0,339.0,,,,16.0,32.0,,512.0,,4.3,,,,,,1,2.0,,,2259.0,,,,327.0,,,813.0,,
3.0,Mini PC,disco duro M.2 SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 4.2,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,"profesional, bricolaje",4.0,,,,,,,,,,,,,,195.0,249.99,222.5,8.8,8.8,,6.0,16.0,,512.0,,3.6,,,3.0,2.0,12.0,1,12.0,715.0,,,529.0,,3731.0,60.0,,1182.0,397.0,,
1.0,Mini PC,disco duro M.2 SSD,HDMI,"wifi, Ethernet",Bluetooth 5.2,IEEE 802.11ax,AMD,1.0,DDR5,,,,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,,,,16.0,,,,,,,,,,,,,,569.0,569.0,569.0,12.6,12.6,,16.0,32.0,4800.0,500.0,,4.9,,,4.0,,,1,20.0,28.0,,2259.0,,,,108.0,,,589.0,,
1.0,Mini PC,disco duro M.2 SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,,,,,,Desktop,,mini ITX,,,,16.0,,,,,,,,,,,,,,749.0,749.0,749.0,,,,16.0,32.0,5600.0,1000.0,,5.1,,,,3.8,,1,25.0,51.0,,,,,3731.0,295.0,,,589.0,,
1.0,Mini PC,disco duro SSD,,wifi,,,Intel,,,,,,,,,,,Desktop,,mini ITX,,,,12.0,,,,,,,,,,,,,,599.9,599.9,599.9,,,,12.0,16.0,,512.0,2.9,4.3,,,,2.9,65.0,1,133.0,,,2259.0,118.0,,,947.0,,1182.0,813.0,,
2.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",,,,1.0,,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,,,,,,,,,,,,,,,,497.65,517.43,507.54,13.0,13.0,1.0,,16.0,,512.0,,,,,4.0,,,1,39.0,391.0,,2259.0,,931.0,3731.0,,,1182.0,,,
2.0,Mini PC,disco duro SSD,HDMI,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,IEEE 802.11ax,Apple,1.0,,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),plateado,,,,,,,,,,,,,,,,,1483.52,1847.56,1665.54,19.7,19.7,,,16.0,,512.0,,,,,3.0,,,1,9.0,6.0,36.0,,,931.0,3731.0,164.0,,35.0,233.0,,
3.0,Mini PC,sin disco duro,HDMI,"Ethernet, wifi, Bluetooth",,IEEE 802.11ax,Intel,0.0,DDR4,,,ninguno,,,,,,Desktop,2 USB 3.2,mini ITX,negro,,bricolaje,8.0,2.0,,,,,,,,,,,,,658.58,800.58,729.58,11.2,11.7,,12.0,,,,2.8,4.7,64.0,,3.0,,28.0,1,35.0,916.0,45.0,,25.0,931.0,3731.0,833.0,,398.0,397.0,19.0,24.0
1.0,Mini PC,disco duro M.2 SSD,HDMI,"Bluetooth, wifi, Ethernet",Bluetooth 4.2,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,,,,4.0,,,,,,,,,,,,,,139.9,139.9,139.9,,,,6.0,8.0,,256.0,,3.4,,,,,15.0,1,11.0,715.0,,,529.0,,,60.0,,1182.0,397.0,,
2.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",,IEEE 802.11ax,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,conexión micrófono/auriculares,mini ITX,negro,,,16.0,,,,,,,,,,,,,,339.0,364.99,352.0,12.7,12.7,,8.0,16.0,3200.0,1000.0,1.8,4.3,64.0,,4.0,1.8,15.0,1,51.0,391.0,,2259.0,,,3731.0,295.0,,1182.0,589.0,,25.0
1.0,Mini PC,memoria flash,HDMI,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,conexión micrófono/auriculares,mini ITX,,,principiante,4.0,2.0,,,,,,,,,,,,,425.92,425.92,425.92,11.8,13.2,,4.0,4.0,,64.0,1.1,3.1,8.0,,5.0,,6.0,1,3.0,4.0,,63.0,37.0,931.0,3731.0,,,200.0,397.0,,14.0
6.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,IEEE 802.11ax,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,,,,empresas,,,,,,,,,,,,,,,416.88,1532.41,974.64,17.5,17.5,,,,,,,,,,4.0,,,1,,,,2259.0,,931.0,3731.0,,,,,,
3.0,Mini PC,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,AMD,,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,bricolaje,,2.0,1.0,,,,,,,,,,,,603.05,833.64,718.35,11.9,11.3,,12.0,,3200.0,,,4.1,64.0,,4.0,2.0,,1,4.0,391.0,21.0,,,931.0,3731.0,295.0,,27.0,589.0,,
2.0,Mini PC,,,"Ethernet, wifi",,IEEE 802.11n,Intel,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,barebone,negro,plástico,bricolaje,8.0,2.0,1.0,,,,,,,,,,,,589.61,630.0,609.81,14.1,14.1,0.4,6.0,,,,1.6,3.9,64.0,,4.0,,15.0,1,3.0,16.0,33.0,5.0,3.0,78.0,,947.0,,398.0,397.0,,24.0
3.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,,0.0,,,,,Ethernet 10/100/1000,,,,,Desktop,2 USB 3.2,mini ITX,negro,,bricolaje,,,,,,,,,,,,,,,436.07,839.0,637.53,11.2,11.7,,,,,,,,64.0,,3.0,,,1,89.0,916.0,45.0,,,931.0,3731.0,,,398.0,,19.0,
2.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi",,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,blanco,,,16.0,2.0,,,,,,,,,,,,,1049.0,1267.61,1158.3,17.9,3.5,,18.0,16.0,3200.0,1024.0,,5.0,64.0,,17.0,2.2,28.0,1,63.0,,17.0,2259.0,866.0,28.0,,833.0,,1182.0,297.0,,
1.0,Mini PC,memoria flash,HDMI,"wifi, Ethernet, Bluetooth",,,,,DDR3L,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,bricolaje,,,,,,,,,,,,,,,131.99,131.99,131.99,14.1,14.1,0.27,,2.0,,16.0,,,,,2.0,1.5,,1,1.0,,33.0,41.0,,,,,,398.0,,,
2.0,Mini PC,disco duro M.2 SSD,DisplayPort,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Ray tracing,Desktop,,torre,,,empresas,12.0,,,,,,,,,,,,,,1664.52,1804.39,1734.45,33.5,17.5,,18.0,16.0,,1000.0,3.0,4.6,,,37.0,,117.0,1,39.0,90.0,87.0,2259.0,529.0,931.0,,947.0,,1182.0,813.0,,749.0
1.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,,,0.0,,,,,LAN 10/100/1000/2500,,,,,Desktop,,barebone,negro,,"bricolaje, profesional",,,2.0,,,,,,,,,,,,819.79,819.79,819.79,33.7,12.9,,,,,,,,,,31.0,,,1,3.0,916.0,,,,931.0,,,,398.0,,34.0,
3.0,Mini PC,disco duro SSD,,"Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,,1.0,DDR4,,64.0,,,,,,,Desktop,,nettop,negro,,bricolaje,,,,,,,,,,,,,,,376.57,439.84,408.2,12.4,12.4,,,4.0,3200.0,128.0,,,,,5.0,,,1,45.0,715.0,63.0,,,78.0,3731.0,60.0,,1182.0,,,
2.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,,2.0,,,,,,,,,,,,,827.35,970.36,898.86,17.5,17.7,1.42,,8.0,3200.0,256.0,,,64.0,,3.0,,,1,19.0,374.0,106.0,2259.0,,56.0,3731.0,947.0,,1182.0,,,
4.0,Mini PC,disco duro M.2 SSD,HDMI,wifi,,,Intel,0.0,DDR4,,,ninguno,,,,,,Desktop,,barebone,negro,,,16.0,,,,,,,,,,,,,,671.71,728.15,699.93,35.7,12.0,,18.0,,,,3.4,4.7,,,18.0,,64.0,1,29.0,,,,529.0,931.0,,833.0,,398.0,297.0,,
1.0,Mini PC,disco duro SSD,,wifi,,,AMD,,DDR4,,,,,,,,,Desktop,,mini ITX,,,,4.0,,,,,,,,,,,,,,459.9,459.9,459.9,,,,4.0,8.0,,512.0,3.6,4.0,,,,3.6,65.0,1,79.0,,,2259.0,89.0,,,100.0,,1182.0,397.0,,478.0
2.0,Mini PC,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,IEEE 802.11ax,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,empresas,,,,,,,,,,,,,,,635.88,828.73,732.31,17.8,17.8,,,16.0,,512.0,,,,,3.0,,,1,141.0,916.0,4.0,2259.0,,73.0,3731.0,947.0,,398.0,,,
3.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 4.0,,Intel,0.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,bricolaje,8.0,2.0,1.0,,,,,,,,,,,,577.63,992.0,784.82,11.1,11.5,,8.0,,3200.0,,2.4,4.2,64.0,,5.0,,28.0,1,89.0,916.0,45.0,,25.0,931.0,3731.0,947.0,,398.0,397.0,22.0,24.0
3.0,Mini PC,disco duro SSD,HDMI,"wifi, Bluetooth, Ethernet",,,,0.0,DDR4,,,,,,,,,Desktop,,barebone,negro,,,,,,,,,,,,,,,,,683.58,1278.61,981.1,35.7,12.0,,,,,,,,,,18.0,,,1,28.0,916.0,,2259.0,,931.0,3731.0,,,398.0,,,
2.0,Mini PC,disco duro M.2 SSD,,"Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,,1.0,DDR4,,64.0,,,,,,,Desktop,,nettop,negro,,bricolaje,,,,,,,,,,,,,,,386.53,480.75,433.64,12.4,12.4,0.54,,4.0,3200.0,128.0,,,,,5.0,,,1,8.0,715.0,63.0,,,78.0,3731.0,60.0,,1182.0,,,
1.0,Mini PC,disco duro SSD,,"Bluetooth, wifi, Ethernet",,,,1.0,DDR4,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,,,,2.0,,,,,,,,,,,,,512.51,512.51,512.51,3.4,18.0,1.1,,8.0,3200.0,256.0,,,32.0,,18.0,,,1,69.0,715.0,213.0,63.0,,73.0,,190.0,,1182.0,,,
2.0,Mini PC,disco duro M.2 SSD,DisplayPort,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,,Desktop,,semitorre,,,empresas,12.0,,,,,,,,,,,,,,591.33,619.77,605.55,33.5,10.5,,18.0,8.0,2400.0,256.0,2.5,4.4,,,33.0,2.5,117.0,1,79.0,202.0,87.0,2259.0,529.0,931.0,3731.0,947.0,,1182.0,813.0,,749.0
