ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,propiedades_de_la_carcasa_material_de_la_carcasa,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,procesador_placa_base,otras_caracteristicas_certificado_rohs,sistema_operativo_software_incluido,procesador_procesadores_compatibles,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
2.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,aluminio,,,,,,,,,,,,,,,,1099.0,1179.0,1139.0,12.7,12.7,0.67,,24.0,,512.0,,,,,5.0,,,1,19.0,8.0,36.0,8.0,,4.0,3731.0,164.0,,139.0,233.0,,
4.0,Mini PC,disco duro M.2 SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,,,,,,Desktop,,mini ITX,,,,16.0,,,,,,,,,,,,,,399.9,749.0,574.45,,,,16.0,32.0,5600.0,1000.0,,5.1,,,,3.8,,1,25.0,51.0,,,,,3731.0,295.0,,,589.0,,
3.0,Mini PC,,HDMI,"Ethernet, wifi, Bluetooth",,,Intel,,,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,1 entrada de auriculares,mini ITX,,,,24.0,,,,,,,,,,,,,,343.0,479.0,411.0,,,,30.0,,,,5.0,5.1,,,,,65.0,1,20.0,,,,529.0,931.0,3731.0,356.0,,,337.0,,749.0
1.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,,,,,,,,,,,,,,,,,1615.71,1615.71,1615.71,12.7,12.7,0.67,,24.0,,512.0,,,,,5.0,,,1,17.0,3.0,36.0,2259.0,,,,164.0,,139.0,297.0,,
186.0,Mini PC,,,"Bluetooth, wifi, Ethernet",Bluetooth 5.2,,,,,,,,LAN 10/100/1000/2500/5000/10000,,,,,Desktop,,cubo,,,"empresas, principiante",,,1.0,,,,,,,,,,,,229.95,1173.52,701.74,12.4,12.4,,,,,,,,,,5.0,,,1,,,63.0,,,,,,,,,,
10.0,Mini PC,disco duro M.2 SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 4.2,,Intel,1.0,,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,"profesional, bricolaje",,,,,,,,,,,,,,,173.0,249.99,211.5,8.8,8.8,,,,,,,,,,3.0,,,1,,715.0,,,,,3731.0,,,,397.0,,
3.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,aluminio,,,,,,,,,,,,,,,,891.99,920.99,906.49,12.7,12.7,0.67,,16.0,,512.0,,,,,5.0,,,1,19.0,8.0,36.0,8.0,,4.0,3731.0,164.0,,139.0,233.0,,
1.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,,AMD,1.0,DDR5,,,,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,,16.0,,,,,,,,,,,,,,717.66,717.66,717.66,11.3,12.6,,16.0,32.0,4800.0,500.0,,4.75,,,4.0,3.2,,1,15.0,28.0,,,,,,295.0,,,589.0,,
1.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR5,,,,,,,,,Desktop,,,,,,16.0,,,,,,,,,,,,,,499.99,499.99,499.99,,,,16.0,32.0,,1000.0,,4.9,,,,3.3,45.0,1,20.0,28.0,,,,,,108.0,,,589.0,,
4.0,Mini PC,,HDMI,"Ethernet, wifi",,,,,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,,,,,,,,,,,,,,,,469.99,903.0,686.5,,,,,,,,,,,,,,,1,,,,,,931.0,3731.0,,,,,,
1.0,Mini PC,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,Apple,1.0,,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,,,,,,,,,,,,,,,,,1178.48,1178.48,1178.48,12.7,12.7,0.67,,24.0,,512.0,,,,,5.0,,,1,19.0,8.0,36.0,2259.0,,,,164.0,,139.0,233.0,,
7.0,Mini PC,,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,Wi-Fi 6E,,1.0,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,,,,,,,,,,,,,,,,699.0,2234.2,1466.6,,,,,32.0,,,,,,,,,,1,,51.0,,,,931.0,3731.0,,,,,,
2.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",,IEEE 802.11ax,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,conexión micrófono/auriculares,mini ITX,negro,,,16.0,,,,,,,,,,,,,,379.0,418.99,399.0,12.7,12.7,,8.0,32.0,3200.0,1000.0,1.8,4.3,64.0,,4.0,1.8,15.0,1,51.0,391.0,,2259.0,,,3731.0,295.0,,1182.0,589.0,,25.0
3.0,Mini PC,,,"Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,Intel,,,,,ninguno,,,,,,Desktop,,nettop,negro,,bricolaje,,,,,,,,,,,,,,,193.73,209.15,201.44,12.4,12.4,0.6,6.0,16.0,,,,3.4,,,5.0,,6.0,1,45.0,916.0,63.0,2259.0,,931.0,3731.0,,,165.0,397.0,,
89.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),,,empresas,,,,,,,,,,,,,,,515.0,1376.67,945.84,17.5,17.7,,,,,,,,,,3.0,,,1,,,106.0,,,931.0,,,,,,,
2.0,Mini PC,disco duro SSD,HDMI,"wifi, Bluetooth",,,,,DDR5,,,ninguno,,,,,,Desktop,,mini ITX,,,,,,,,,,,,,,,,,,355.0,469.99,412.5,12.7,12.8,,,,,1000.0,,,,,4.0,,,1,20.0,28.0,,2259.0,,931.0,3731.0,108.0,,,,,
2.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,IEEE 802.11ax,Apple,1.0,,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma ultrapequeño (USFF),plateado,,,,,,,,,compatible 4K,,,,,,,,644.99,742.37,693.68,19.7,19.7,1.18,,8.0,,256.0,,,,,3.0,,,1,43.0,8.0,36.0,,,931.0,3731.0,,,35.0,589.0,,
2.0,Mini PC,disco duro SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,,,1.0,,,64.0,ninguno,,,,,,Desktop,1 entrada de auriculares,mini ITX,plateado,,,,,,,,,,,,,,,,,1845.19,2351.58,2098.39,12.7,12.7,,,16.0,,512.0,,,,,5.0,,,1,17.0,3.0,36.0,,,,,164.0,,139.0,297.0,,
16.0,Mini PC,disco duro SSD,,"Bluetooth, wifi, Ethernet",Bluetooth 5.2,,,,DDR4,,,,LAN 10/100/1000/2500/5000/10000,,,,,Desktop,,cubo,negro,,"empresas, principiante",,,1.0,,,,,,,,,,,,329.95,467.91,398.93,12.4,12.4,5.0,12.0,64.0,,,,,,,5.0,4.4,,1,165.0,916.0,63.0,,,73.0,,947.0,,,,,
34.0,Mini PC,,,,,,,,,,,,,,,,,Desktop,,barebone,,,,,,,,,,,,,,,,,,372.6,3571.56,1972.08,35.7,12.0,,,,,,,,,,18.0,,,1,,,,,,931.0,,,,,,,
2.0,Mini PC,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,,,,,,,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,gaming,,,,,,,,,,,,,,,699.0,899.0,799.0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
3.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ac,Intel,1.0,DDR4,,,,,,,,,Desktop,,mini ITX,,,,4.0,,,,,,,,,,,,,,239.0,259.99,249.5,11.55,13.55,,6.0,8.0,3200.0,256.0,3.4,,,,3.0,3.4,,1,45.0,715.0,,2259.0,,,3731.0,,,1182.0,397.0,,
4.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",,IEEE 802.11ax,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,conexión micrófono/auriculares,mini ITX,negro,,,16.0,,,,,,,,,,,,,,339.0,418.99,379.0,12.7,12.7,,8.0,32.0,3200.0,1000.0,1.8,4.3,64.0,,4.0,1.8,15.0,1,51.0,391.0,,2259.0,,,3731.0,295.0,,1182.0,589.0,,25.0
19.0,Mini PC,,,"Bluetooth, wifi, Ethernet",Bluetooth 5.2,,,,,,,,LAN 10/100/1000/2500/5000/10000,,,,,Desktop,,cubo,negro,,"empresas, principiante",,,1.0,,,,,,,,,,,,229.95,327.6,278.77,12.4,12.4,5.9,,64.0,,,,,,,5.0,,,1,69.0,916.0,63.0,,,73.0,3731.0,190.0,,398.0,,,
39.0,Mini PC,,,"Bluetooth, Ethernet, wifi",Bluetooth 5.0,IEEE 802.11ax,,,,,,,Ethernet 10/100/1000,,,,,Desktop,2 USB 3.2,mini ITX,,,bricolaje,,,,,,,,,,,,,,,138.6,1493.0,815.8,11.2,11.7,,,,,,,,,,3.0,,,1,,,45.0,,,931.0,,,,,,1.0,
1.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,AMD,1.0,DDR5,,,,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,gaming,16.0,2.0,,,,,,,,,,,,,699.0,699.0,699.0,,,,16.0,32.0,5600.0,1000.0,3.8,4.9,,,,3.8,,1,1.0,51.0,,2259.0,,,,295.0,,,589.0,,
2.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,Wi-Fi 6E,AMD,1.0,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,,16.0,,,,,,,,,,,,,,978.99,1049.0,1014.0,,,7.0,16.0,32.0,5600.0,2000.0,4.0,5.2,64.0,,,4.0,45.0,1,22.0,51.0,,,,931.0,3731.0,108.0,,1182.0,589.0,,2.0
1.0,Mini PC,disco duro M.2 SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 4.2,,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,"profesional, bricolaje",,,,,,,,,,,,,,,204.99,204.99,204.99,8.8,8.8,,,16.0,,1000.0,,,,,3.0,2.9,,1,4.0,715.0,,,,,3731.0,,,389.0,397.0,,
1.0,Mini PC,,HDMI,"Ethernet, wifi",,,,,DDR5,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,,,,,,,,,,,,,,,,,,759.0,759.0,759.0,,,,,,,,,,,,,,,1,41.0,916.0,,,,931.0,3731.0,356.0,,,,,
23.0,Mini PC,disco duro SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,,,,,,,,,,,,,,,554.95,984.56,769.75,30.7,10.25,,,,,,,,64.0,,3.0,,,1,,715.0,87.0,2259.0,,,3731.0,,,1182.0,,,
42.0,Mini PC,,,"Ethernet, wifi, Bluetooth",,,,,,,,,LAN 10/100/1000/2500,,,,,Desktop,,barebone,,,"bricolaje, profesional",,,2.0,,,,,,,,,,,,410.99,5679.95,3045.47,33.7,12.9,,,,,,,,,,31.0,,,1,,,,,,931.0,,,,,,34.0,
1.0,Mini PC,disco duro M.2 SSD,,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,Wi-Fi 6E,AMD,,DDR5,,,,LAN 10/100/1000/2500,,,,,Desktop,,mini ITX,plateado,,,16.0,,,,,,,,,,,,,,369.0,369.0,369.0,,,,16.0,,4800.0,,,4.9,,,,3.8,,1,3.0,51.0,,,,,,295.0,,,589.0,,
39.0,Mini PC,,,"wifi, Bluetooth",,,Intel,,,,,,,,,,,Desktop,,mini ITX,,,,,,1.0,,,,,,,,,,,,289.0,1000.51,644.75,12.4,12.4,,,,,,,,,,5.0,,,1,,,63.0,,,931.0,,,,,,,
1.0,Mini PC,disco duro SSD,HDMI,Bluetooth,,,,,DDR5,,,ninguno,,,,,,Desktop,,mini ITX,,,,,,,,,,,,,,,,,,355.0,355.0,355.0,12.7,12.8,,,64.0,,1000.0,,,,,4.0,,,1,20.0,28.0,,2259.0,,931.0,3731.0,108.0,,,,,
18.0,Mini PC,disco duro SSD,,"wifi, Bluetooth",,,,0.0,DDR4,,,ninguno,,,,,,Desktop,,mini ITX,negro,,,,,1.0,,,,,,,,,,,,369.95,594.18,482.06,12.4,12.4,,,64.0,,,,,,,5.0,,,1,93.0,,63.0,,,78.0,,1.0,,165.0,,,
4.0,Mini PC,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,empresas,,,,,,,,,,,,,,,1019.1,1150.88,1084.99,17.5,17.5,1.18,,16.0,,512.0,,,,,4.0,,,1,105.0,374.0,,86.0,,13.0,3731.0,833.0,,398.0,,,
11.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,,2.0,,,,,,,,,,,,,645.49,936.3,790.89,17.5,17.7,1.42,,16.0,3200.0,512.0,,,64.0,,3.0,,,1,19.0,374.0,106.0,2259.0,,56.0,3731.0,947.0,,1182.0,,,
28.0,Mini PC,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,Intel,,,,,,Ethernet 10/100/1000,,,,,Desktop,,,negro,,empresas,,,1.0,,,,,,,,,,,,732.37,1550.85,1141.61,17.5,17.7,,,,,,,,,,3.0,,,1,,,112.0,,,,3731.0,,92.0,,,,
6.0,Mini PC,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,,,"profesional, bricolaje",16.0,,,,,,,,,,,,,,339.99,509.47,424.73,15.0,18.3,0.69,24.0,16.0,3200.0,1000.0,,4.9,,,7.0,2.1,,1,7.0,715.0,,,,,3731.0,356.0,,1182.0,589.0,,
4.0,Mini PC,sin disco duro,HDMI,"Ethernet, wifi, Bluetooth",,Wi-Fi 6E,Intel,0.0,DDR4,,,ninguno,LAN 10/100/1000/2500,,,,,Desktop,,barebone,negro,,,16.0,2.0,,,,,,,,,,,,,639.0,911.25,775.12,35.7,12.0,,18.0,,3200.0,,3.4,4.7,64.0,,18.0,,64.0,1,29.0,916.0,,44.0,529.0,931.0,3731.0,833.0,,398.0,297.0,,
42.0,Mini PC,,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.2,IEEE 802.11ax,,,DDR5,,,,Ethernet 10/100/1000,,,,,Desktop,,mini ITX,negro,,empresas,,,,,,,,,,,,,,,592.99,1240.11,916.55,17.5,17.5,,,,,,,,,,4.0,,,1,,,,2259.0,,931.0,3731.0,,,,,,
5.0,Mini PC,,,"Ethernet, wifi, Bluetooth",,,Intel,,DDR4,,,,,,,,,Desktop,,mini ITX,,,bricolaje,,,1.0,,,,,,,,,,,,265.6,295.71,280.65,11.9,11.3,,,,,,,,64.0,,4.0,,,1,,916.0,21.0,,,931.0,3731.0,,,398.0,,,
12.0,Mini PC,sin disco duro,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ax,Intel,0.0,DDR4,,,ninguno,,,,,,Desktop,2 USB 3.2,mini ITX,negro,,bricolaje,8.0,2.0,,,,,,,,,,,,,472.35,622.49,547.42,11.2,11.7,,12.0,,,,2.8,4.7,64.0,,3.0,,28.0,1,35.0,916.0,45.0,,25.0,931.0,3731.0,833.0,,398.0,397.0,19.0,24.0
36.0,Mini PC,,,"wifi, Bluetooth, Ethernet",,,,,,,,,,,,,,Desktop,,mini ITX,,,bricolaje,,,1.0,,,,,,,,,,,,265.6,890.6,578.1,11.9,11.3,,,,,,,,64.0,,4.0,,,1,,,21.0,,,931.0,,,,,,,
7.0,Mini PC,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,,Desktop,,factor de forma pequeño (SFF),negro,,empresas,20.0,2.0,,,,,,,,,,,,,787.5,909.81,848.65,17.5,17.7,1.42,24.0,16.0,4800.0,512.0,,4.8,64.0,,3.0,1.2,35.0,1,6.0,374.0,106.0,2259.0,866.0,56.0,3731.0,947.0,,1182.0,163.0,,749.0
17.0,Mini PC,disco duro M.2 SSD,,"Bluetooth, wifi, Ethernet",,,Intel,1.0,DDR4,,64.0,ninguno,,,,,,Desktop,,factor de forma pequeño (SFF),negro,,,12.0,2.0,,,,,,,,,,,,,660.51,890.38,775.44,3.4,18.0,1.1,12.0,16.0,3200.0,512.0,,4.6,32.0,,18.0,,45.0,1,59.0,715.0,213.0,2259.0,866.0,73.0,3731.0,947.0,,1182.0,589.0,,43.0
