ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,sistema_operativo_arquitectura_bit,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,ia_caracteristica,ram_numero_ranuras_memoria,ram_configuracion_memoria,pantalla_propiedades,otras_caracteristicas_localizacion,conectividad_conexion,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
13.0,Chromebook,,,,integrado,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,,,57.0,,con tapa,2020.0,,,,,MicroSD,,16:9,,,,,,,,,,panorámica,,,,,,,Laptop,233.43,567.56,400.5,14.0,35.56,,1280x720,10.0,,22.5,18.0,32.8,1.21,,,,,,,,,,,,,1,,,,115.0,,79.0,,,71.0,,,
12.0,Chromebook,,memoria flash,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,Intel,,,,,16:9,,LPDDR5,,3.0,gris,,ninguna,ninguno,,,,,,,,,Laptop,400.2,519.99,460.1,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,60.0,12.0,8.0,,256.0,,3.3,4.4,,,,,1,165.0,715.0,,145.0,,,3731.0,684.0,71.0,753.0,1604.0,1604.0
5.0,Chromebook,Full HD,SSD,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,2.0,ión-litio,,,con tapa,2022.0,,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,LPDDR4X,,3.0,gris,,ninguna,ninguno,teclado numérico,,,,,,,,Laptop,764.52,876.49,820.5,15.6,39.624,,,10.0,45.0,24.1,25.0,35.8,1.7,,8.0,8.0,,128.0,,2.4,4.2,15.0,,,,1,89.0,916.0,,462.0,197.0,,3731.0,684.0,71.0,355.0,1604.0,1604.0
11.0,Chromebook,Full HD,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,,,,,,2.0,ión-litio,,,con tapa,2022.0,,Intel,1.0,Intel,,altavoces estéreo,16:9,L3,LPDDR4X,teclado iluminado,3.0,plateado,,,ninguno,,,,,,"convertible, capacitiva",,,Laptop,828.23,1097.18,962.71,14.0,35.56,,,10.0,65.0,21.0,17.0,32.2,1.37,,8.0,8.0,,256.0,,1.8,4.0,9.0,,4670.0,,1,3.0,916.0,14.0,2.0,6.0,,3731.0,684.0,71.0,355.0,1604.0,1604.0
6.0,Chromebook,WUXGA,SSD,HDMI 2.1,,"Bluetooth, wifi",Bluetooth 5.1,,,,,,,ión-litio,63.0,,,,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR4X,teclado iluminado,3.0,,,,ninguno,,,,,,convertible,,,Laptop,452.16,509.2,480.68,14.0,35.56,,,,,23.5,22.0,32.0,1.8,,,8.0,,256.0,,0.9,4.4,15.0,,,,1,,,3.0,28.0,536.0,,3731.0,,71.0,,,
6.0,Chromebook,WUXGA,SSD,HDMI 2.1,,"Bluetooth, wifi",Bluetooth 5.1,,,,,,,ión-litio,63.0,,,,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR4X,teclado iluminado,3.0,plateado,,,ninguno,,,,,,"capacitiva, convertible",,,Laptop,452.16,509.2,480.68,14.0,35.56,,,,,23.5,22.0,32.0,1.8,,10.0,8.0,,256.0,,0.9,4.4,15.0,,,,1,69.0,715.0,3.0,28.0,536.0,,3731.0,181.0,71.0,255.0,537.0,537.0
3.0,Chromebook,Full HD,memoria flash,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,,3.0,blanco,,ninguna,ninguno,,,Google Gemini,,,,,,Laptop,379.0,399.0,389.0,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,,10.0,8.0,,256.0,,0.9,4.4,15.0,8.0,,,1,69.0,715.0,,145.0,536.0,,3731.0,181.0,71.0,255.0,1604.0,1604.0
5.0,Chromebook,HD Ready,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR5,,2.0,gris,,ninguna,ninguno,,,,,,convertible,,,Laptop,299.99,470.97,385.48,11.6,29.46,,1280x720,,,20.5,21.0,29.5,1.4,,6.0,8.0,,64.0,,,3.6,,16.0,,,1,16.0,715.0,,462.0,529.0,,3731.0,,71.0,355.0,55.0,55.0
6.0,Chromebook,Full HD,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,1.3 Mpx,compatible con HD,1280 x 720 píxeles,,,,,38.0,,con tapa,2021.0,IEEE 802.11ac,Intel,1.0,Intel,MicroSD,,16:9,L3,LPDDR4X,,2.0,plateado,,ninguna,ninguno,,,,,,,,,Laptop,275.8,338.0,306.9,14.0,35.56,250.0,1280x720,10.0,45.0,22.9,19.0,32.7,1.45,,4.0,4.0,,64.0,,1.1,2.8,6.0,,,,1,37.0,715.0,,71.0,74.0,,3731.0,116.0,71.0,108.0,1604.0,1604.0
3.0,Chromebook,HD Ready,memoria flash,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,42.3,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR4X,,,plateado,,ninguna,ninguno,,,,,,,Italia,,Laptop,236.28,289.99,263.13,14.0,35.56,220.0,1280x720,,45.0,22.6,16.0,32.7,1.45,,4.0,4.0,,64.0,3.0,1.1,2.8,6.0,,5480.0,64.0,1,37.0,715.0,,462.0,74.0,,3731.0,116.0,71.0,108.0,55.0,55.0
