ofertas,tipo_de_producto,pantalla_tecnologia,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_vatios_hora,alimentacion_bateria_intercambiable,medidas_y_peso_diseno,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nivel_de_cache,ram_tipo,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,sistema_operativo_arquitectura_bit,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,otras_caracteristicas_caracteristicas_especiales,pantalla,ia_caracteristica,ram_numero_ranuras_memoria,ram_configuracion_memoria,pantalla_propiedades,otras_caracteristicas_localizacion,conectividad_conexion,tipo,precio_min,precio_max,precio_mean,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_luminosidad_cd_m2,camara_resolucion_pulgadas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,otras_caracteristicas_seguridad_integrada_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,pantalla_resolucion_freq,pantalla_resolucion_pulgadas_freq
4.0,Chromebook,Full HD,memoria flash,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,,3.0,blanco,,,ninguno,,,Google Gemini,,,,,,Laptop,449.0,787.4,618.2,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,,10.0,8.0,,,,0.9,4.4,15.0,,,256.0,1,69.0,715.0,,145.0,536.0,,3731.0,181.0,71.0,255.0,1604.0,1604.0
2.0,Chromebook,WUXGA,SSD,,,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,2.0,ión-litio,56.0,,con tapa,2023.0,IEEE 802.11ax,,1.0,AMD,,altavoces estéreo,16:10,,,,,gris,,,,,,Google Gemini,,,,,,Laptop,624.46,624.46,624.46,14.0,35.56,,1920x1080,10.0,,22.8,20.0,31.9,1.4,,,8.0,,128.0,,,,,,,,1,2.0,38.0,,364.0,,,3731.0,,71.0,,537.0,537.0
9.0,Chromebook,,,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,integrada,,,,,2.0,ión-litio,,,con tapa,2022.0,,,1.0,AMD,,altavoces estéreo,16:9,,LPDDR4X,,3.0,plateado,,,,,,,,,,,,Laptop,812.03,1081.99,947.01,14.0,35.56,,,10.0,65.0,22.4,17.0,32.3,1.5,,,,,,,,,,,,,1,,391.0,14.0,673.0,,,3731.0,,71.0,,1604.0,1604.0
8.0,Chromebook,Full HD,,HDMI,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,,,,,2.0,ión-litio,48.0,,con tapa,2022.0,,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,,,,4.0,,,,,,,,,,,,,Laptop,427.99,974.7,701.35,14.0,35.56,,,10.0,45.0,22.0,19.0,32.3,1.4,,,8.0,,,,,,,,3220.0,,1,,,,405.0,,,3731.0,,71.0,,1604.0,1604.0
12.0,Chromebook,Full HD,,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,,,,,,2.0,ión-litio,,,con tapa,2022.0,,,1.0,,,altavoces estéreo,16:9,,,,3.0,,,,,,panorámica,,,,,,,Laptop,828.23,1097.18,962.71,14.0,35.56,,,10.0,65.0,21.0,17.0,32.2,1.37,,,8.0,,,,,,,,4670.0,,1,,,14.0,15.0,,,3731.0,,71.0,,,
6.0,Chromebook,HD Ready,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR5,,2.0,gris,,ninguna,,,,,,,,,,Laptop,247.87,368.9,308.38,11.6,29.46,,1280x720,,,20.5,21.0,29.5,1.4,,6.0,4.0,,32.0,,,3.4,,16.0,,,1,16.0,715.0,,462.0,529.0,,3731.0,,71.0,355.0,55.0,55.0
4.0,Chromebook,HD Ready,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR5,,2.0,gris,,ninguna,ninguno,,,,,,,,,Laptop,300.02,321.19,310.61,11.6,29.46,,1280x720,,,20.5,21.0,29.5,1.4,,6.0,32.0,,32.0,,,3.4,,16.0,,,1,16.0,715.0,,462.0,44.0,,3731.0,,71.0,355.0,55.0,55.0
8.0,Chromebook,Full HD,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,,,57.0,,con tapa,2020.0,,,1.0,AMD,MicroSD,,16:9,,DDR4,,,gris,,,,,,,,,,,,Laptop,364.32,490.31,427.31,14.0,35.56,,1280x720,10.0,,22.5,18.0,32.8,1.21,,,4.0,,32.0,,,,,,,,1,1.0,391.0,,115.0,,79.0,3731.0,,71.0,,1604.0,1604.0
2.0,Chromebook,WUXGA,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,3.0 Mpx,,,,,,ión-litio,63.0,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:10,L3,LPDDR4X,,3.0,gris,,,,,,,,,,,,Laptop,670.23,884.45,777.34,14.0,35.56,,,,,,,,1.81,,10.0,8.0,,128.0,,0.9,4.4,15.0,,,,1,69.0,715.0,3.0,61.0,536.0,,3731.0,181.0,71.0,255.0,537.0,537.0
2.0,Chromebook,Full HD,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,56.0,,convertible,2023.0,,Intel,1.0,Intel,,,16:9,L3,,,4.0,negro,,,,,,Google Gemini,,,,,,Laptop,985.95,1005.68,995.82,14.0,35.56,,1920x1080,10.0,65.0,22.4,18.0,31.3,1.4,,10.0,8.0,,128.0,,0.9,4.4,15.0,,,,1,69.0,715.0,14.0,145.0,536.0,,3731.0,181.0,71.0,255.0,1604.0,1604.0
4.0,Chromebook,Full HD,,HDMI,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,,,,,2.0,ión-litio,48.0,,con tapa,2022.0,,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR4X,,4.0,plateado,,ninguna,ninguno,,,,,,,,,Laptop,743.36,874.28,808.82,14.0,35.56,,,10.0,45.0,22.0,19.0,32.3,1.4,,8.0,8.0,,512.0,,2.4,4.2,15.0,,3220.0,,1,89.0,916.0,,405.0,197.0,,3731.0,684.0,71.0,355.0,1604.0,1604.0
2.0,Chromebook,Full HD,memoria flash,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,teclado tipo chicle,teclas de función,2.0,ión-litio,47.0,no,con tapa,2020.0,IEEE 802.11ac,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR4X,,2.0,plateado,,ninguna,ninguno,,,,,,,,,Laptop,410.47,578.4,494.44,14.0,35.56,,1280x720,,45.0,21.9,18.0,32.6,1.5,,4.0,8.0,2933.0,128.0,,1.1,3.3,6.0,,,,1,5.0,715.0,,2.0,74.0,11.0,3731.0,16.0,71.0,355.0,1604.0,1604.0
3.0,Chromebook,,,HDMI,,"wifi, Bluetooth",Bluetooth 4.0,integrada,,,,,,ión-litio,54.0,no,con tapa,2020.0,,,,,,altavoces estéreo,16:9,,,,3.0,,,,,,,,,,,,,Laptop,343.57,690.19,516.88,15.6,39.62,,,10.0,45.0,25.6,20.0,38.1,1.8,,,,,,,,,,,,,1,,,,11.0,,,,,71.0,,,
2.0,Chromebook,HD Ready,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,,Intel,MicroSD,altavoces estéreo,16:9,L2,LPDDR4,,2.0,gris,,,,teclado numérico,,,,,,,,Laptop,382.48,498.2,440.34,11.6,29.464,,1280x720,,,20.5,21.0,29.5,1.4,,4.0,4.0,2400.0,,,1.1,2.8,6.0,,,,1,27.0,715.0,,462.0,37.0,,3731.0,116.0,71.0,108.0,55.0,55.0
2.0,Chromebook,Full HD,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.0,,,,,,,ión-litio,47.0,,convertible,2019.0,IEEE 802.11ac,Intel,1.0,Intel,MicroSD,,16:9,,,,2.0,gris,,,,,,,,,,,,Laptop,529.0,726.9,627.95,14.0,35.56,,,,,22.6,19.0,32.4,1.6,,,8.0,,256.0,,,,,,,,1,3.0,715.0,,6.0,,,3731.0,116.0,71.0,,1604.0,1604.0
2.0,Chromebook,,,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,teclado tipo chicle,teclas de función,2.0,ión-litio,47.0,no,con tapa,2020.0,IEEE 802.11ac,,,,MicroSD,altavoces estéreo,16:9,,,,2.0,,,,,,panorámica,,,,,,,Laptop,410.47,578.4,494.44,14.0,35.56,,1280x720,,45.0,21.9,18.0,32.6,1.5,,,,,,,,,,,,,1,,,,2.0,,11.0,,,,,,
4.0,Chromebook,,memoria flash,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,2.0,ión-litio,,,con tapa,2022.0,IEEE 802.11ac,,1.0,,,altavoces estéreo,16:9,,,,3.0,,,,,,panorámica,,,,,,,Laptop,206.5,273.93,240.22,14.0,35.56,,,12.0,45.0,22.3,20.0,32.5,1.5,,,,,,,,,,,,,1,3.0,,,673.0,,,,,71.0,,,
3.0,Chromebook,,,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,42.3,,con tapa,2021.0,IEEE 802.11ax,,,,MicroSD,altavoces estéreo,16:9,,,,,,,,,,panorámica,,,,,,,Laptop,236.28,289.99,263.13,14.0,35.56,220.0,1280x720,,45.0,22.6,16.0,32.7,1.45,,,,,,3.0,,,,,5480.0,,1,,,,462.0,,,,,,,,
1.0,Chromebook,Full HD,memoria flash,HDMI,,"wifi, Bluetooth",Bluetooth 5.2,integrada,,,,,2.0,ión-litio,,,con tapa,2022.0,,,1.0,AMD,,altavoces estéreo,16:9,,LPDDR4X,,3.0,plateado,,,,,,,,,,,,Laptop,812.03,812.03,812.03,14.0,35.56,,,10.0,65.0,22.4,17.0,32.3,1.5,60.0,,8.0,,128.0,,,,,,,,1,1.0,391.0,14.0,673.0,,,3731.0,,71.0,,1604.0,1604.0
3.0,Chromebook,,memoria flash,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,2.0,ión-litio,,,con tapa,2022.0,IEEE 802.11ac,MediaTek,,ARM,,altavoces estéreo,16:9,L3,LPDDR4X,,3.0,plateado,64.0,,ninguno,,,,,,,,,Laptop,253.72,266.48,260.1,14.0,35.56,,,12.0,45.0,22.3,20.0,32.5,1.5,60.0,1.0,4.0,4266.0,32.0,,2.0,,,,,,1,1.0,3.0,,673.0,,,3731.0,1.0,71.0,561.0,1604.0,1604.0
2.0,Chromebook,HD Ready,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR4X,,2.0,gris,,,,,,,,,,,,Laptop,287.0,309.0,298.0,11.6,29.464,,1280x720,,,20.5,21.0,29.5,1.4,,4.0,4.0,,,,1.1,2.8,6.0,8.0,,32.0,1,7.0,715.0,,462.0,74.0,,3731.0,116.0,71.0,355.0,55.0,55.0
1.0,Chromebook,,SSD,,,"Bluetooth, wifi",Bluetooth 5.1,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,56.0,,convertible,2023.0,,,1.0,,,,16:9,,,,4.0,,,,,,panorámica,,,,,,,Laptop,935.08,935.08,935.08,14.0,35.56,,1920x1080,10.0,65.0,22.4,18.0,31.3,1.4,,,16.0,,256.0,,,,,,,,1,,,14.0,145.0,,,,,71.0,,,
1.0,Chromebook,Full HD,memoria flash,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,,,,,2.0,polímero de litio,,no,con tapa,2023.0,,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,,,3.0,plateado,,,,,,,,,,,,Laptop,438.36,438.36,438.36,15.6,39.624,,,,45.0,24.4,20.0,36.6,1.6,,4.0,8.0,,64.0,,1.1,2.8,6.0,,,,1,37.0,715.0,,10.0,74.0,,3731.0,116.0,71.0,108.0,1604.0,1604.0
4.0,Chromebook,,SSD,,,"Bluetooth, wifi",Bluetooth 5.1,2.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,56.0,,convertible,2023.0,,,,,,,16:9,,,,4.0,,,,,,panorámica,,,,,,,Laptop,811.06,1640.03,1225.55,14.0,35.56,,1920x1080,10.0,65.0,22.4,18.0,31.3,1.4,,,,,,,,,,,,,1,,,14.0,145.0,,,,,,,,
1.0,Chromebook,Full HD,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,,,3.0,gris,,,,,,Google Gemini,,,,,,Laptop,412.78,412.78,412.78,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,,10.0,8.0,,128.0,,0.9,4.4,15.0,,,,1,69.0,715.0,,145.0,536.0,,3731.0,181.0,71.0,255.0,1604.0,1604.0
1.0,Chromebook,,,,integrado,"wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,2.0,polímero de litio,47.0,,con tapa,2020.0,IEEE 802.11ac,,,,MicroSD,altavoces estéreo,16:9,,,,,,,,,,panorámica,,,,,,,Laptop,357.98,357.98,357.98,14.0,35.56,,,12.0,45.0,22.0,18.0,32.6,1.49,,,,,,,,,,,,,1,,,,15.0,,,,,,,,
1.0,Chromebook,Full HD,memoria flash,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,,3.0,blanco,,ninguna,ninguno,,,,,,,,,Laptop,499.0,499.0,499.0,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,,12.0,16.0,,256.0,,1.3,4.4,,16.0,,,1,165.0,715.0,,145.0,529.0,,3731.0,684.0,71.0,753.0,1604.0,1604.0
2.0,Chromebook,,,,,"wifi, Bluetooth",Bluetooth 4.2,0.8 Mpx,,,,,,polímero de litio,27.0,,con tapa,2020.0,IEEE 802.11ac,,,,,,16:9,,,,2.0,,,,,,,,,,,,1 x USB 3.1,Laptop,349.99,890.73,620.36,10.1,25.65,,,8.0,,16.0,18.0,23.9,0.45,,,,,,,,,,,,,1,,,163.0,145.0,,,,,,,,
1.0,Chromebook,Full HD,memoria flash,HDMI,integrado,"Bluetooth, wifi",,integrada,,,,,2.0,ión-litio,60.0,,con tapa,2020.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,,,,3.0,,,,,,panorámica,,,,,,,Laptop,1610.65,1610.65,1610.65,14.0,35.56,250.0,,,65.0,20.5,17.0,32.5,1.5,,,,,,,,,,,,,1,,,106.0,405.0,,,3731.0,,71.0,,1604.0,1604.0
1.0,Chromebook,Full HD,memoria flash,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,,,Intel,,,16:9,,LPDDR5,,3.0,,,,,,,,,,,España,,Laptop,499.0,499.0,499.0,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,,12.0,16.0,,256.0,,3.3,4.4,55.0,16.0,,,1,165.0,715.0,,145.0,,,3731.0,684.0,71.0,753.0,1604.0,1604.0
1.0,Chromebook,Full HD,memoria flash,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,,,,,2.0,ión-litio,,,con tapa,2022.0,IEEE 802.11ac,,1.0,,,altavoces estéreo,16:9,,,,3.0,plateado,,,,,,,,,,,,Laptop,206.5,206.5,206.5,14.0,35.56,,,12.0,45.0,22.3,20.0,32.5,1.5,,,4.0,,64.0,,,,,,,,1,3.0,3.0,,488.0,,,3731.0,,71.0,,1604.0,1604.0
1.0,Chromebook,HD Ready,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR4X,,2.0,negro,,"LTE, 4G",ninguno,,,,,,,,,Laptop,374.57,374.57,374.57,11.6,29.464,,1280x720,,,20.5,21.0,29.5,1.4,,4.0,4.0,,,,1.1,2.8,6.0,,,32.0,1,37.0,37.0,,462.0,74.0,,3731.0,116.0,71.0,108.0,55.0,55.0
1.0,Chromebook,,SSD,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR4X,,2.0,gris,,,,,,,,,,,,Laptop,360.39,360.39,360.39,11.6,29.464,,1280x720,,,20.5,21.0,29.5,1.4,60.0,4.0,4.0,,32.0,,1.1,2.8,6.0,,,,1,37.0,715.0,,462.0,74.0,,3731.0,116.0,71.0,108.0,55.0,55.0
1.0,Chromebook,Full HD,memoria flash,,,"wifi, Bluetooth",Bluetooth 5.1,integrada,,,teclado FineTip,,2.0,ión-litio,,no,convertible,2021.0,,,1.0,,,altavoces estéreo,16:9,,,,,plateado,,,,,,,,,,,,Laptop,518.37,518.37,518.37,13.3,33.782,,,14.0,45.0,20.9,16.0,31.0,1.3,,,4.0,,64.0,,,,,,,,1,1.0,1.0,14.0,673.0,,,3731.0,,71.0,,1604.0,1604.0
1.0,Chromebook,Full HD,memoria flash,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,,,,,2.0,polímero de litio,,no,con tapa,2023.0,,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,,,3.0,plateado,,,,,,,,,,,,Laptop,363.66,363.66,363.66,15.6,39.624,,,,45.0,24.4,20.0,36.6,1.6,,4.0,8.0,,128.0,,1.1,2.8,6.0,,,,1,7.0,715.0,,10.0,74.0,,3731.0,116.0,71.0,355.0,1604.0,1604.0
1.0,Chromebook,,,,,wifi,,,,,,,,,,,,2019.0,,Intel,1.0,,,,16:9,,,,,,,,,,panorámica,,,,,,,Laptop,387.41,387.41,387.41,11.6,29.464,,,,,,,,1.2,,4.0,4.0,,,,1.1,,,,,,1,,,,58.0,,,,116.0,71.0,108.0,55.0,55.0
1.0,Chromebook,Full HD,memoria flash,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,,,,azul,,,,,,,,,,,,Laptop,444.9,444.9,444.9,15.6,39.624,300.0,1280x720,10.0,45.0,24.3,19.0,36.2,1.6,,4.0,4.0,,64.0,4.0,1.1,2.8,6.0,,,,1,37.0,715.0,163.0,405.0,74.0,,3731.0,116.0,71.0,108.0,1604.0,1604.0
1.0,Chromebook,HD Ready,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,LPDDR4X,,2.0,gris,,"LTE, 4G",ninguno,,,,,1 x 4 GB,,,,Laptop,343.67,343.67,343.67,11.6,29.464,,1280x720,,,20.5,21.0,29.5,1.4,,4.0,4.0,,32.0,,1.1,2.8,6.0,,,,1,37.0,715.0,,462.0,74.0,,3731.0,116.0,71.0,108.0,55.0,55.0
1.0,Chromebook,Full HD,memoria flash,HDMI,integrado,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,,47.0,,con tapa,2021.0,IEEE 802.11ax,Intel,1.0,Intel,MicroSD,altavoces estéreo,16:9,L3,,,,gris,,,,,,,,,,,,Laptop,396.71,396.71,396.71,15.6,39.624,300.0,1280x720,10.0,45.0,24.3,19.0,36.2,1.6,,4.0,8.0,,128.0,4.0,1.1,2.8,6.0,,,,1,37.0,715.0,163.0,405.0,74.0,,3731.0,116.0,71.0,108.0,1604.0,1604.0
2.0,Chromebook,,,,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1280 x 720 píxeles,,,2.0,ión-litio,36.0,,convertible,2021.0,,,,,,altavoces estéreo,16:9,,,,2.0,,,,,,panorámica,,,,,,,Laptop,415.13,526.14,470.63,13.3,33.78,,1280x720,,45.0,20.9,16.0,31.0,1.2,,,,,,,,,,,4670.0,,1,,,14.0,145.0,,,,,71.0,,1604.0,1604.0
1.0,Chromebook,HD Ready,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,1.3 Mpx,compatible con HD,1280 x 720 píxeles,,,,,38.0,,con tapa,2021.0,IEEE 802.11ac,Intel,1.0,Intel,MicroSD,,16:9,L2,LPDDR4,,2.0,plateado,,,,,,,,,,,,Laptop,379.99,379.99,379.99,14.0,35.56,250.0,1280x720,10.0,45.0,22.9,19.0,32.7,1.45,,2.0,8.0,,64.0,,1.1,2.4,6.0,,,,1,4.0,4.0,,203.0,4.0,,3731.0,116.0,71.0,108.0,55.0,55.0
1.0,Chromebook,Full HD,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,ión-litio,50.0,,con tapa,2023.0,IEEE 802.11ax,Intel,1.0,Intel,,,16:9,L3,LPDDR5,,3.0,blanco,,,,,panorámica,Google Gemini,,,,,,Laptop,730.66,730.66,730.66,14.0,35.56,250.0,1920x1080,10.0,,21.4,19.0,32.6,1.4,,10.0,8.0,,256.0,,0.9,4.4,15.0,,,,1,69.0,715.0,,145.0,536.0,,3731.0,181.0,71.0,255.0,1604.0,1604.0
1.0,Chromebook,Full HD,memoria flash,,integrado,"wifi, Bluetooth",Bluetooth 4.2,integrada,compatible con HD,1280 x 720 píxeles,,,,,57.0,,con tapa,2020.0,,AMD,,AMD,MicroSD,,16:9,L2,DDR4,resistente a salpicaduras,,negro,64.0,ninguna,ninguno,,,,,1 x 4 GB,ajustable en altura,,,Laptop,233.43,233.43,233.43,14.0,35.56,,1280x720,10.0,,22.5,18.0,32.8,1.21,240.0,1.0,4.0,1666.0,8.0,,1.6,2.4,,8.0,,8.0,1,2.0,1.0,,115.0,1.0,79.0,3731.0,1.0,71.0,108.0,1604.0,1604.0
