ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,propiedades_de_la_carcasa_bahia_externa_de_3_5,procesador_placa_base,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
1.0,PC gaming,disco duro M.2 SSD,,Ethernet,,,,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,torre,,,,,,,,,,,,,,,962.99,962.99,962.99,,,,,16.0,,1000.0,,,,,,,,1,24.0,183.0,,2259.0,,,412.0,,,398.0,,,
1.0,PC gaming,disco duro M.2 SSD,,Ethernet,,,,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,,,,,,,,,,,,,995.99,995.99,995.99,,18.8,,,16.0,,500.0,,,,,43.0,,,1,24.0,183.0,,2259.0,,931.0,412.0,,,398.0,,,
1.0,PC gaming,disco duro SSD,,wifi,,,Intel,,,,,,,,,,Desktop,,desktop,,gaming,16.0,,,,,,,,,,,,1119.9,1119.9,1119.9,,,,16.0,32.0,,1000.0,2.5,5.0,,,,2.2,65.0,1,12.0,164.0,,114.0,220.0,,,356.0,,,589.0,,
1.0,PC gaming,disco duro SSD,,wifi,,,AMD,,,GDDR6X,,,,,,,Desktop,,semitorre,,gaming,16.0,,,,,,,,,,,,1867.99,1867.99,1867.99,,,,32.0,32.0,,1000.0,3.4,4.6,,,,3.4,65.0,1,70.0,358.0,,2259.0,159.0,,412.0,295.0,,389.0,589.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,12.0,,,,,,,,,,,,1169.99,1169.99,1169.99,44.5,27.2,,18.0,32.0,,1000.0,2.5,4.4,,,44.0,,65.0,1,104.0,487.0,,2259.0,529.0,931.0,679.0,947.0,,389.0,813.0,,749.0
1.0,PC gaming,disco duro SSD,,wifi,,,Intel,,DDR5,,,,,,,,Desktop,,desktop,,gaming,32.0,,,,,,,,,,,,3409.9,3409.9,3409.9,,,,36.0,128.0,,4000.0,3.2,6.0,,,,3.2,125.0,1,23.0,43.0,,114.0,207.0,68.0,193.0,356.0,,,194.0,,
1.0,PC gaming,disco duro SSD,,wifi,,,AMD,,,,,,,,,,Desktop,,desktop,,gaming,12.0,,,,,,,,,,,,1589.9,1589.9,1589.9,,,,32.0,32.0,,1000.0,3.7,4.6,,,,3.7,65.0,1,22.0,66.0,,2259.0,159.0,148.0,412.0,327.0,,,813.0,,478.0
1.0,PC gaming,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,minitorre,gris,gaming,12.0,2.0,2.0,,,,,canal 5.1,,,,,1642.63,1642.63,1642.63,29.7,15.5,6.31,18.0,16.0,3200.0,512.0,2.5,4.4,,,33.0,2.5,117.0,1,79.0,183.0,40.0,,529.0,9.0,412.0,947.0,,389.0,813.0,139.0,749.0
1.0,PC gaming,disco duro SSD,,wifi,,,Intel,,,GDDR6X,,,,,,,Desktop,,semitorre,,gaming,20.0,,,,,,,,,,,,2167.99,2167.99,2167.99,,,,25.0,64.0,,2000.0,3.6,5.0,,,,3.6,125.0,1,27.0,358.0,,2259.0,529.0,,412.0,833.0,,389.0,297.0,,
1.0,PC gaming,disco duro SSD,,wifi,,,AMD,1.0,,,,,,,,,Desktop,,desktop,,gaming,16.0,,,,,,,,,,,,1619.9,1619.9,1619.9,,,,32.0,32.0,,1000.0,3.4,4.6,,,,3.4,65.0,1,70.0,66.0,,2259.0,159.0,148.0,412.0,295.0,,389.0,589.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,12.0,,,,,,,,,,,,1017.99,1017.99,1017.99,44.5,27.2,,18.0,32.0,,1000.0,2.5,4.4,,,44.0,,65.0,1,104.0,164.0,,2259.0,529.0,931.0,679.0,947.0,,389.0,813.0,,749.0
1.0,PC gaming,disco duro SSD,,wifi,,,AMD,,,,,,,,,,Desktop,,desktop,,gaming,32.0,,,,,,,,,,,,3309.9,3309.9,3309.9,,,,64.0,64.0,,2000.0,4.5,5.7,,,,4.5,170.0,1,3.0,43.0,,114.0,94.0,68.0,193.0,108.0,,,337.0,,167.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1464.99,1464.99,1464.99,43.0,21.0,,16.0,32.0,,1000.0,3.6,4.2,,,44.0,3.6,65.0,1,24.0,358.0,,111.0,83.0,931.0,412.0,327.0,,398.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,,1.0,,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,,,,,,,,,,,,,1353.99,1353.99,1353.99,40.0,19.0,,,32.0,,1000.0,,,,,45.0,,,1,70.0,191.0,,2259.0,,931.0,679.0,,,398.0,,,
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,20.0,,,,,,,,,,,,1261.99,1261.99,1261.99,44.5,27.2,,25.0,32.0,,1000.0,1.6,4.9,,,44.0,2.1,65.0,1,33.0,164.0,,2259.0,529.0,931.0,679.0,833.0,,389.0,297.0,,749.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1153.99,1153.99,1153.99,46.2,18.5,,8.0,16.0,,500.0,,4.1,,,42.0,3.1,65.0,1,120.0,191.0,,111.0,19.0,931.0,679.0,327.0,,389.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,20.0,,,,,,,,,,,,1372.99,1372.99,1372.99,44.5,27.2,,25.0,32.0,,1000.0,1.6,4.9,,,44.0,2.1,65.0,1,33.0,487.0,,2259.0,529.0,931.0,679.0,833.0,,389.0,297.0,,749.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1172.99,1172.99,1172.99,46.2,18.5,,8.0,16.0,,1000.0,,4.1,,,42.0,3.1,65.0,1,120.0,191.0,,111.0,19.0,931.0,679.0,327.0,,389.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,,wifi,,,AMD,,,GDDR6X,,,,,,,Desktop,,semitorre,,gaming,16.0,,,,,,,,,,,,1836.99,1836.99,1836.99,,,,32.0,32.0,,1000.0,3.4,4.6,,,,3.4,65.0,1,70.0,358.0,,2259.0,159.0,,412.0,295.0,,398.0,589.0,,478.0
1.0,PC gaming,disco duro SSD,HDMI,Ethernet,,,Intel,1.0,,GDDR6X,64.0,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,24.0,,,,,,,,,,,,2699.99,2699.99,2699.99,43.0,21.0,,30.0,64.0,,2000.0,,5.2,,,44.0,3.2,125.0,1,102.0,358.0,,2259.0,866.0,931.0,412.0,356.0,,389.0,194.0,,749.0
1.0,PC gaming,disco duro SSD,VGA,Ethernet,,,AMD,1.0,DDR4,GDDR6,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,988.99,988.99,988.99,46.2,18.5,,8.0,32.0,,1000.0,3.6,4.1,,,42.0,3.6,65.0,1,120.0,183.0,,2259.0,,931.0,412.0,327.0,,389.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,24.0,,,,,,,,,,,,1779.99,1779.99,1779.99,46.2,18.5,,30.0,32.0,,1000.0,3.4,5.4,,,42.0,3.4,125.0,1,32.0,191.0,,111.0,866.0,931.0,679.0,833.0,,389.0,337.0,,749.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,12.0,,,,,,,,,,,,1162.99,1162.99,1162.99,44.5,27.2,,18.0,32.0,,1000.0,2.5,4.4,,,44.0,,65.0,1,104.0,487.0,,2259.0,529.0,931.0,679.0,947.0,,398.0,813.0,,749.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,,GDDR6X,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,20.0,,,,,,,,,,,,1825.99,1825.99,1825.99,40.0,19.0,,25.0,32.0,,1000.0,1.6,4.9,,,45.0,2.1,65.0,1,33.0,358.0,,2259.0,529.0,931.0,412.0,833.0,,389.0,297.0,,749.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1146.99,1146.99,1146.99,46.2,18.5,,8.0,16.0,,500.0,,4.1,,,42.0,3.1,65.0,1,120.0,191.0,,111.0,19.0,931.0,679.0,327.0,,398.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,20.0,,,,,,,,,,,,1617.99,1617.99,1617.99,46.2,18.5,,25.0,16.0,,1000.0,2.7,5.0,,,42.0,,190.0,1,27.0,191.0,,111.0,529.0,931.0,679.0,833.0,,389.0,297.0,,749.0
1.0,PC gaming,disco duro SSD,,wifi,,,Intel,,,GDDR6X,,,,,,,Desktop,,semitorre,,gaming,12.0,,,,,,,,,,,,1795.99,1795.99,1795.99,,,,18.0,32.0,,1000.0,2.5,4.4,,,,2.5,65.0,1,104.0,358.0,,2259.0,529.0,,412.0,947.0,,389.0,813.0,,
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1513.99,1513.99,1513.99,43.0,21.0,,16.0,32.0,,1000.0,3.6,4.2,,,44.0,3.6,65.0,1,24.0,358.0,,111.0,83.0,931.0,412.0,327.0,,389.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,HDMI,Ethernet,,,AMD,1.0,,GDDR6X,64.0,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1389.99,1389.99,1389.99,43.0,21.0,,8.0,16.0,,1000.0,,4.1,,,44.0,3.1,65.0,1,120.0,358.0,,2259.0,19.0,931.0,412.0,327.0,,389.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1428.99,1428.99,1428.99,43.0,21.0,,16.0,16.0,,1000.0,3.6,4.2,,,44.0,3.6,65.0,1,24.0,358.0,,111.0,83.0,931.0,412.0,327.0,,398.0,813.0,,478.0
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1382.99,1382.99,1382.99,43.0,21.0,,8.0,16.0,,1000.0,3.6,4.1,,,44.0,3.6,65.0,1,120.0,358.0,,111.0,,931.0,412.0,327.0,,398.0,813.0,,478.0
1.0,PC gaming,disco duro M.2 SSD,,Ethernet,,,,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,,,gaming,,,,,,,,,,,,,968.99,968.99,968.99,44.5,27.2,,,16.0,,500.0,,,,,44.0,,,1,10.0,183.0,,2259.0,,931.0,412.0,,,398.0,,,
1.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,12.0,,,,,,,,,,,,1365.99,1365.99,1365.99,43.0,21.0,,8.0,16.0,,500.0,3.6,4.1,,,44.0,3.6,65.0,1,120.0,358.0,,111.0,,931.0,412.0,327.0,,398.0,813.0,,478.0
1.0,PC gaming,disco duro M.2 SSD,,Ethernet,,,,,DDR4,,64.0,,Ethernet 10/100/1000,,,,Desktop,,torre,,,,,,,,,,,,,,,979.99,979.99,979.99,,,,,16.0,,1000.0,,,,,,,,1,24.0,183.0,,2259.0,,,412.0,,,389.0,,,
1.0,PC gaming,disco duro SSD,,Ethernet,,,Intel,1.0,,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,,gaming,20.0,,,,,,,,,,,,1341.99,1341.99,1341.99,44.5,27.2,,25.0,32.0,,1000.0,1.6,4.9,,,44.0,2.1,65.0,1,33.0,487.0,,2259.0,529.0,931.0,679.0,833.0,,398.0,297.0,,749.0
3.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,1.0,DDR4,,,,,,,,Desktop,,desktop,negro,gaming,12.0,,,,,,,,,,,,395.05,411.84,403.44,39.0,22.0,,8.0,32.0,3200.0,1000.0,,4.2,,,44.0,3.7,,1,11.0,391.0,,2259.0,,65.0,3731.0,327.0,9.0,165.0,813.0,,
2.0,PC gaming,disco duro SSD,,,,,Intel,,,,,ninguno,,,,,Desktop,,desktop,,gaming,20.0,,,,,,,,,,,,658.86,659.0,658.93,,,,25.0,16.0,,1000.0,2.1,4.9,,,,2.1,180.0,1,52.0,,,2259.0,529.0,,,833.0,,,297.0,,749.0
1.0,PC gaming,disco duro M.2 SSD,,"Bluetooth, wifi, Ethernet",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR5,GDDR6X,,ninguno,LAN 10/100/1000/2500,,,,Desktop,,semitorre,negro,gaming,28.0,,,,1 TB,,,,,,,,3453.05,3453.05,3453.05,43.0,21.5,,33.0,32.0,5600.0,1000.0,,5.6,,,49.0,3.4,125.0,1,37.0,44.0,,11.0,866.0,9.0,193.0,833.0,,389.0,160.0,,
1.0,PC gaming,disco duro SSD,,"Bluetooth, Ethernet, wifi",,,,1.0,DDR5,,,,,,,,Desktop,,desktop,negro,gaming,,,,,,,,,,,,,1396.64,1396.64,1396.64,45.84,19.7,,,16.0,5600.0,512.0,,,,,41.0,,,1,105.0,487.0,2.0,,,,,,,,,,
3.0,PC gaming,disco duro SSD,,wifi,,,AMD,1.0,DDR5,GDDR6,64.0,ninguno,,,,,Desktop,,desktop,negro,gaming,,2.0,,,,,,,,,,,1297.89,1304.9,1301.39,,,10.0,,16.0,6000.0,1000.0,,,,,,,,1,17.0,15.0,,2259.0,,148.0,1.0,327.0,,1182.0,,,
1.0,PC gaming,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,DDR5,GDDR6X,,ninguno,LAN 10/100/1000/2500,,,,Desktop,,semitorre,,gaming,32.0,,,,,,,,,,,,4199.99,4199.99,4199.99,30.0,18.5,7.2,36.0,32.0,6000.0,2000.0,,6.0,,,39.0,3.2,125.0,1,25.0,43.0,,2259.0,866.0,24.0,193.0,356.0,,1182.0,194.0,,
3.0,PC gaming,disco duro SSD,,,,,,1.0,DDR4,,,,,,,,Desktop,,,blanco,gaming,12.0,,,,,,,,,,,,719.98,763.63,741.81,,,,,16.0,3200.0,1000.0,,4.6,,,,3.6,,1,11.0,10.0,,,,,,327.0,9.0,,,,
3.0,PC gaming,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,2.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,12.0,,,,2 TB,,,,,,,,498.0,535.0,516.5,39.0,21.0,,16.0,16.0,3200.0,480.0,,4.4,,,43.0,3.9,65.0,1,41.0,391.0,,2259.0,,148.0,3731.0,327.0,,1182.0,813.0,,
3.0,PC gaming,disco duro SSD,,Ethernet,,,,1.0,,GDDR6,,,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,,,,,,,,,,,,,826.45,890.0,858.23,42.1,21.0,,,16.0,,1000.0,,,,,49.0,,,1,104.0,183.0,,2259.0,,93.0,412.0,947.0,52.0,165.0,,,
4.0,PC gaming,,,"Bluetooth, wifi, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Intel,1.0,,,,,,,,,Desktop,,semitorre,,gaming,24.0,,,,,,,,,,,,2727.85,5107.92,3917.89,43.0,21.5,,30.0,,,,,,,,49.0,,125.0,1,,,,,866.0,931.0,,,,389.0,,,749.0
3.0,PC gaming,disco duro SSD,,wifi,,,AMD,1.0,DDR5,,64.0,ninguno,,,,,Desktop,,desktop,negro,gaming,,2.0,,,,,,,,,,,1253.89,1273.4,1263.64,,,10.0,,16.0,6000.0,1000.0,,,,,,,,1,17.0,191.0,,2259.0,,148.0,679.0,327.0,,1182.0,,,
1.0,PC gaming,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,,,,,Ethernet 10/100/1000,,,,Desktop,,torre,negro,gaming,16.0,,,,,,,,,,,,1261.93,1261.93,1261.93,27.9,17.0,,20.0,16.0,,1000.0,2.5,4.7,,,37.0,2.5,65.0,1,40.0,487.0,9.0,,207.0,,,947.0,52.0,398.0,233.0,,749.0
4.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,1.0,DDR4,,,ninguno,,,,,Desktop,,desktop,negro,gaming,12.0,,,,,,,,,,,,458.08,483.12,470.6,39.0,22.0,,8.0,32.0,3200.0,2000.0,,4.2,,,44.0,3.7,,1,11.0,391.0,,2259.0,,65.0,3731.0,327.0,9.0,165.0,813.0,,
1.0,PC gaming,disco duro SSD,,,,,Intel,,,,,ninguno,,,,,Desktop,,,,gaming,24.0,,,,,,,,,,,,2499.0,2499.0,2499.0,,,,30.0,32.0,,2000.0,3.4,5.4,,,,3.4,125.0,1,32.0,358.0,,2259.0,866.0,,,833.0,,,337.0,,
2.0,PC gaming,disco duro SSD,,"Bluetooth, Ethernet, wifi",,,,1.0,,,,,,,,Ray tracing,Desktop,,semitorre,,gaming,,,,,,,,,,,,,2692.01,2875.99,2784.0,52.5,22.3,,,,,3000.0,,,128.0,,50.0,,,1,,23.0,,,,931.0,9.0,,,165.0,,1.0,
5.0,PC gaming,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,torre,,gaming,16.0,2.0,,,,,,,,,,,1250.51,1528.71,1389.61,27.9,17.0,8.0,20.0,16.0,4800.0,,2.5,4.7,32.0,,37.0,2.5,65.0,1,40.0,,9.0,2259.0,207.0,4.0,,947.0,52.0,389.0,233.0,,749.0
2.0,PC gaming,disco duro SSD,,,,,,1.0,DDR5,,,,,,,,Desktop,,desktop,negro,gaming,,,,,,,,,,,,,2099.0,2099.0,2099.0,46.0,21.6,,,32.0,6000.0,2000.0,,,,,49.0,,,1,33.0,66.0,,2259.0,,,412.0,295.0,,398.0,,,
1.0,PC gaming,disco duro SSD,,"Ethernet, Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ax,Intel,1.0,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,torre,negro,gaming,20.0,,,,,,,,,,,,1707.75,1707.75,1707.75,50.48,21.9,,25.0,32.0,4800.0,1024.0,,5.0,64.0,,48.0,3.6,125.0,1,20.0,23.0,56.0,2259.0,529.0,13.0,9.0,833.0,,398.0,297.0,,
1.0,PC gaming,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,conexión micrófono/auriculares,desktop,gris,gaming,28.0,4.0,,,,,,,,,,,1820.75,1820.75,1820.75,43.0,18.0,8.0,33.0,16.0,,1000.0,2.1,5.4,64.0,,42.0,2.1,65.0,1,21.0,358.0,23.0,2259.0,207.0,95.0,,833.0,52.0,389.0,160.0,,749.0
1.0,PC gaming,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,minitorre,negro,gaming,16.0,,2.0,,,,,,,,,,1223.0,1223.0,1223.0,29.7,15.5,6.31,20.0,16.0,,512.0,2.5,4.6,,,33.0,2.5,65.0,1,47.0,191.0,40.0,63.0,866.0,67.0,679.0,947.0,,389.0,233.0,139.0,749.0
1.0,PC gaming,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,,,64.0,ninguno,LAN 10/100/1000/2500,,,,Desktop,,semitorre,negro,gaming,28.0,,,,,,,,,,,,3809.99,3809.99,3809.99,43.0,21.5,,33.0,32.0,,1000.0,,5.6,,,49.0,3.4,125.0,1,37.0,74.0,,2259.0,866.0,931.0,412.0,833.0,,389.0,160.0,,
3.0,PC gaming,,,"Ethernet, wifi, Bluetooth",,,,,,,,,,,,,Desktop,,torre,,gaming,,,,,,,,,,,,,1950.61,5789.0,3869.8,39.6,38.3,,,,,,,,,,13.0,,,1,,,4.0,,,931.0,,,,,,,
1.0,PC gaming,disco duro M.2 SSD,HDMI,"wifi, Bluetooth",,,Intel,1.0,DDR5,GDDR6,64.0,ninguno,,,,Ray tracing,Desktop,,,negro,gaming,12.0,,,,,,,,,,,,1180.97,1180.97,1180.97,,,,18.0,16.0,,512.0,2.5,4.4,,,,,65.0,1,104.0,164.0,10.0,2259.0,529.0,67.0,54.0,947.0,28.0,389.0,813.0,,749.0
2.0,PC gaming,,,"wifi, Bluetooth, Ethernet",,,Intel,0.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,barebone,,,16.0,,,,,,,,,,,,1246.68,2165.52,1706.1,,,,24.0,,,,3.3,4.9,,,,,65.0,1,1.0,715.0,,,25.0,,,356.0,,398.0,589.0,,1.0
1.0,PC gaming,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Intel,,DDR5,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,conexión micrófono/auriculares,desktop,gris,gaming,28.0,4.0,,,,,,canal 7.1,,,,,1606.8,1606.8,1606.8,43.0,18.0,8.0,33.0,16.0,,1000.0,2.1,5.4,64.0,,42.0,2.1,65.0,1,21.0,191.0,23.0,,207.0,57.0,679.0,833.0,52.0,398.0,160.0,,749.0
1.0,PC gaming,,,"Bluetooth, Ethernet, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR4,GDDR6,,,Ethernet 10/100/1000,,,,Desktop,,minitorre,gris,gaming,16.0,,2.0,,,,,,,,,,985.99,985.99,985.99,29.7,15.5,,20.0,16.0,2400.0,512.0,2.5,4.7,,,33.0,2.5,65.0,1,40.0,487.0,40.0,2259.0,207.0,36.0,679.0,947.0,,165.0,233.0,139.0,749.0
1.0,PC gaming,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,minitorre,negro,gaming,28.0,,2.0,,,,,,,,,,1425.99,1425.99,1425.99,29.7,15.5,,33.0,32.0,,512.0,2.1,5.4,,,33.0,2.1,65.0,1,21.0,164.0,40.0,111.0,207.0,931.0,679.0,833.0,,165.0,160.0,139.0,749.0
1.0,PC gaming,disco duro M.2 SSD,USB-C,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ax,Intel,1.0,DDR5,GDDR6,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,semitorre,negro,gaming,12.0,4.0,1.0,3.0,,2.0,,,,,,,1139.12,1139.12,1139.12,45.6,18.5,14.0,18.0,16.0,4800.0,1000.0,2.5,4.4,128.0,,45.0,,65.0,1,104.0,90.0,57.0,,529.0,67.0,679.0,947.0,,165.0,1.0,24.0,749.0
1.0,PC gaming,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,1.0,DDR5,GDDR6X,,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,semitorre,negro,gaming,,4.0,,,,,,canal 5.1,,,,,1510.57,1510.57,1510.57,39.6,16.5,13.8,,16.0,5200.0,1000.0,,,,,44.0,,,1,105.0,358.0,94.0,52.0,,15.0,412.0,833.0,33.0,165.0,,,
1.0,PC gaming,disco duro SSD,,"Ethernet, Bluetooth, wifi",Bluetooth 5.2,IEEE 802.11ax,AMD,2.0,DDR5,GDDR6X,,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,semitorre,negro,gaming,,,,,,,,,,,,,5763.69,5763.69,5763.69,47.0,20.4,,128.0,32.0,5200.0,2000.0,,5.7,,,55.0,4.2,,1,10.0,76.0,94.0,2259.0,,931.0,193.0,108.0,,389.0,337.0,,
1.0,PC gaming,,,"Ethernet, wifi, Bluetooth",,,,,,,,,,,,,Desktop,,microtorre,,gaming,,,,2.0,,,,,,,,,2876.57,2876.57,2876.57,43.3,16.5,,,,,,,,,,42.0,,,1,,,94.0,,,931.0,,,,,,139.0,
1.0,PC gaming,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ax,Intel,2.0,DDR5,GDDR6,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,semitorre,negro,gaming,12.0,4.0,1.0,3.0,2 TB,2.0,,,,,,,1299.0,1299.0,1299.0,45.6,18.5,14.0,18.0,16.0,4800.0,,2.5,4.4,128.0,7200.0,45.0,,65.0,1,104.0,183.0,57.0,2259.0,529.0,67.0,412.0,947.0,,398.0,813.0,24.0,749.0
