ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,conectividad_conexion,otras_caracteristicas_articulo_incluido,grafica_caracteristica_tarjeta,tipo,conectividad_conexion_frontal,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,propiedades_de_la_carcasa_bahia_externa_de_5_25,caracteristicas_especiales,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,disco_duro_capacidad_disco_duro_gb,propiedades_de_la_carcasa_bahia_externa_de_3_5,procesador_placa_base,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
3.0,PC gaming,disco duro SSD,,,,,AMD,,DDR4,,,,,,,,Desktop,,,negro,gaming,12.0,,,,,,,,,,,,1151.99,1360.43,1256.21,,,,32.0,16.0,,1000.0,3.5,4.4,,,,3.5,65.0,1,11.0,191.0,,2259.0,159.0,,,327.0,,,813.0,,478.0
13.0,PC gaming,disco duro SSD,,"wifi, Ethernet",,,Intel,,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,12.0,,,,,,,,,,,,669.12,843.0,756.06,27.3,48.1,7.0,18.0,,3200.0,500.0,2.5,4.4,,,49.0,,65.0,1,104.0,,,2259.0,529.0,93.0,,947.0,49.0,165.0,813.0,,749.0
1.0,PC gaming,disco duro SSD,,,,,Intel,,,,,,,,,,Desktop,,,,,20.0,,,,,,,,,,,,2200.86,2200.86,2200.86,,,,24.0,32.0,,1000.0,3.5,5.3,,,,3.5,125.0,1,15.0,4.0,,2259.0,207.0,95.0,,947.0,,,163.0,,
4.0,PC gaming,disco duro SSD,,"wifi, Ethernet",,,Intel,,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,12.0,2.0,,,,,,,,,,,691.59,752.31,721.95,27.3,48.1,7.0,18.0,64.0,3200.0,500.0,2.5,4.4,,,49.0,,65.0,1,104.0,164.0,,2259.0,529.0,93.0,679.0,947.0,49.0,165.0,813.0,,749.0
15.0,PC gaming,,,"wifi, Ethernet, Bluetooth",Bluetooth 5.2,IEEE 802.11ax,,2.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,desktop,negro,gaming,,,,,2 TB,,,,,,,,457.0,605.0,531.0,39.0,21.0,,,16.0,3200.0,480.0,,,,,43.0,,,1,31.0,391.0,,2259.0,,148.0,3731.0,295.0,,1182.0,,,
7.0,PC gaming,disco duro SSD,,Ethernet,,,,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,,desktop,negro,gaming,16.0,,,,,,,,,,,,799.0,1444.85,1121.92,38.5,17.0,8.5,20.0,16.0,,1000.0,,4.7,,,38.0,2.5,,1,40.0,487.0,49.0,2259.0,,,679.0,38.0,,389.0,233.0,,
3.0,PC gaming,disco duro SSD,,Ethernet,,,AMD,1.0,DDR4,,,ninguno,,,,,Desktop,,,blanco,gaming,12.0,2.0,,,,,,,,,,,599.99,644.62,622.31,,,13.0,8.0,16.0,3200.0,1000.0,,4.2,,,,3.7,65.0,1,11.0,10.0,,,19.0,931.0,3731.0,327.0,,389.0,813.0,,478.0
7.0,PC gaming,disco duro SSD,DisplayPort,Ethernet,,,,1.0,DDR4,,,,Ethernet 10/100/1000,,,Ray tracing,Desktop,,desktop,,gaming,,,,,,,,,,,,,799.0,1444.85,1121.92,38.5,17.0,,,16.0,,,,,,,38.0,,65.0,1,,,49.0,,,,,,,,,,
17.0,PC gaming,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ax,Intel,1.0,DDR4,GDDR6,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,semitorre,negro,gaming,16.0,2.0,,,,,,,,,,,861.32,1532.98,1197.15,30.4,17.0,8.4,20.0,16.0,3200.0,512.0,2.5,4.6,32.0,,37.0,2.5,65.0,1,47.0,487.0,9.0,2259.0,866.0,931.0,679.0,947.0,,389.0,233.0,,749.0
14.0,PC gaming,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,conexión micrófono/auriculares,desktop,,gaming,,,,,,,,,,,,,1349.0,1820.75,1584.88,43.0,18.0,8.0,,,,,,,64.0,,42.0,,,1,,,23.0,,,,,,52.0,,,,749.0
