ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,caracteristicas_especiales,almacenamiento_formato_audiovisual_compatible,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,sistema_operativo_software_incluido,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
14.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,8.0,2.0,,1.0,,,,,,,461.12,599.0,530.06,30.3,15.5,4.71,12.0,8.0,3200.0,512.0,,4.5,,33.0,3.4,58.0,1,28.0,202.0,77.0,2259.0,52.0,87.0,3731.0,190.0,,389.0,397.0,139.0,
14.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Apple,1.0,,,,ninguno,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,gris,,,,,,,compatible 4K,,,,,2136.97,2576.95,2356.96,19.7,19.7,2.7,,32.0,,512.0,,,,9.0,,,1,6.0,5.0,,,,6.0,,,,35.0,297.0,,
4.0,PC multimedia,disco duro SSD,,"Bluetooth, wifi, Ethernet",,IEEE 802.11ax,Intel,1.0,DDR4,,64.0,ninguno,,,,,Desktop,desktop,negro,,8.0,,,,,,,,,,520.49,570.71,545.6,21.1,19.8,3.35,12.0,8.0,,512.0,2.8,4.7,,5.0,,28.0,1,35.0,916.0,40.0,2259.0,25.0,931.0,3731.0,833.0,,389.0,397.0,,24.0
14.0,PC multimedia,disco duro SSD,,wifi,,,Intel,,DDR5,,,,,,,,Desktop,desktop,,empresas,12.0,,,,,,,,,,571.05,770.96,671.0,,,,18.0,8.0,,512.0,2.5,4.4,,,2.5,65.0,1,79.0,,34.0,,529.0,,,947.0,,1182.0,813.0,,749.0
2.0,PC multimedia,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,,,,,,,,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,,,,,,,,,,,,,3877.99,4453.07,4165.53,19.7,19.7,,,,,,,,,9.0,,,1,,,,,,931.0,,,,,,,
4.0,PC multimedia,disco duro SSD,,,,,Intel,1.0,DDR4,,64.0,grabadora DVD,,,,,Desktop,,negro,principiante,16.0,,,,,,,,,,834.79,850.35,842.57,,,,16.0,8.0,,512.0,2.5,4.9,64.0,,,65.0,1,4.0,5.0,87.0,,30.0,54.0,3731.0,833.0,,200.0,589.0,,135.0
16.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth",,,,1.0,,,64.0,,,,,,Desktop,factor de forma pequeño (SFF),negro,,,,1.0,,,,,,,,470.07,685.54,577.8,30.2,9.7,,,16.0,,512.0,,,,27.0,,,1,71.0,715.0,,2259.0,,931.0,3731.0,,,389.0,,,
6.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,torre,negro,,2.0,2.0,,,,,,,,,415.01,480.0,447.5,,,,4.0,8.0,,256.0,2.0,2.9,,,,10.0,1,5.0,715.0,,2259.0,74.0,73.0,3731.0,116.0,,398.0,51.0,,26.0
24.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,,,,,,,Ethernet 10/100/1000,,,,Desktop,semitorre,,,,,,,,,,,,,622.06,1956.99,1289.53,29.2,14.5,,,,,,,,,36.0,,,1,,,34.0,,,931.0,,,,,,,
20.0,PC multimedia,,,"Bluetooth, Ethernet, wifi",Bluetooth 4.2,,,,,,,,Ethernet 10/100/1000,,,,Desktop,minitorre,,,,,,2.0,,,,,,,609.99,1400.37,1005.18,30.3,15.54,,,,,,,,,33.0,,,1,,,77.0,,,931.0,,,,,,139.0,
7.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,12.0,2.0,,1.0,,,,,,,489.22,540.14,514.68,30.3,15.5,4.71,18.0,8.0,3200.0,512.0,2.5,4.4,,33.0,2.5,65.0,1,79.0,202.0,77.0,2259.0,529.0,87.0,3731.0,947.0,,165.0,813.0,139.0,749.0
4.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,8.0,2.0,,1.0,,,,,,,527.0,598.99,563.0,27.0,9.5,3.0,12.0,8.0,2933.0,512.0,3.3,4.3,,30.0,,89.0,1,30.0,202.0,11.0,,529.0,87.0,3731.0,190.0,,389.0,397.0,139.0,749.0
5.0,PC multimedia,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,teclado,,,Desktop,factor de forma pequeño (SFF),negro,empresas,24.0,4.0,1.0,2.0,,,,,,,1025.28,1364.49,1194.88,30.8,33.8,5.0,30.0,16.0,4800.0,512.0,,5.1,,10.0,2.1,65.0,1,105.0,374.0,112.0,2259.0,866.0,931.0,3731.0,833.0,92.0,1182.0,337.0,,749.0
6.0,PC multimedia,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,teclado,,,Desktop,factor de forma pequeño (SFF),negro,empresas,20.0,4.0,1.0,2.0,,,,,,,973.0,1234.49,1103.74,30.8,33.8,5.0,24.0,16.0,4800.0,512.0,,4.8,,10.0,2.5,65.0,1,84.0,374.0,112.0,63.0,866.0,931.0,3731.0,947.0,92.0,1182.0,163.0,,749.0
10.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,blanco,,12.0,2.0,,2.0,,,,,,,776.73,971.04,873.88,30.3,15.54,5.96,18.0,16.0,3200.0,1000.0,2.5,4.4,,33.0,,65.0,1,79.0,202.0,77.0,63.0,529.0,16.0,3731.0,947.0,,389.0,813.0,139.0,749.0
6.0,PC multimedia,disco duro SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,empresas,12.0,4.0,1.0,2.0,,,,,,,804.72,985.19,894.96,30.8,33.8,5.0,18.0,8.0,4800.0,512.0,3.0,4.6,128.0,10.0,,117.0,1,39.0,374.0,112.0,,529.0,931.0,3731.0,947.0,92.0,200.0,813.0,,749.0
6.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,8.0,2.0,,1.0,,,,canal 5.1,,,507.53,634.65,571.09,27.0,9.5,6.2,12.0,8.0,3200.0,512.0,,4.5,,30.0,3.4,60.0,1,28.0,202.0,11.0,63.0,866.0,87.0,3731.0,190.0,,389.0,397.0,139.0,749.0
12.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Apple,1.0,,,,ninguno,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,plateado,,,,,,,compatible 4K,,,,,4265.43,5885.4,5075.41,19.7,19.7,,,64.0,,1024.0,,,,9.0,,,1,3.0,3.0,,,,6.0,3731.0,164.0,,35.0,194.0,,
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,8.0,2.0,,1.0,,,,,,,459.0,459.0,459.0,27.0,9.5,3.0,12.0,8.0,2933.0,256.0,3.3,4.3,,30.0,,89.0,1,30.0,202.0,11.0,2259.0,529.0,87.0,3731.0,190.0,,165.0,397.0,139.0,749.0
3.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,IEEE 802.11ac,,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,,negro,principiante,,,,,,,,,,,420.43,688.55,554.49,,,,,8.0,3200.0,256.0,,,,,,,1,1.0,391.0,,2259.0,,13.0,3731.0,,,200.0,,,
8.0,PC multimedia,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,Desktop,torre,negro,"empresas, principiante, profesional",20.0,4.0,,,,,,,,,986.23,1383.4,1184.82,30.8,33.8,5.4,24.0,16.0,4800.0,512.0,,5.0,128.0,10.0,2.6,,1,36.0,374.0,112.0,,866.0,43.0,3731.0,947.0,,1182.0,163.0,,749.0
14.0,PC multimedia,disco duro SSD,,wifi,,,Intel,,DDR5,,,,,,,,Desktop,desktop,,empresas,12.0,,,,,,,,,,594.33,827.03,710.68,,,,18.0,16.0,,512.0,2.5,4.4,,,2.5,65.0,1,79.0,,34.0,,529.0,,,947.0,,1182.0,813.0,,749.0
14.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,AMD,1.0,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,,16.0,2.0,,,,,,canal 5.1,,,817.38,1547.86,1182.62,29.2,14.5,7.5,16.0,16.0,3200.0,1000.0,,4.6,64.0,36.0,3.8,65.0,1,31.0,183.0,34.0,2259.0,83.0,3.0,412.0,295.0,,165.0,589.0,,478.0
11.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,AMD,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,8.0,2.0,,1.0,,,,,,,421.85,569.0,495.43,30.3,15.5,4.71,8.0,8.0,3200.0,512.0,,4.2,,33.0,,,1,3.0,391.0,77.0,63.0,,16.0,3731.0,100.0,,389.0,397.0,139.0,
15.0,PC multimedia,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,Desktop,torre,negro,"empresas, principiante, profesional",28.0,4.0,,,,,,,,,1244.37,1739.8,1492.09,30.8,33.8,5.4,33.0,16.0,4800.0,512.0,,5.4,128.0,10.0,2.1,,1,69.0,374.0,112.0,,866.0,43.0,3731.0,833.0,,1182.0,160.0,,749.0
28.0,PC multimedia,,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,,,,,,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,empresas,,,1.0,2.0,,,,,,,804.72,2097.99,1451.36,30.8,33.8,,,,,,,,,10.0,,,1,,,112.0,,,931.0,,,92.0,,,,
4.0,PC multimedia,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,Desktop,torre,negro,"principiante, profesional, empresas",20.0,4.0,,,,,,,,,1157.11,1227.99,1192.55,30.8,33.8,5.4,24.0,16.0,4800.0,512.0,,4.8,128.0,10.0,2.5,65.0,1,84.0,374.0,112.0,2259.0,,931.0,3731.0,947.0,,1182.0,297.0,,
4.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,,Intel,,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,,12.0,1.0,,,,,,,,,790.49,943.3,866.89,18.29,3.65,,12.0,16.0,2666.0,512.0,,3.7,,17.0,1.3,35.0,1,3.0,202.0,213.0,,30.0,78.0,,947.0,,200.0,813.0,,135.0
3.0,PC multimedia,,,"Ethernet, Bluetooth, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,,gris,,12.0,1.0,,,,,,,,,556.87,762.32,659.6,28.8,14.5,5.4,18.0,8.0,3200.0,512.0,2.5,4.4,,34.0,2.5,65.0,1,79.0,202.0,34.0,,529.0,,,947.0,29.0,165.0,813.0,,749.0
1.0,PC multimedia,disco duro SSD,,"Ethernet, Bluetooth, wifi",Bluetooth 5.0,IEEE 802.11ac,AMD,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,"principiante, bricolaje, empresas",16.0,2.0,,,,,,canal 7.1,,,776.14,776.14,776.14,29.4,16.0,5.5,16.0,16.0,,512.0,3.8,4.6,64.0,37.0,,65.0,1,31.0,391.0,,2259.0,83.0,10.0,3731.0,295.0,,398.0,589.0,,478.0
2.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth",Bluetooth 5.0,,,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,Desktop,desktop,gris,,,,,,,,,,,,330.0,450.0,390.0,31.6,9.3,4.2,,8.0,,256.0,,,,29.0,,,1,6.0,391.0,,2259.0,,13.0,3731.0,,,27.0,,,
7.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,8.0,2.0,,1.0,,,,canal 5.1,,,476.45,520.99,498.72,27.0,9.5,3.0,5.0,8.0,3200.0,512.0,,4.5,,30.0,3.4,,1,28.0,202.0,11.0,,866.0,87.0,3731.0,190.0,,165.0,397.0,139.0,749.0
4.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth",,IEEE 802.11ax,Intel,1.0,,,,,,,,,Desktop,desktop,negro,,,,,,,,,,,,520.49,570.71,545.6,21.1,19.8,,,,,,,,,5.0,,28.0,1,,,40.0,2259.0,25.0,931.0,,,,,,,24.0
7.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth",,,,1.0,DDR4,,,,,,,,Desktop,factor de forma pequeño (SFF),negro,,,,1.0,,,,,,,,579.0,743.94,661.47,30.2,9.7,,,16.0,,512.0,,,,27.0,,,1,27.0,715.0,,2259.0,,931.0,,833.0,,398.0,,,
4.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.3,Wi-Fi 6E,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,mini ITX,,empresas,16.0,,,,,,,,,,599.0,783.17,691.09,,,,24.0,16.0,,1000.0,,,,,,,1,27.0,,,2259.0,,54.0,,833.0,,389.0,813.0,,
3.0,PC multimedia,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,TCO Certified Desktops 8,,Desktop,microtorre,negro,,12.0,2.0,,,,,,,,HP Support Assistant,1348.14,1438.46,1393.3,30.3,15.5,5.0,12.0,8.0,2666.0,512.0,3.1,4.5,,33.0,,65.0,1,8.0,108.0,59.0,2259.0,52.0,931.0,3731.0,947.0,,1182.0,813.0,,135.0
3.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,,AMD,1.0,DDR4,,,,,,,,Desktop,factor de forma pequeño (SFF),negro,,,,,,,,,,,,761.72,910.66,836.19,18.3,17.9,,,16.0,3200.0,512.0,,,,3.0,,,1,2.0,391.0,213.0,,,931.0,,295.0,,1182.0,,,
6.0,PC multimedia,disco duro M.2 SSD,HDMI,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,12.0,,,1.0,,,,,,,577.9,734.99,656.44,27.0,9.5,3.02,18.0,8.0,3200.0,512.0,2.5,4.4,,30.0,2.5,65.0,1,79.0,202.0,11.0,,529.0,87.0,3731.0,947.0,,389.0,813.0,139.0,749.0
8.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,12.0,2.0,,1.0,,,,,,,599.0,657.49,628.25,30.3,15.5,4.71,18.0,8.0,3200.0,512.0,2.5,4.4,,33.0,2.5,65.0,1,79.0,202.0,77.0,2259.0,529.0,87.0,3731.0,947.0,,389.0,813.0,139.0,749.0
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,AMD,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,12.0,2.0,,1.0,,,,,,,448.99,448.99,448.99,30.3,15.5,4.71,16.0,16.0,3200.0,512.0,3.9,4.4,,33.0,,65.0,1,41.0,391.0,77.0,,83.0,16.0,3731.0,327.0,,398.0,813.0,139.0,478.0
4.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,Intel,1.0,DDR4,GDDR6,64.0,,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,,12.0,2.0,,,,,,,,,622.06,673.09,647.58,29.2,14.5,6.0,12.0,8.0,,256.0,2.6,4.4,32.0,36.0,,65.0,1,12.0,89.0,34.0,2259.0,30.0,16.0,124.0,947.0,,389.0,813.0,,135.0
5.0,PC multimedia,,,Ethernet,,,Intel,,DDR4,,,,,,TCO Certified Desktops 8,,Desktop,microtorre,,,,,,,,,,,,,549.99,1438.46,994.23,30.3,15.5,,,,,,,,,33.0,,,1,,,59.0,,,931.0,,,,,,,
4.0,PC multimedia,,,Ethernet,,,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,,,,,,,,,,,,627.8,829.98,728.89,35.0,16.3,,,16.0,,,,,,34.0,,,1,,,108.0,,,931.0,,,,,,139.0,
2.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,,Apple,1.0,,,,ninguno,LAN 10/100/1000/2500/5000/10000,cable de alimentación,,,Desktop,minitorre,plateado,,,,,,,,,,,,3877.99,4453.07,4165.53,19.7,19.7,3.6,,64.0,,1024.0,,,,9.0,,,1,1.0,,,,,6.0,,,,22.0,160.0,,
6.0,PC multimedia,,HDMI,"Ethernet, wifi, Bluetooth",,,Intel,1.0,DDR4,,64.0,,Ethernet 10/100/1000,,,,Desktop,torre,negro,,4.0,,,,,,,,,,415.01,480.0,447.5,,,,4.0,,,,2.0,3.3,,,,10.0,1,9.0,715.0,,,74.0,,3731.0,,,,397.0,,26.0
1.0,PC multimedia,,,wifi,,,Intel,2.0,DDR3,,,grabadora DVD,,,,,Desktop,desktop,negro,,8.0,,,,1 TB,,DVD±RW,,,,579.9,579.9,579.9,41.5,19.5,,,32.0,,1000.0,,,,43.0,4.0,,1,3.0,6.0,,,,3.0,,833.0,,1182.0,589.0,,
1.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ax,Intel,2.0,DDR5,GDDR6X,64.0,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,torre,negro,,20.0,,2.0,1.0,2 TB,,,,,,5729.73,5729.73,5729.73,55.1,23.9,15.15,25.0,64.0,4800.0,1000.0,,5.0,128.0,51.0,3.6,125.0,1,20.0,12.0,5.0,,529.0,9.0,412.0,833.0,,1182.0,297.0,,
3.0,PC multimedia,disco duro SSD,,"Bluetooth, Ethernet, wifi",Bluetooth 4.2,,AMD,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,plateado,,,2.0,,2.0,,,,,,,1084.34,1172.42,1128.38,30.3,15.54,,4.0,16.0,3200.0,512.0,,4.6,,33.0,3.8,,1,31.0,391.0,77.0,,,87.0,3731.0,295.0,,389.0,589.0,139.0,
2.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,IEEE 802.11ax,Intel,1.0,DDR5,GDDR6X,,ninguno,Ethernet 10/100/1000,,,Ray tracing,Desktop,torre,negro,,24.0,,2.0,1.0,,,,,,,4081.99,4120.07,4101.03,55.1,23.9,14.6,30.0,32.0,4800.0,1000.0,3.4,5.4,,51.0,3.4,125.0,1,32.0,74.0,5.0,2259.0,866.0,9.0,412.0,833.0,,389.0,337.0,,749.0
