ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,otras_caracteristicas_articulo_incluido,otras_caracteristicas_certificado,grafica_caracteristica_tarjeta,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,propiedades_de_la_carcasa_bahia_interna_de_2_5,propiedades_de_la_carcasa_bahia_interna_de_3_5,disco_duro_capacidad_disco_duro_tb,caracteristicas_especiales,almacenamiento_formato_audiovisual_compatible,otras_caracteristicas_modo_de_sonido,propiedades_de_la_carcasa_superficie_del_material,sistema_operativo_software_incluido,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,procesador_chipset_de_la_placa_base_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,grafica_numero_de_ranuras_para_pcie_freq,procesador_zocalo_de_cpu_freq
1.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, Bluetooth, wifi",Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR4,,,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,,gris,,20.0,,,,,,,,,,1139.99,1139.99,1139.99,28.8,14.5,5.4,25.0,8.0,3200.0,512.0,2.1,4.9,,34.0,2.1,180.0,1,52.0,374.0,34.0,,529.0,31.0,,833.0,29.0,389.0,297.0,,749.0
8.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,,,,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,desktop,,,,,,,,,,,,,580.62,943.3,761.96,18.29,3.65,,,,,,,,,17.0,,,1,,,213.0,,,931.0,,,,,,,
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,desktop,,,,,,,,,,,,,580.62,580.62,580.62,18.29,3.65,,,8.0,,256.0,,,,17.0,,,1,5.0,715.0,213.0,2259.0,,931.0,3731.0,947.0,,398.0,,,
2.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,8.0,2.0,,1.0,,,,,,,442.35,442.85,442.6,27.0,9.5,3.02,6.0,8.0,2666.0,512.0,,4.4,,30.0,3.7,65.0,1,7.0,108.0,11.0,52.0,123.0,87.0,3731.0,190.0,,165.0,397.0,139.0,
1.0,PC multimedia,disco duro SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Apple,1.0,,,,ninguno,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,plateado,,,,,,,,,,,,3513.02,3513.02,3513.02,19.7,19.7,,,32.0,,1000.0,,,,9.0,,,1,6.0,5.0,,,,931.0,,164.0,,35.0,297.0,,
1.0,PC multimedia,disco duro SSD,,wifi,,,AMD,,,,,grabadora DVD,,,,,Desktop,,,,16.0,,,,,,,,,,599.9,599.9,599.9,,,,16.0,16.0,,512.0,3.8,4.6,,,3.8,65.0,1,31.0,,,2259.0,83.0,,,295.0,,1182.0,589.0,,478.0
1.0,PC multimedia,,,wifi,,,AMD,3.0,,,,grabadora DVD,,,,,Desktop,,,,16.0,,,,2 TB,,,,,,679.9,679.9,679.9,,,,16.0,32.0,,1000.0,3.8,4.6,,,3.8,65.0,1,31.0,,,2259.0,83.0,,,295.0,,1182.0,589.0,,478.0
2.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,,1.0,,,,ninguno,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,gris,,,,,,,,,,,,5069.66,5930.79,5500.23,19.7,19.7,3.6,,64.0,,1000.0,,,,9.0,,,2,3.0,3.0,,,,6.0,,,,35.0,194.0,,
2.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,,16.0,,,,,,,,,,1747.31,1782.46,1764.88,30.8,33.8,5.4,16.0,16.0,5600.0,512.0,,5.1,4.0,10.0,4.2,,1,13.0,51.0,112.0,2259.0,,31.0,3731.0,295.0,10.0,1182.0,589.0,,
1.0,PC multimedia,disco duro SSD,,wifi,,,Intel,,DDR4,,,,,,,,Desktop,,,,12.0,,,,,,,,,,809.9,809.9,809.9,,,,12.0,16.0,,512.0,2.9,4.3,,,2.9,65.0,1,10.0,164.0,,2259.0,118.0,,679.0,947.0,,,813.0,,
1.0,PC multimedia,disco duro SSD,,wifi,,,AMD,,DDR4,,,,,,,,Desktop,,,,12.0,,,,,,,,,,509.9,509.9,509.9,,,,8.0,16.0,,512.0,3.7,4.2,,,3.7,65.0,1,6.0,10.0,,2259.0,19.0,,3731.0,327.0,,1182.0,813.0,,478.0
2.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,,12.0,,,,,,,,,,1552.66,1588.45,1570.56,30.8,33.8,5.4,16.0,16.0,5600.0,512.0,,5.0,4.0,10.0,4.3,,1,1.0,51.0,112.0,2259.0,,31.0,3731.0,327.0,10.0,1182.0,813.0,,167.0
2.0,PC multimedia,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,teclado,,,Desktop,torre,negro,"principiante, profesional, empresas",20.0,4.0,,,,,,,,,1150.67,1180.38,1165.53,30.8,33.8,5.4,24.0,16.0,4800.0,512.0,,4.8,128.0,10.0,2.5,65.0,1,84.0,374.0,112.0,,866.0,931.0,19.0,947.0,,1182.0,163.0,,749.0
2.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,,1.0,,,,ninguno,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,gris,,,,,,,,,,,,5069.66,5930.79,5500.23,19.7,19.7,3.6,,64.0,,1000.0,,,,9.0,,,2,3.0,3.0,,,,6.0,,,,35.0,194.0,,
3.0,PC multimedia,disco duro SSD,HDMI,"Bluetooth, Ethernet, wifi",,,Intel,1.0,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,,16.0,,,,,,,canal 5.1,,,701.26,768.49,734.88,29.5,10.0,7.4,20.0,8.0,3200.0,512.0,2.5,4.6,32.0,33.0,2.5,65.0,1,49.0,202.0,108.0,41.0,866.0,87.0,3731.0,947.0,,389.0,233.0,,749.0
1.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,,2.0,DDR4,GDDR6,,ninguno,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,,,,,,1 TB,,,,,,649.0,649.0,649.0,29.2,14.5,7.55,,16.0,3200.0,512.0,,,64.0,36.0,4.6,,1,31.0,164.0,34.0,2259.0,,16.0,679.0,295.0,,165.0,,,
2.0,PC multimedia,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,,,grabadora DVD,,,,,Desktop,torre,negro,"empresas, principiante, profesional",20.0,4.0,,,,,,,,,953.73,1101.57,1027.65,30.8,33.8,,24.0,16.0,4800.0,512.0,,4.8,,10.0,2.5,65.0,1,84.0,374.0,112.0,2259.0,,43.0,3731.0,947.0,,1182.0,297.0,,
3.0,PC multimedia,,,"Ethernet, wifi",,,Intel,,,,,,Ethernet 10/100/1000,,,,Desktop,factor de forma ultrapequeño (USFF),,empresas,,,,,,,,,,,999.0,1465.1,1232.05,18.3,17.9,,,,,,,,,3.0,,,1,,,213.0,,,931.0,3731.0,,,,,,
2.0,PC multimedia,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,,,grabadora DVD,,,,,Desktop,torre,negro,"empresas, principiante, profesional",28.0,4.0,,,,,,,,,1543.74,1578.96,1561.35,30.8,33.8,,33.0,16.0,4800.0,512.0,2.1,5.4,128.0,10.0,2.1,65.0,1,69.0,374.0,112.0,2259.0,207.0,43.0,3731.0,833.0,,1182.0,160.0,,749.0
4.0,PC multimedia,disco duro SSD,,,,,Intel,,,,,,,,,,Desktop,,,,16.0,,,,,,,,,,766.04,888.32,827.18,,,,20.0,16.0,,512.0,,4.4,,,1.3,35.0,1,14.0,,213.0,,,,,947.0,,,233.0,,
3.0,PC multimedia,disco duro M.2 SSD,DisplayPort,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,empresas,24.0,,1.0,2.0,,,,,,,1112.68,1283.81,1198.24,30.8,33.8,,30.0,16.0,,512.0,2.1,5.2,,10.0,2.1,219.0,1,105.0,374.0,112.0,2259.0,866.0,931.0,3731.0,833.0,,1182.0,337.0,,749.0
2.0,PC multimedia,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,grabadora DVD,,,,,Desktop,torre,negro,"principiante, profesional, empresas",24.0,,,,,,,,,,1189.01,2317.94,1753.47,30.8,33.8,,30.0,16.0,,512.0,2.1,5.2,,10.0,2.1,219.0,1,105.0,374.0,112.0,2259.0,866.0,931.0,3731.0,833.0,,1182.0,337.0,,749.0
1.0,PC multimedia,disco duro SSD,,Ethernet,,,Intel,,DDR5,,64.0,grabadora DVD,,,,,Desktop,torre,negro,"empresas, principiante, profesional",,4.0,,,1 TB,,,,,,1950.0,1950.0,1950.0,30.8,33.8,,32.0,16.0,4800.0,1000.0,,5.6,128.0,10.0,2.0,,1,15.0,,112.0,,,931.0,9.0,356.0,,,194.0,,
1.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth",,,,1.0,DDR4,,,ninguno,,,,,Desktop,factor de forma pequeño (SFF),negro,,,,1.0,,,,,,,,452.68,452.68,452.68,30.2,9.7,3.4,,16.0,,512.0,,,,27.0,,,1,71.0,715.0,,2259.0,,931.0,3731.0,,,398.0,,,
1.0,PC multimedia,disco duro SSD,,"Bluetooth, Ethernet, wifi",,,,1.0,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,,8.0,,,,,,,canal 5.1,,,749.22,749.22,749.22,29.5,10.0,,12.0,8.0,3200.0,512.0,,4.5,,33.0,3.4,58.0,1,28.0,202.0,108.0,2259.0,52.0,87.0,3731.0,190.0,,389.0,397.0,,
2.0,PC multimedia,disco duro SSD,,Ethernet,Bluetooth 5.2,,Intel,1.0,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,empresas,20.0,4.0,1.0,2.0,,,,,,,908.47,947.26,927.87,30.8,33.8,5.4,24.0,16.0,4800.0,512.0,,4.8,48.0,10.0,2.5,65.0,1,84.0,374.0,112.0,,,931.0,3731.0,947.0,92.0,1182.0,297.0,,
2.0,PC multimedia,disco duro SSD,,Ethernet,,,Intel,0.0,DDR5,,64.0,grabadora DVD,,,,,Desktop,torre,negro,"principiante, profesional, empresas",,4.0,,,,,,,,,1290.0,1545.9,1417.95,30.8,33.8,,,16.0,4800.0,512.0,,5.2,128.0,10.0,2.1,,1,105.0,374.0,112.0,,,931.0,3731.0,833.0,,1182.0,337.0,,
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,12.0,2.0,,1.0,,,,,,,559.0,559.0,559.0,30.3,15.5,4.7,18.0,16.0,3200.0,512.0,2.5,4.4,,33.0,2.5,65.0,1,79.0,202.0,77.0,2259.0,529.0,16.0,3731.0,947.0,,165.0,813.0,139.0,749.0
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi",,,Intel,,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma ultrapequeño (USFF),negro,empresas,,2.0,,,,,,,,,1175.43,1175.43,1175.43,18.3,17.9,,,16.0,4800.0,1000.0,,4.6,64.0,3.0,1.6,,1,19.0,715.0,213.0,,,931.0,3731.0,947.0,,1182.0,163.0,,
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",,,Intel,,DDR4,,,,,,,,Desktop,,,,16.0,,,,,,,,,,628.99,628.99,628.99,,,,20.0,16.0,,1000.0,2.5,4.6,,,2.5,65.0,1,49.0,,77.0,,866.0,,,947.0,,389.0,6.0,,749.0
1.0,PC multimedia,disco duro SSD,,wifi,,,Intel,,DDR4,,,,,,,,Desktop,desktop,,,12.0,,,,,,,,,,775.11,775.11,775.11,,,,18.0,8.0,2400.0,512.0,2.5,4.4,,,2.5,65.0,1,79.0,,,,529.0,,,947.0,,389.0,813.0,,749.0
2.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,8.0,2.0,,1.0,,,,,,,677.32,733.1,705.21,30.3,15.5,,12.0,8.0,2933.0,256.0,,4.3,,33.0,3.3,,1,30.0,202.0,77.0,,,87.0,3731.0,190.0,,389.0,397.0,139.0,
1.0,PC multimedia,disco duro M.2 SSD,HDMI,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,IEEE 802.11ax,Intel,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,,16.0,,,,,,,,,,581.99,581.99,581.99,33.0,10.0,,20.0,16.0,5600.0,512.0,2.5,4.7,,29.0,2.5,65.0,1,22.0,202.0,108.0,2259.0,207.0,,3731.0,947.0,,398.0,233.0,,749.0
3.0,PC multimedia,,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,IEEE 802.11ac,,,,,,,Ethernet 10/100/1000,,,,Desktop,semitorre,,principiante,,,,,,,,,,,587.7,1031.8,809.75,33.0,10.0,,,,,,,,,29.0,,,1,,,108.0,,,931.0,,,,,,,
2.0,PC multimedia,disco duro SSD,HDMI,Ethernet,,,,1.0,DDR4,,,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,,8.0,,,,,,,canal 5.1,,,627.8,736.74,682.27,35.0,16.3,7.4,12.0,8.0,3200.0,512.0,,4.5,32.0,34.0,3.4,58.0,1,28.0,202.0,108.0,4.0,52.0,87.0,3731.0,190.0,,389.0,397.0,139.0,
6.0,PC multimedia,,,"Bluetooth, Ethernet, wifi",,,,,,,,,Ethernet 10/100/1000,,,,Desktop,semitorre,,,,,,,,,,,,,701.26,768.49,734.88,29.5,10.0,,,,,,,,,33.0,,,1,,,108.0,,,931.0,,,,,,,
1.0,PC multimedia,disco duro SSD,,,,,AMD,,DDR4,,,,,,,,Desktop,,,,16.0,,,,,,,,,,568.9,568.9,568.9,,,,16.0,32.0,,1000.0,3.8,4.6,,,3.8,65.0,1,31.0,99.0,,2259.0,83.0,,,295.0,,1182.0,589.0,,478.0
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",,,Intel,1.0,,,,,,,,,Desktop,desktop,,,,,,,,,,,,,547.99,547.99,547.99,18.3,19.4,,,8.0,,512.0,,,32.0,4.0,,,1,7.0,108.0,34.0,,,931.0,3731.0,,,165.0,,,
1.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi",,,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,factor de forma ultrapequeño (USFF),,empresas,12.0,,,,,,,,,,999.0,999.0,999.0,18.3,17.9,,12.0,16.0,,512.0,2.3,3.8,,3.0,,35.0,1,8.0,108.0,213.0,2259.0,123.0,931.0,3731.0,947.0,,200.0,813.0,,135.0
2.0,PC multimedia,,,Ethernet,,,Intel,1.0,DDR4,,64.0,,,,TCO Certified Desktops 8,,Desktop,microtorre,negro,,,,,,,,,,,,932.97,1585.72,1259.35,33.7,15.5,,,,,,,,,30.0,,65.0,1,,,59.0,2259.0,,931.0,,,,,,,135.0
1.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,,8.0,,,,,,,,,,1186.84,1186.84,1186.84,30.8,33.8,5.4,8.0,16.0,5600.0,256.0,,4.9,4.0,10.0,3.4,65.0,1,2.0,9.0,112.0,2259.0,47.0,31.0,3731.0,100.0,10.0,1182.0,397.0,,
1.0,PC multimedia,disco duro SSD,,Ethernet,,,Intel,1.0,DDR5,,64.0,ninguno,,,,,Desktop,torre,,"principiante, profesional, empresas",20.0,4.0,,,,,,,,,2466.75,2466.75,2466.75,30.8,33.8,,25.0,16.0,4800.0,512.0,2.1,4.9,128.0,10.0,,180.0,1,52.0,374.0,112.0,,529.0,931.0,3731.0,833.0,,1182.0,297.0,,749.0
1.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,minitorre,plateado,,16.0,2.0,,2.0,,,,canal 5.1,,,609.99,609.99,609.99,30.3,15.54,5.96,16.0,16.0,2933.0,512.0,2.9,4.8,16.0,33.0,,65.0,1,15.0,13.0,77.0,86.0,,16.0,19.0,833.0,2.0,27.0,589.0,139.0,135.0
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,1.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,desktop,negro,principiante,16.0,2.0,,1.0,,,,canal 5.1,,,746.2,746.2,746.2,27.0,9.5,3.0,20.0,8.0,3200.0,512.0,2.5,4.6,,30.0,2.5,65.0,1,49.0,202.0,11.0,2259.0,866.0,87.0,3731.0,947.0,,389.0,233.0,139.0,749.0
2.0,PC multimedia,disco duro M.2 SSD,,wifi,,,AMD,1.0,DDR4,,,grabadora DVD,,,,,Desktop,semitorre,negro,,16.0,,,,,,,,,,529.0,549.0,539.0,,,,16.0,32.0,,1000.0,3.8,4.6,,,,65.0,1,31.0,391.0,,86.0,83.0,,3731.0,295.0,,389.0,589.0,,478.0
2.0,PC multimedia,disco duro M.2 SSD,,Ethernet,,,Intel,1.0,DDR4,,64.0,ninguno,,,TCO Certified Desktops 8,,Desktop,microtorre,negro,,12.0,2.0,,,,,,,,,549.99,555.99,552.99,30.3,15.5,5.0,12.0,8.0,2666.0,256.0,3.1,4.5,64.0,33.0,,65.0,1,8.0,108.0,59.0,,52.0,931.0,3731.0,947.0,,1182.0,813.0,,135.0
1.0,PC multimedia,,,"Ethernet, wifi",,,Intel,,DDR5,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma ultrapequeño (USFF),negro,empresas,20.0,2.0,,,,,,,,,1465.1,1465.1,1465.1,18.3,17.9,1.25,25.0,16.0,4800.0,512.0,3.4,4.7,,3.0,,35.0,1,13.0,374.0,213.0,,529.0,16.0,3731.0,833.0,,1182.0,297.0,,749.0
1.0,PC multimedia,disco duro SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.0,IEEE 802.11ac,Intel,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,semitorre,negro,principiante,12.0,,,,,,,,,,1031.8,1031.8,1031.8,33.0,10.0,,18.0,8.0,,512.0,2.5,4.4,,29.0,2.5,65.0,1,79.0,202.0,108.0,,529.0,931.0,3731.0,947.0,,398.0,813.0,,749.0
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,AMD,1.0,DDR4,,64.0,grabadora DVD,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,16.0,,,1.0,,,,,,,993.99,993.99,993.99,30.3,15.5,,16.0,16.0,,512.0,3.8,4.6,,33.0,,65.0,1,31.0,391.0,77.0,2259.0,83.0,931.0,3731.0,295.0,,389.0,589.0,139.0,478.0
1.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,,2.0,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,,,,,,2.0,1 TB,,,,"mate, cepillada",,888.0,888.0,888.0,30.3,15.54,6.0,,8.0,2666.0,256.0,,,16.0,33.0,,,1,1.0,108.0,77.0,111.0,,87.0,3731.0,,,27.0,,139.0,
1.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,,,1.0,DDR4,,,ninguno,LAN 10/100/1000/2500,,,,Desktop,desktop,gris,,12.0,,,,,,,,,,821.6,821.6,821.6,18.3,19.4,,12.0,16.0,3200.0,1000.0,,4.6,,4.0,2.1,45.0,1,59.0,715.0,34.0,,,13.0,3731.0,947.0,,389.0,589.0,,
1.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,,16.0,,,,,,,,,,2012.88,2012.88,2012.88,30.8,33.8,5.4,16.0,16.0,5600.0,512.0,,5.1,4.0,10.0,4.2,,1,13.0,51.0,112.0,2259.0,,31.0,3731.0,295.0,10.0,1182.0,589.0,,
1.0,PC multimedia,,,"Ethernet, wifi, Bluetooth",Bluetooth 4.2,,Intel,,DDR4,,64.0,ninguno,Ethernet 10/100/1000,,,,Desktop,minitorre,negro,,12.0,2.0,,1.0,,,,,,,595.0,595.0,595.0,30.3,15.5,4.7,18.0,8.0,3200.0,512.0,2.5,4.4,,33.0,2.5,117.0,1,79.0,202.0,77.0,,529.0,87.0,3731.0,947.0,,389.0,813.0,139.0,749.0
1.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,,16.0,,,,,,,,,,1367.05,1367.05,1367.05,30.8,33.8,5.4,16.0,16.0,5600.0,512.0,,5.1,4.0,10.0,4.2,,1,13.0,51.0,112.0,2259.0,,31.0,3731.0,295.0,10.0,1182.0,589.0,,
1.0,PC multimedia,disco duro M.2 SSD,,Ethernet,Bluetooth 5.2,IEEE 802.11ax,Intel,1.0,DDR5,,,,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,empresas,12.0,4.0,1.0,2.0,,,,,,,1445.13,1445.13,1445.13,30.8,33.8,,18.0,8.0,4800.0,256.0,3.0,4.6,128.0,10.0,,117.0,1,39.0,202.0,112.0,2259.0,529.0,931.0,3731.0,947.0,92.0,1182.0,813.0,,749.0
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.1,,,1.0,DDR4,,,,Ethernet 10/100/1000,,,,Desktop,desktop,,,,,,,,,,,,,712.99,712.99,712.99,18.29,3.65,,,16.0,,512.0,,,,17.0,,,1,5.0,715.0,213.0,2259.0,,931.0,3731.0,947.0,,1182.0,,,
1.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,AMD,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,,12.0,,,,,,,,,,1203.4,1203.4,1203.4,30.8,33.8,5.4,16.0,16.0,5600.0,512.0,3.5,5.0,4.0,10.0,3.5,65.0,1,4.0,9.0,112.0,2259.0,,31.0,3731.0,327.0,10.0,1182.0,813.0,,
1.0,PC multimedia,disco duro SSD,,,,,,,,,,,,,,,Desktop,,,principiante,,,,,,,,,,,926.0,926.0,926.0,,,,,,,,,,,,,,1,,,87.0,,,,,833.0,,,589.0,,
1.0,PC multimedia,disco duro SSD,HDMI,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11ax,Apple,1.0,,,,ninguno,LAN 10/100/1000/2500/5000/10000,,,,Desktop,minitorre,plateado,,,,,,,,,,,,5039.36,5039.36,5039.36,19.7,19.7,,,64.0,,2000.0,,,,9.0,,,1,6.0,5.0,,,,931.0,,,,35.0,297.0,,
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",Bluetooth 5.0,IEEE 802.11ac,AMD,1.0,,GDDR6,64.0,,Ethernet 10/100/1000,,,Ray tracing,Desktop,semitorre,,,16.0,,,,,,,,,,1956.99,1956.99,1956.99,29.2,14.5,,16.0,16.0,,1000.0,3.8,4.6,,36.0,,65.0,1,31.0,183.0,34.0,2259.0,83.0,931.0,412.0,295.0,,389.0,589.0,,478.0
1.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,,Intel,1.0,DDR4,,,ninguno,LAN 10/100/1000/2500,,,,Desktop,desktop,gris,,,2.0,,,,,,,,,833.21,833.21,833.21,18.3,19.4,,24.0,16.0,3200.0,512.0,,4.9,,4.0,2.4,,1,78.0,715.0,34.0,2259.0,,13.0,3731.0,833.0,,398.0,233.0,,
1.0,PC multimedia,,,Ethernet,,,,,,,,,,,,,Desktop,torre,,"principiante, profesional, empresas",,,,,,,,,,,2180.43,2180.43,2180.43,30.8,33.8,,,,,,,,,10.0,,,1,,,112.0,,,931.0,,,,,,,
1.0,PC multimedia,disco duro M.2 SSD,,"Ethernet, wifi, Bluetooth",,,Intel,1.0,DDR4,,,ninguno,,,,,Desktop,desktop,gris,,16.0,,,,,,,,,,694.11,694.11,694.11,18.3,19.4,,12.0,16.0,3200.0,1000.0,2.1,4.6,,4.0,2.1,,1,59.0,715.0,34.0,2259.0,,56.0,3731.0,947.0,,398.0,589.0,,
1.0,PC multimedia,disco duro SSD,,"Ethernet, wifi, Bluetooth",,,Intel,1.0,,,,,,,,,Desktop,desktop,,,,,,,,,,,,,533.99,533.99,533.99,18.3,19.4,,,16.0,,512.0,,,32.0,4.0,,,1,7.0,108.0,34.0,,,931.0,3731.0,,,165.0,,,
2.0,PC multimedia,disco duro M.2 SSD,,"wifi, Bluetooth, Ethernet",Bluetooth 5.3,IEEE 802.11be,AMD,1.0,DDR5,,,ninguno,Ethernet 10/100/1000,,,,Desktop,factor de forma pequeño (SFF),negro,,8.0,,,,,,,,,,1436.72,1471.32,1454.02,30.8,33.8,5.4,8.0,16.0,5600.0,512.0,,4.9,4.0,10.0,3.4,65.0,1,2.0,9.0,112.0,2259.0,47.0,31.0,3731.0,100.0,10.0,1182.0,397.0,,
